seed_index,first_trace,second_trace,first_over_second
1.000000000000000000e+00,2.324739070102098992e+01,3.063534806422829206e+04,7.588420621917486278e-04
2.000000000000000000e+00,1.458937728080644192e+01,2.785276218511780826e+03,5.238036064014428908e-03
3.000000000000000000e+00,1.674940069681846211e+01,6.956171502329490067e+03,2.407847576962328460e-03
4.000000000000000000e+00,2.440129175446670473e+01,3.596250935303941787e+03,6.785202755158796332e-03
5.000000000000000000e+00,1.818430127903466342e+01,1.165902205424610429e+03,1.559676377180546983e-02
6.000000000000000000e+00,3.960147940412546319e+01,2.028120604113474428e+03,1.952619549537880361e-02
7.000000000000000000e+00,1.250905015955964572e+01,5.786619200134572748e+04,2.161719948544175431e-04
8.000000000000000000e+00,2.676420193802707104e+01,3.952410241292096543e+03,6.771615369885665425e-03
9.000000000000000000e+00,1.143509420239138841e+01,6.619955576583720358e+03,1.727367211169800231e-03
1.000000000000000000e+01,1.301520733924538042e+01,3.677500478394244965e+03,3.539144975156707697e-03
