pc,kappa_0.0109158,kappa_0.109158,kappa_1.09158,kappa_10.9158,kappa_109.158
1.000000000000000000e+00,1.709500206612446689e-04,1.899812225590353110e-04,3.959565907761295562e-04,3.668721318531755881e-03,4.475800182160653146e-02
2.000000000000000000e+00,4.550483719301451541e-04,5.052631389964578343e-04,1.044004695724994611e-03,8.983126538409803852e-03,8.317882066271532759e-02
3.000000000000000000e+00,6.905886117320904479e-04,7.664684887415041574e-04,1.577114493028436773e-03,1.310374959527830542e-02,1.075046745824401601e-01
4.000000000000000000e+00,9.439486448321120866e-04,1.047332526396949244e-03,2.148299286377109742e-03,1.739165321918983986e-02,1.306188833367840918e-01
5.000000000000000000e+00,1.196375586012755638e-03,1.327089109980608000e-03,2.715783287104300663e-03,2.156529310261035351e-02,1.517916600104569358e-01
6.000000000000000000e+00,1.525018970691370546e-03,1.691165567789467469e-03,3.451383744111848235e-03,2.680776903974583722e-02,1.761317870788800255e-01
7.000000000000000000e+00,2.074595089815757520e-03,2.298854964882767783e-03,4.657108484149936369e-03,3.429928557364946007e-02,2.010647680431384143e-01
8.000000000000000000e+00,2.427366281968475290e-03,2.688710279740201027e-03,5.426464296785356474e-03,3.889764160731276621e-02,2.151738328023674873e-01
9.000000000000000000e+00,2.873736288049520433e-03,3.181809935385443867e-03,6.395903325952697650e-03,4.453966499017592007e-02,2.315902781973830926e-01
1.000000000000000000e+01,3.185810213080113307e-03,3.526206895392078669e-03,7.066494482730191311e-03,4.819219793386464445e-02,2.409832061698424510e-01
1.100000000000000000e+01,3.696487298545649176e-03,4.089600670227923167e-03,8.160231904439587888e-03,5.403134770484463445e-02,2.554810373391510070e-01
1.200000000000000000e+01,4.134202397484396975e-03,4.572009081234784666e-03,9.087735069482875613e-03,5.867924037101214518e-02,2.658712074964361682e-01
1.300000000000000000e+01,4.571106145233524119e-03,5.053178794694761569e-03,1.000661856289245151e-02,6.309034832669750681e-02,2.750982044011321404e-01
1.400000000000000000e+01,5.118334927376910065e-03,5.655685171040437595e-03,1.115422840349460966e-02,6.851076358291989521e-02,2.861655182600555958e-01
1.500000000000000000e+01,5.741770059154360437e-03,6.341697078408883859e-03,1.245377052189450794e-02,7.444585472676946980e-02,2.977090307791756540e-01
1.600000000000000000e+01,6.170599529889746367e-03,6.813401170803011671e-03,1.334434510382537763e-02,7.843131806919889648e-02,3.052433299014892798e-01
1.700000000000000000e+01,6.865578893556848958e-03,7.577207160427648462e-03,1.477483914186722425e-02,8.453418144696631109e-02,3.160628528147467753e-01
1.800000000000000000e+01,7.221760242453999397e-03,7.968549895358249466e-03,1.550579957223275143e-02,8.760422963851899336e-02,3.213964607362249648e-01
1.900000000000000000e+01,7.803985385849064767e-03,8.607944162742487207e-03,1.669475633731008074e-02,9.247114830668654029e-02,3.295813704950589229e-01
2.000000000000000000e+01,8.483808606039635811e-03,9.354407660024741805e-03,1.808087344222113202e-02,9.810018328592887138e-02,3.389550123234854051e-01
2.100000000000000000e+01,9.185868682492484213e-03,1.012478258429234078e-02,1.950272014096780804e-02,1.036800123776904919e-01,3.478691122739051567e-01
2.200000000000000000e+01,9.845204905199330184e-03,1.084776003674561493e-02,2.082831217768087856e-02,1.086962613057367438e-01,3.555500210050107079e-01
2.300000000000000000e+01,1.040556338653659922e-02,1.146201492556918160e-02,2.195133343961245057e-02,1.128802757986175770e-01,3.618444603790987868e-01
2.400000000000000000e+01,1.092760291411276619e-02,1.203377002124699294e-02,2.298836900778399375e-02,1.165832977477863075e-01,3.671611159387375700e-01
2.500000000000000000e+01,1.152835972945224358e-02,1.269151082051185077e-02,2.417757956087262031e-02,1.207595494327773633e-01,3.730516513901009357e-01
2.600000000000000000e+01,1.238393208661240676e-02,1.362764437649214254e-02,2.586036366271309006e-02,1.264948756922573969e-01,3.808930540825078981e-01
2.700000000000000000e+01,1.320732907138968439e-02,1.452810557049470305e-02,2.747138810377037707e-02,1.318550889941771387e-01,3.880451315769388176e-01
2.800000000000000000e+01,1.381838995203928284e-02,1.519629235554899142e-02,2.866578834487496993e-02,1.358113652724310672e-01,3.933004173507010925e-01
2.900000000000000000e+01,1.473293274583042760e-02,1.619565437317086257e-02,3.044120260660267488e-02,1.415140676004448539e-01,4.006503755435699698e-01
3.000000000000000000e+01,1.543310167340176953e-02,1.696045337870151146e-02,3.179497439313772045e-02,1.457853558396002835e-01,4.060619249163389677e-01
3.100000000000000000e+01,1.629557911696473405e-02,1.790224425906413244e-02,3.345726683225941356e-02,1.509572870421999335e-01,4.125287606214447789e-01
3.200000000000000000e+01,1.721698247419542818e-02,1.890803113098365670e-02,3.522696874842623505e-02,1.563808111014108049e-01,4.192155240647847947e-01
3.300000000000000000e+01,1.814521355726961965e-02,1.992037130920976118e-02,3.699402172396722144e-02,1.615943278052253129e-01,4.254257019205013868e-01
3.400000000000000000e+01,1.879987678129521264e-02,2.063423041639158781e-02,3.823812198426097819e-02,1.652380652700944363e-01,4.297378145408915495e-01
3.500000000000000000e+01,1.979411264929006528e-02,2.171760871172470284e-02,4.011442259689811107e-02,1.705760562564232752e-01,4.358968824773317707e-01
3.600000000000000000e+01,2.101424358959731731e-02,2.304676819946765293e-02,4.241071469611891465e-02,1.770354351897528988e-01,4.432780168341422522e-01
3.700000000000000000e+01,2.195709411720039167e-02,2.407369403035395164e-02,4.418214916896619909e-02,1.819838244614651601e-01,4.488992105729642801e-01
3.800000000000000000e+01,2.292483167406925496e-02,2.512686135003805790e-02,4.598562763461066377e-02,1.868588070569089099e-01,4.542873475289421203e-01
3.900000000000000000e+01,2.374121708830349495e-02,2.601518662022751088e-02,4.750486716376477181e-02,1.909420070104205780e-01,4.587792374280200702e-01
4.000000000000000000e+01,2.464109958446182927e-02,2.699376664823237987e-02,4.916939531111735873e-02,1.953098502358244226e-01,4.634922009192861680e-01
4.100000000000000000e+01,2.543749578557954680e-02,2.785921361751825254e-02,5.063255465257483073e-02,1.990491940414921002e-01,4.674436926644083279e-01
4.200000000000000000e+01,2.623600142556243436e-02,2.872684587640810666e-02,5.209781396891061817e-02,2.027764389916771326e-01,4.713680819780550202e-01
4.300000000000000000e+01,2.709676148163290763e-02,2.966181496407738205e-02,5.367223412286233758e-02,2.067321658428561970e-01,4.754934307008332195e-01
4.400000000000000000e+01,2.786663861674658002e-02,3.049769050539818949e-02,5.507424518326967805e-02,2.101963093190376275e-01,4.790603093403190682e-01
4.500000000000000000e+01,2.916277002558624598e-02,3.190438926704633471e-02,5.742569745496108047e-02,2.159241494029598418e-01,4.848950710163058009e-01
4.600000000000000000e+01,2.989218002060573323e-02,3.269573043193415435e-02,5.874425087099699461e-02,2.190931485541817436e-01,4.880911500523555380e-01
4.700000000000000000e+01,3.077851116949715041e-02,3.365713444141248123e-02,6.034352079057637985e-02,2.229106266224283595e-01,4.919218877332816597e-01
4.800000000000000000e+01,3.152840443729364173e-02,3.447032564417325945e-02,6.169307166035446766e-02,2.261010680225869207e-01,4.951008613622900345e-01
4.900000000000000000e+01,3.242815183800527162e-02,3.544552509962649312e-02,6.330434411164218012e-02,2.298421306009990062e-01,4.987801447184325165e-01
5.000000000000000000e+01,3.332507037471058725e-02,3.641750448515525262e-02,6.490808364230692129e-02,2.335449757942608395e-01,5.024073150103782748e-01
5.100000000000000000e+01,3.448563015299403040e-02,3.767515490923992183e-02,6.698268933016342241e-02,2.383304892736378133e-01,5.070918779305260138e-01
5.200000000000000000e+01,3.533778702684792911e-02,3.859807735452507743e-02,6.849763529627084235e-02,2.417564645623749009e-01,5.103988766568603452e-01
5.300000000000000000e+01,3.625792903753941726e-02,3.959451906024986922e-02,7.013167335670413005e-02,2.454374910420571709e-01,5.139424504483077749e-01
5.400000000000000000e+01,3.719682567593524808e-02,4.061096216638859085e-02,7.179413600663080153e-02,2.491437038765671463e-01,5.174844576949753083e-01
5.500000000000000000e+01,3.816985063814928858e-02,4.166395851231562142e-02,7.351082206527695395e-02,2.529223528353126138e-01,5.210641052626762137e-01
5.600000000000000000e+01,3.901211468811024985e-02,4.257512688364116504e-02,7.499179037365244493e-02,2.561437536400514858e-01,5.240912695146416889e-01
5.700000000000000000e+01,3.998491930570181180e-02,4.362721421739333694e-02,7.669759035215911736e-02,2.598188624055863816e-01,5.275224994486951147e-01
5.800000000000000000e+01,4.093359112118266641e-02,4.465267733774379993e-02,7.835292197032983630e-02,2.633253227642247674e-01,5.307593791892265545e-01
5.900000000000000000e+01,4.198121278230114439e-02,4.578443278783399240e-02,8.017061754361837211e-02,2.671023094359196715e-01,5.342020439855752478e-01
6.000000000000000000e+01,4.306858734028690128e-02,4.695889664080811488e-02,8.205364867793696337e-02,2.709896064983927100e-01,5.377302133032050291e-01
6.100000000000000000e+01,4.399424605554081574e-02,4.795856119038605786e-02,8.365461974712279369e-02,2.742806620928359695e-01,5.407090291851606167e-01
6.200000000000000000e+01,4.491476058117210152e-02,4.895239108910691417e-02,8.524242845936109980e-02,2.775154209385271020e-01,5.436199319395011997e-01
6.300000000000000000e+01,4.576264518886456051e-02,4.986771753716966876e-02,8.670360275933730598e-02,2.804829960087419360e-01,5.462850976414853621e-01
