pc,kappa_0.160681,kappa_1.60681,kappa_16.0681,kappa_160.681,kappa_1606.81
1.000000000000000000e+00,7.420599650391412005e-05,9.064878592999006408e-05,2.574538926655722555e-04,2.725114093232295417e-03,3.150325649964041269e-02
2.000000000000000000e+00,2.904725856706142262e-04,3.544972140376844447e-04,9.973773992679869742e-04,9.728633968957874426e-03,8.134206155534472182e-02
3.000000000000000000e+00,5.546567156936865490e-04,6.764278012341147072e-04,1.889860126722528021e-03,1.740496371130638778e-02,1.209008567871359546e-01
4.000000000000000000e+00,8.626750682758048535e-04,1.051474876504259089e-03,2.921544019911994673e-03,2.574576367326595477e-02,1.569027832845450721e-01
5.000000000000000000e+00,1.030677208336066956e-03,1.255841934467576831e-03,3.478553711604045334e-03,2.994112026709918467e-02,1.720382771120982091e-01
6.000000000000000000e+00,1.395266835876939537e-03,1.699120791777428705e-03,4.680734167135258521e-03,3.866698607232996882e-02,2.009420587645918410e-01
7.000000000000000000e+00,1.901931561547576819e-03,2.314592380692584092e-03,6.335701242335906556e-03,4.995914567496598929e-02,2.337263484489942311e-01
8.000000000000000000e+00,2.642188765578862633e-03,3.212994081470600932e-03,8.730250082048163565e-03,6.532200044609061396e-02,2.733030804560415139e-01
9.000000000000000000e+00,3.045506035841730966e-03,3.702227113902326582e-03,1.002796135365772827e-02,7.337969148825126964e-02,2.928642984507292546e-01
1.000000000000000000e+01,3.520571620709433622e-03,4.277881259093002132e-03,1.153957656245072766e-02,8.216012866722902097e-02,3.119028617871324460e-01
1.100000000000000000e+01,3.828863973933261788e-03,4.651133134475910445e-03,1.251185786197704132e-02,8.752526226368426143e-02,3.226368835418510495e-01
1.200000000000000000e+01,4.238246799769417560e-03,5.146318331906546070e-03,1.379058816934424989e-02,9.421117397239986424e-02,3.349963406314686587e-01
1.300000000000000000e+01,4.796500688396351623e-03,5.821131020456727680e-03,1.552242463671165383e-02,1.029343634075633451e-01,3.503075718405712635e-01
1.400000000000000000e+01,5.399140939244038637e-03,6.549090597691703888e-03,1.737853998862311233e-02,1.119313837367509196e-01,3.653147568792188271e-01
1.500000000000000000e+01,5.934937582948191827e-03,7.195690806640382339e-03,1.901267244356079356e-02,1.194592536360308543e-01,3.770904790732294010e-01
1.600000000000000000e+01,6.654661393370145568e-03,8.063663722795905153e-03,2.119248175931603972e-02,1.291521315258304659e-01,3.916222519187180229e-01
1.700000000000000000e+01,7.250123592400244989e-03,8.781647075014600498e-03,2.299253670235166039e-02,1.370811958010929865e-01,4.033788588380989859e-01
1.800000000000000000e+01,7.809215582976243228e-03,9.455163522791819319e-03,2.466699718448729303e-02,1.441277872916796321e-01,4.132976617244557005e-01
1.900000000000000000e+01,8.517776088808140869e-03,1.030844370285035304e-02,2.678164261288555267e-02,1.528769473491797259e-01,4.253848273435126837e-01
2.000000000000000000e+01,9.653863485072813888e-03,1.167556993413422159e-02,3.014707560842329673e-02,1.663184340487253166e-01,4.432655253907160642e-01
2.100000000000000000e+01,1.041257913145361529e-02,1.258801344212072057e-02,3.238050607608875670e-02,1.749812243008172785e-01,4.544446286808653257e-01
2.200000000000000000e+01,1.097456366603284487e-02,1.326337102413768267e-02,3.402264318179278046e-02,1.811395104834629954e-01,4.621272908271841784e-01
2.300000000000000000e+01,1.179255186061534295e-02,1.424548984675342786e-02,3.639118885961446781e-02,1.896688822059474366e-01,4.723582999112190817e-01
2.400000000000000000e+01,1.237667797271031940e-02,1.494624608513656777e-02,3.806869876397873248e-02,1.954969234350649177e-01,4.791190912647260713e-01
2.500000000000000000e+01,1.298328287343861014e-02,1.567350223794529776e-02,3.979962003366406542e-02,2.013479067878374273e-01,4.857402427179783877e-01
2.600000000000000000e+01,1.401295695539402954e-02,1.690760732976396424e-02,4.272905157979468155e-02,2.111270511695492458e-01,4.966843955626154550e-01
2.700000000000000000e+01,1.454261533302652482e-02,1.754209783759536762e-02,4.422824822866609773e-02,2.160260016584157061e-01,5.020656467772890430e-01
2.800000000000000000e+01,1.562943357056945787e-02,1.884350038151149861e-02,4.729222551790732143e-02,2.258745800286159899e-01,5.127318833845845303e-01
2.900000000000000000e+01,1.646036269331678514e-02,1.983778378946030735e-02,4.961836130460921951e-02,2.331403415616682684e-01,5.204136271971201433e-01
3.000000000000000000e+01,1.848760660744868875e-02,2.226167798835820485e-02,5.524997661648602121e-02,2.501980610924801063e-01,5.379998032336151814e-01
3.100000000000000000e+01,1.908073700285190660e-02,2.297073986318929131e-02,5.689491910333362157e-02,2.551476669656351781e-01,5.430757160170572861e-01
3.200000000000000000e+01,2.011881503210043512e-02,2.420987808084291981e-02,5.973221046929318157e-02,2.632169711882453300e-01,5.509939565935947359e-01
3.300000000000000000e+01,2.086897226775402334e-02,2.510458391791737034e-02,6.176593101781906875e-02,2.688263013055375850e-01,5.563727673061964474e-01
3.400000000000000000e+01,2.181446118304532222e-02,2.623179461400077309e-02,6.431891553698154684e-02,2.757634692487264672e-01,5.629519715352074849e-01
3.500000000000000000e+01,2.270723774510574958e-02,2.729524625699748450e-02,6.670949535481460191e-02,2.820636339661103387e-01,5.687962925837927175e-01
3.600000000000000000e+01,2.375679870146369527e-02,2.854520129310557028e-02,6.951436477103263567e-02,2.894031724880147816e-01,5.755703700433703052e-01
3.700000000000000000e+01,2.470555479591198325e-02,2.967422395526211551e-02,7.203078683476860089e-02,2.958126882878476249e-01,5.813752125869120491e-01
3.800000000000000000e+01,2.598315766282332726e-02,3.119400640328642491e-02,7.540720585800582410e-02,3.043037224943379582e-01,5.889978785711847964e-01
3.900000000000000000e+01,2.654288658107558513e-02,3.185959889829143715e-02,7.688137059985027111e-02,3.079666116749679161e-01,5.922592712847257745e-01
4.000000000000000000e+01,2.736357336063254680e-02,3.283521783698910290e-02,7.903670812609667196e-02,3.132695140981097137e-01,5.969495543680790606e-01
4.100000000000000000e+01,2.849887168616641042e-02,3.418379506879156565e-02,8.199617412434095920e-02,3.203667636814286901e-01,6.031206899885729333e-01
4.200000000000000000e+01,3.013288600611457521e-02,3.612381488448816041e-02,8.623549297551570680e-02,3.303707665293787454e-01,6.117279614170683111e-01
4.300000000000000000e+01,3.119700797271702034e-02,3.738606246110975223e-02,8.897228008394825194e-02,3.366433584753803498e-01,6.170245216169354396e-01
4.400000000000000000e+01,3.215868097184106794e-02,3.852658387443050336e-02,9.144140318439031301e-02,3.422709382402827072e-01,6.217596374174645391e-01
4.500000000000000000e+01,3.279685247808487164e-02,3.928308788526733292e-02,9.307268911470603645e-02,3.459352760773738433e-01,6.248148158478159520e-01
4.600000000000000000e+01,3.400104476943882625e-02,4.070986566569537168e-02,9.613651528240013677e-02,3.527139698716937888e-01,6.304136695474545915e-01
4.700000000000000000e+01,3.464133408724626856e-02,4.146818481448923815e-02,9.775905359325097466e-02,3.562575253929816110e-01,6.333172331342237227e-01
4.800000000000000000e+01,3.592817164578564898e-02,4.299110185380763255e-02,1.009971403635377546e-01,3.631727407843104993e-01,6.389072174016491301e-01
4.900000000000000000e+01,3.773710346593158599e-02,4.513110548245059112e-02,1.055331808716818698e-01,3.727543186859244573e-01,6.466020809250586643e-01
5.000000000000000000e+01,3.915931312664559794e-02,4.681127417982960254e-02,1.090532830294256433e-01,3.798955818064168599e-01,6.522032013189519306e-01
5.100000000000000000e+01,4.024956737436585774e-02,4.809881099973340596e-02,1.117426296528050977e-01,3.852954251059200197e-01,6.564134573431911202e-01
5.200000000000000000e+01,4.125842841095372915e-02,4.928948485066932117e-02,1.142167768401182032e-01,3.901767848056335586e-01,6.601817608608483434e-01
5.300000000000000000e+01,4.204630989303428240e-02,5.021914766946741077e-02,1.161449761156440885e-01,3.939574064552819888e-01,6.630901233599046929e-01
5.400000000000000000e+01,4.302813916545061151e-02,5.137718689580304116e-02,1.185387153191694992e-01,3.985980320848504510e-01,6.666376048814581790e-01
5.500000000000000000e+01,4.425490015113912878e-02,5.282339347975220645e-02,1.215157606042398114e-01,4.042909705213055815e-01,6.709566885328622776e-01
5.600000000000000000e+01,4.495004445752576877e-02,5.364267231132129055e-02,1.231986149151243770e-01,4.074862461492929078e-01,6.733714232164098590e-01
5.700000000000000000e+01,4.581195559884031210e-02,5.465737745121881236e-02,1.252639925923582642e-01,4.112935916559044003e-01,6.762030872172143381e-01
5.800000000000000000e+01,4.676016445692728757e-02,5.577301056015090963e-02,1.275236600294487876e-01,4.153940658231241034e-01,6.792273724835660165e-01
5.900000000000000000e+01,4.783383158031512955e-02,5.703573191331505476e-02,1.300725955013925239e-01,4.199700208505351973e-01,6.825833252477888635e-01
6.000000000000000000e+01,4.874642319557337400e-02,5.810869205740919197e-02,1.322331470991584546e-01,4.238187265095811340e-01,6.853944958164560619e-01
6.100000000000000000e+01,4.990543320509131103e-02,5.947075803535227523e-02,1.349657489335958915e-01,4.286305231031890539e-01,6.888881306030341101e-01
6.200000000000000000e+01,5.070845100270456735e-02,6.041398573139037526e-02,1.368502848208741351e-01,4.319067497772121622e-01,6.912512589180459521e-01
6.300000000000000000e+01,5.172629179597477284e-02,6.160914142787930758e-02,1.392316074469818754e-01,4.360116677543998120e-01,6.941993500619615398e-01
6.400000000000000000e+01,5.258854946987977230e-02,6.262097479467743089e-02,1.412374113639290329e-01,4.394157421138633612e-01,6.966249203322243400e-01
6.500000000000000000e+01,5.352065168280387836e-02,6.371416531976585584e-02,1.433948328958448148e-01,4.430278884892880908e-01,6.991814043193184114e-01
6.600000000000000000e+01,5.477210994193534854e-02,6.518127005931845241e-02,1.462800915307910787e-01,4.478082289025879792e-01,7.025471489567800543e-01
6.700000000000000000e+01,5.540109242443509718e-02,6.591818955559074211e-02,1.477222786853250036e-01,4.501631104848839993e-01,7.041933724756126445e-01
6.800000000000000000e+01,5.673001010636345709e-02,6.747437774793899057e-02,1.507555772942337780e-01,4.550574659904875752e-01,7.075951514776036566e-01
6.900000000000000000e+01,5.784183463136544079e-02,6.877604893310478029e-02,1.532881368689822943e-01,4.591219480001546560e-01,7.104128158058669040e-01
7.000000000000000000e+01,5.897849247827742503e-02,7.010609062115709389e-02,1.558649571822360858e-01,4.632066197049005685e-01,7.132277351510848407e-01
7.100000000000000000e+01,5.977882097848374182e-02,7.104208057368126272e-02,1.576705946960822446e-01,4.660335667133100324e-01,7.151644616692894862e-01
7.200000000000000000e+01,6.096935859359046972e-02,7.243379432811081209e-02,1.603457252826411827e-01,4.701786734474673324e-01,7.179904380014722198e-01
7.300000000000000000e+01,6.198193367984955460e-02,7.361688324711317122e-02,1.626108282647985848e-01,4.736489014090888294e-01,7.203438150177319255e-01
7.400000000000000000e+01,6.394431127930548520e-02,7.590865770975385729e-02,1.669824957662549292e-01,4.802771444280460877e-01,7.248172093462312837e-01
7.500000000000000000e+01,6.470549311732409770e-02,7.679698819186783765e-02,1.686676830805100835e-01,4.827928298731581358e-01,7.265029806738704243e-01
7.600000000000000000e+01,6.605645595746162391e-02,7.837270988980826747e-02,1.716433060739521732e-01,4.871790753222418058e-01,7.294253734325299998e-01
7.700000000000000000e+01,6.755008602178443067e-02,8.011411630181726473e-02,1.749211435593238662e-01,4.919676566661234651e-01,7.326029483794529451e-01
7.800000000000000000e+01,6.880407122552989474e-02,8.157552037733487027e-02,1.776630189506798740e-01,4.959377310317349408e-01,7.352268909137104069e-01
7.900000000000000000e+01,7.001319974822269032e-02,8.298414328273347185e-02,1.802984386913963899e-01,4.997244727704535650e-01,7.377211184554928192e-01
8.000000000000000000e+01,7.145583307854402877e-02,8.466429921451298912e-02,1.834345797333113981e-01,5.042023433121782805e-01,7.406623404325740623e-01
8.100000000000000000e+01,7.231853200641480406e-02,8.566839708062866376e-02,1.852994781170420324e-01,5.068295061256903322e-01,7.423777664593240733e-01
8.200000000000000000e+01,7.362864710097070942e-02,8.719278041412091562e-02,1.881239804653313252e-01,5.107832717106529641e-01,7.449522432757876844e-01
8.300000000000000000e+01,7.500990842908439316e-02,8.879947041966687604e-02,1.910941241067586616e-01,5.149153903100314178e-01,7.476356599007824011e-01
8.400000000000000000e+01,7.645299403024281848e-02,9.047677314554766759e-02,1.941761419152457091e-01,5.191351801946910705e-01,7.503571828865547300e-01
8.500000000000000000e+01,7.753650800638091367e-02,9.173574877933965421e-02,1.964838500306996527e-01,5.222746181731798831e-01,7.523763916284206266e-01
8.600000000000000000e+01,7.845239962431324598e-02,9.279916982610393605e-02,1.984219557782786747e-01,5.248721011722042862e-01,7.540364479735498504e-01
8.700000000000000000e+01,7.952439976045869163e-02,9.404317368497148999e-02,2.006797499389408879e-01,5.278656280356323061e-01,7.559409655369775383e-01
8.800000000000000000e+01,8.076596347103111306e-02,9.548333812334407200e-02,2.032850507619210489e-01,5.312910929739754762e-01,7.581126706069239996e-01
8.900000000000000000e+01,8.219278156253077838e-02,9.713782164722442602e-02,2.062701576128764813e-01,5.351895164161685203e-01,7.605772961824824874e-01
9.000000000000000000e+01,8.362274005489887807e-02,9.879536074300813986e-02,2.092526674841924950e-01,5.390577589977406658e-01,7.630158667411598428e-01
9.100000000000000000e+01,8.474934665979376447e-02,1.001004841136170359e-01,2.115902549481021855e-01,5.420544694610111014e-01,7.648959985353491753e-01
9.200000000000000000e+01,8.607744286465869588e-02,1.016381946794917418e-01,2.143330888724749861e-01,5.455345353236745742e-01,7.670701998540018218e-01
9.300000000000000000e+01,8.767668633100308972e-02,1.034894636920998257e-01,2.176299928079071244e-01,5.497011028991958259e-01,7.696691280811267521e-01
9.400000000000000000e+01,8.880822187682907431e-02,1.047988226115357108e-01,2.199550913878479119e-01,5.526185214968656334e-01,7.714836209916691168e-01
9.500000000000000000e+01,8.993949890881851317e-02,1.061071134861815285e-01,2.222679279832289745e-01,5.554887054994839257e-01,7.732608398411625616e-01
