pc,kappa_3.28792,kappa_32.8792,kappa_328.792,kappa_3287.92,kappa_32879.2
1.000000000000000000e+00,8.419974306932200025e-05,9.088631505417126564e-05,1.652560535245780444e-04,1.502807020523809099e-03,2.287657604016242463e-02
2.000000000000000000e+00,2.272610289420404737e-04,2.449598997686569307e-04,4.392405861899292005e-04,3.559498414864345484e-03,3.752754474253904710e-02
3.000000000000000000e+00,4.328439307459699633e-04,4.662506625036895252e-04,8.307271700479998411e-04,6.378039957221409186e-03,5.523441397939093944e-02
4.000000000000000000e+00,6.149092772832424458e-04,6.621520398032632775e-04,1.176008197588934885e-03,8.791620761401984854e-03,6.919181459833101400e-02
5.000000000000000000e+00,8.459324434144796989e-04,9.105126443661890273e-04,1.610017043192555047e-03,1.163158510378725988e-02,8.304991158713406763e-02
6.000000000000000000e+00,1.170234056917951720e-03,1.258828760893182909e-03,2.213267534174856357e-03,1.532487163959256327e-02,9.851902190830197359e-02
7.000000000000000000e+00,1.484178605325596565e-03,1.595161573386121457e-03,2.781704884751920025e-03,1.826223574416835707e-02,1.074048105406234660e-01
8.000000000000000000e+00,1.978133228668095718e-03,2.124144456086292983e-03,3.672583086744711338e-03,2.276002059844822387e-02,1.204927103941125094e-01
9.000000000000000000e+00,2.257638153935660405e-03,2.423246272687946869e-03,4.172752418605469790e-03,2.517253946354637562e-02,1.270191780092659317e-01
1.000000000000000000e+01,2.740548724396518233e-03,2.939907468849161168e-03,5.035033962019631881e-03,2.928015404604602384e-02,1.379202864526156147e-01
1.100000000000000000e+01,3.463158697703476625e-03,3.712511272118440130e-03,6.316482707967872694e-03,3.515238014610077427e-02,1.526298146585465532e-01
1.200000000000000000e+01,3.990726988797242865e-03,4.276080607570513677e-03,7.243491051907871570e-03,3.919115660699332149e-02,1.620509788345921853e-01
1.300000000000000000e+01,4.686084392325263505e-03,5.017713407867543593e-03,8.445498619227094148e-03,4.399497141385323717e-02,1.720656183862143696e-01
1.400000000000000000e+01,5.168471150998786394e-03,5.531567529577324088e-03,9.268857936247270821e-03,4.708169870775291005e-02,1.780267697348707767e-01
1.500000000000000000e+01,6.024138148260796063e-03,6.442424722587799038e-03,1.071911205651823046e-02,5.233450700364638414e-02,1.877824866244845736e-01
1.600000000000000000e+01,6.602238110119778604e-03,7.057362455127445464e-03,1.169165906028580941e-02,5.573358529605571682e-02,1.938539926864231433e-01
1.700000000000000000e+01,7.672356016463681948e-03,8.195228654177684827e-03,1.348484862403992804e-02,6.188529266682988444e-02,2.046272563763111563e-01
1.800000000000000000e+01,8.373178911012428907e-03,8.939820622940856248e-03,1.464967752161941590e-02,6.573309625688146529e-02,2.111079256705518659e-01
1.900000000000000000e+01,9.122261871929208954e-03,9.734416698981169028e-03,1.587484543881767171e-02,6.949850217137210073e-02,2.170181881548816916e-01
2.000000000000000000e+01,9.717286376604541281e-03,1.036550345710600396e-02,1.684664230275589522e-02,7.246644322024090035e-02,2.216492273706983096e-01
2.100000000000000000e+01,1.034643581220780380e-02,1.103229001099508000e-02,1.786658874920911411e-02,7.548318771446584086e-02,2.262192643744164733e-01
2.200000000000000000e+01,1.103687505110422656e-02,1.176382446749510598e-02,1.898271389765757156e-02,7.874454395354044123e-02,2.311059426428627162e-01
2.300000000000000000e+01,1.187729090762465987e-02,1.265389466704789322e-02,2.033569817172522706e-02,8.262973521322514170e-02,2.368377142285834347e-01
2.400000000000000000e+01,1.292814564956672359e-02,1.376573439733153395e-02,2.201086953937917562e-02,8.724710313482073043e-02,2.434121272605959674e-01
2.500000000000000000e+01,1.376785385511682287e-02,1.465361337376514840e-02,2.334110453992373213e-02,9.082156768419706594e-02,2.483939103745517185e-01
2.600000000000000000e+01,1.436526102439590613e-02,1.528506303582613003e-02,2.428411664875522111e-02,9.331937406484844266e-02,2.518341006630202550e-01
2.700000000000000000e+01,1.549264545119564962e-02,1.647621559822227966e-02,2.605672025982742890e-02,9.794166002611300048e-02,2.581197230489162275e-01
2.800000000000000000e+01,1.624564723041603195e-02,1.727100417732737453e-02,2.722893783645476476e-02,1.008814717781998660e-01,2.619955242703205234e-01
2.900000000000000000e+01,1.727783154302499000e-02,1.835959630262228720e-02,2.882320723737579610e-02,1.047614031417361258e-01,2.669937549220177675e-01
3.000000000000000000e+01,1.928165039552111326e-02,2.047205591611330616e-02,3.190584941198348901e-02,1.121509481906917821e-01,2.764050979190477153e-01
3.100000000000000000e+01,2.023103379359737775e-02,2.147209681820215835e-02,3.335481064792127082e-02,1.155231421094435051e-01,2.806069508400291235e-01
3.200000000000000000e+01,2.114047462013380826e-02,2.243003568108950171e-02,3.474241346906575822e-02,1.187491274509548111e-01,2.846235239964580166e-01
