pc,kappa_0.160681,kappa_1.60681,kappa_16.0681,kappa_160.681,kappa_1606.81
1.000000000000000000e+00,1.220220216624924564e-04,1.492330208062840765e-04,4.323057496694780949e-04,4.748719952117144011e-03,5.325038309821361615e-02
2.000000000000000000e+00,3.725703059186145157e-04,4.552603676233690040e-04,1.307654591118712463e-03,1.334698883110272544e-02,1.126027026091086375e-01
3.000000000000000000e+00,5.793196473647947058e-04,7.074942212112910649e-04,2.020884528056083804e-03,1.971323878063451981e-02,1.444262463289785747e-01
4.000000000000000000e+00,9.758743915261351362e-04,1.190904702914833118e-03,3.377215068754388719e-03,3.109283666879008451e-02,1.920715796784621676e-01
5.000000000000000000e+00,1.237130632322766977e-03,1.509080013126893986e-03,4.261733619721526888e-03,3.800658225784295241e-02,2.162660727799195770e-01
6.000000000000000000e+00,1.633662182906646561e-03,1.991754318909825291e-03,5.596900149739784079e-03,4.806372521063945191e-02,2.485804789795171832e-01
7.000000000000000000e+00,2.006730445832027518e-03,2.445465382220220717e-03,6.841269564481358874e-03,5.687497062518163254e-02,2.733947480311791356e-01
8.000000000000000000e+00,2.561571634011969127e-03,3.119621282171160075e-03,8.674014737760690069e-03,6.907752158069398185e-02,3.038873197107070379e-01
9.000000000000000000e+00,2.984184119588788493e-03,3.632854787463757860e-03,1.006257878328793015e-02,7.802496106718849467e-02,3.249570739625133320e-01
1.000000000000000000e+01,3.446116865301629764e-03,4.193244997743522835e-03,1.156350300790911709e-02,8.707257319510423865e-02,3.439865760801093519e-01
1.100000000000000000e+01,3.847894372297636870e-03,4.680244580433165144e-03,1.285742213900983172e-02,9.448219534450326418e-02,3.583663947890971535e-01
1.200000000000000000e+01,4.201154049466785181e-03,5.108039700085420173e-03,1.398419334750363417e-02,1.005960870191809214e-01,3.693294579209581707e-01
1.300000000000000000e+01,4.657245287515381256e-03,5.659998848507295961e-03,1.542903145298804048e-02,1.081485382625185510e-01,3.821881903560733762e-01
1.400000000000000000e+01,5.251340902266341676e-03,6.378469775880826927e-03,1.729754180693365492e-02,1.175477096236744040e-01,3.973959598648015845e-01
1.500000000000000000e+01,5.913861620264977692e-03,7.178928678831250978e-03,1.936092108599084607e-02,1.274119633383276329e-01,4.123636608760992694e-01
1.600000000000000000e+01,6.454591396101587268e-03,7.831795069824698877e-03,2.103326368776226724e-02,1.351291643103463558e-01,4.235864573705062641e-01
1.700000000000000000e+01,7.068571497538848718e-03,8.572965693048278588e-03,2.292856470214685652e-02,1.437930894664310455e-01,4.360473791529259069e-01
1.800000000000000000e+01,7.705647426855443717e-03,9.341317037231689976e-03,2.487695143044198545e-02,1.523021120241225268e-01,4.476654831111059885e-01
1.900000000000000000e+01,8.366670420292003987e-03,1.013827425176383121e-02,2.689146184563093525e-02,1.609517641383446940e-01,4.592567837592783642e-01
2.000000000000000000e+01,8.959885856020692596e-03,1.085295657609126711e-02,2.868592268037804469e-02,1.683894984762671077e-01,4.688541759710473933e-01
2.100000000000000000e+01,9.561636932965755092e-03,1.157747184940906629e-02,3.049477289904911625e-02,1.756704525112917081e-01,4.779682568361033335e-01
2.200000000000000000e+01,1.015639060206616900e-02,1.229303879237404751e-02,3.226943025936437198e-02,1.825770681409764618e-01,4.863260683650078020e-01
2.300000000000000000e+01,1.104079957978074643e-02,1.335613817224829206e-02,3.488448151559579019e-02,1.923497959488085218e-01,4.976969110112499650e-01
2.400000000000000000e+01,1.173735605194945950e-02,1.419274307896258025e-02,3.692719350759927910e-02,1.997146641738298256e-01,5.059842540699699409e-01
