pc,kappa_0.0735436,kappa_0.735436,kappa_7.35436,kappa_73.5436,kappa_735.436
1.000000000000000000e+00,3.056562183288588598e-04,3.428040015376183870e-04,7.377751914664595250e-04,6.954659104528321083e-03,8.404603078319891618e-02
2.000000000000000000e+00,6.024313762398124774e-04,6.751653418112265985e-04,1.442919495210534227e-03,1.281691393227332547e-02,1.254873360691265982e-01
3.000000000000000000e+00,8.970300982197114935e-04,1.004640852226803887e-03,2.132696826102217346e-03,1.795648743211486834e-02,1.510022365172934977e-01
4.000000000000000000e+00,1.305471838173743191e-03,1.461329385647412151e-03,3.086610166961071752e-03,2.493579768399347210e-02,1.839099897763500913e-01
5.000000000000000000e+00,1.640962311998151856e-03,1.835914191847083481e-03,3.858264620661364455e-03,3.001295302347468247e-02,2.022123454389647135e-01
6.000000000000000000e+00,2.015627545039430993e-03,2.254128251564155999e-03,4.717600870483786360e-03,3.556127748241185577e-02,2.213745453921658335e-01
7.000000000000000000e+00,2.448115663326584906e-03,2.736234479381802198e-03,5.695433901979672121e-03,4.131344308591754222e-02,2.377446482067757660e-01
8.000000000000000000e+00,2.898385274833644408e-03,3.237671416235344060e-03,6.703008018515080844e-03,4.687271758076143324e-02,2.517979576367011529e-01
9.000000000000000000e+00,3.579629507730840848e-03,3.996144359934844167e-03,8.223509047704307892e-03,5.513189487610767325e-02,2.721133653475869552e-01
1.000000000000000000e+01,4.170622458620463352e-03,4.652999216557505979e-03,9.518914235688060929e-03,6.146159450025211191e-02,2.852381052092602398e-01
1.100000000000000000e+01,4.716706427753826480e-03,5.259549514969077445e-03,1.070787633479734248e-02,6.705658408874465293e-02,2.962143835731104180e-01
1.200000000000000000e+01,5.114792454883817195e-03,5.701506051389650630e-03,1.157037297117312000e-02,7.100733093820893460e-02,3.036749763296362481e-01
1.300000000000000000e+01,5.817196614994527698e-03,6.480905022131827967e-03,1.308387878434794441e-02,7.773724311030681677e-02,3.158780726043081133e-01
1.400000000000000000e+01,6.572549327374727600e-03,7.318100344301924770e-03,1.469239932591471370e-02,8.445916178778607730e-02,3.271242234732337772e-01
1.500000000000000000e+01,7.096775631186117740e-03,7.899031275299292845e-03,1.580685137381707822e-02,8.907597802427461020e-02,3.347650525010267275e-01
1.600000000000000000e+01,7.692004063005756544e-03,8.557987013194321910e-03,1.705935373901208349e-02,9.400251492015018751e-02,3.424250433371594515e-01
1.700000000000000000e+01,9.025523432439945537e-03,1.003348935682580115e-02,1.985009909624011609e-02,1.046867836999771512e-01,3.585275884861415796e-01
1.800000000000000000e+01,1.005584610368711121e-02,1.117295682743277112e-02,2.199561097797042911e-02,1.127039887044646443e-01,3.702861768615213212e-01
