policy,ratio,sigma,S,n,d,boundary,acc_objective,alpha,lam,kappa,E_gen,E_acc,E_acc_corrected,R2_gen,R2_acc,slope_acc,acc_distribution,acc_distribution_se,trials,E_gen_mc,E_gen_mc_se,E_acc_mc,E_acc_mc_se,gaussian_selection_risk,gaussian_validation_risk,gaussian_validation_se
fixed,1e-06,0.001,1.0000000000000002,256,128,False,E_acc,25.6,0.1,0.1333670289228901,0.0315658472191775,0.2420060314303965,0.2420060730704903,0.9684341527808225,0.8912766457882815,1.491941085324652,0.2436436673565785,0.00030159413183852173,10,0.033120883294050676,0.0008967312798597676,0.25347698929340123,0.004714149230104565,,,
DE_gen_CV,1e-06,0.001,1.0000000000000002,256,128,False,E_acc,0.0001117366566673,4.364713151069076e-07,8.729341478427703e-07,9.999805660410764e-07,2.0113941685042717e-23,4.2616934406192144e-08,0.999999000019434,1.0,1.0000000000044849,8.465201118480332e-08,1.3335989461087851e-09,10,1.0181084058118139e-06,6.62774191981002e-08,3.595439491552472e-08,1.5885535670706636e-08,,,
Gaussian_acc_oracle,1e-06,0.001,1.0000000000000002,256,128,False,,0.0001357634096284,5.303258188612153e-07,1.0606391153047309e-06,9.999814645435976e-07,4.9017738836219316e-12,4.262207724993142e-08,0.9999990000185356,0.9999999999950984,1.000002213995005,8.466294414809944e-08,1.3336474369279753e-09,10,1.018048214471771e-06,6.627753037737764e-08,3.589878371547405e-08,1.582501864656768e-08,8.643624657053062e-08,8.036351351098244e-08,1.7956995924506946e-09
fixed,5.623413251903491e-05,0.0074989420933245,1.0000000000000002,256,128,False,E_acc,25.6,0.1,0.1333670289228901,0.0315758506071839,0.2418133215797127,0.2418156619108931,0.968424149392816,0.8913346867279298,1.4917451795185317,0.24345329783659664,0.0003017452411764141,10,0.033136886447252274,0.0009016758452394639,0.25336347370712453,0.004939617828913884,,,
DE_gen_CV,5.623413251903491e-05,0.0074989420933245,1.0000000000000002,256,128,False,E_acc,0.0062845548785493,2.454904249433328e-05,4.907130274636001e-05,5.617278664387727e-05,1.296096507234782e-15,2.3884070983934603e-06,0.9999438272133562,0.9999999999999988,1.0000000360013404,4.75166108052396e-06,7.488712716549384e-08,10,5.7089140287768254e-05,3.717280131585026e-06,2.0342532744627945e-06,8.428663661717674e-07,,,
Gaussian_acc_oracle,5.623413251903491e-05,0.0074989420933245,1.0000000000000002,256,128,False,,0.0063983681439591,2.499362556234033e-05,4.995949102033038e-05,5.617280668486024e-05,1.1020844190135934e-10,2.38858124488299e-06,0.9999438271933152,0.9999999998897938,1.0000104980208564,4.7521074613425415e-06,7.489134097267564e-08,10,5.70872018759104e-05,3.7171454455125625e-06,2.0334441204789538e-06,8.408365542812739e-07,4.848877408832138e-06,4.500853684842146e-06,1.0051950755053355e-07
fixed,0.0237137370566165,0.1539926526059492,1.0000000000000002,256,128,False,E_acc,25.6,0.1,0.1333670289228901,0.0358604328069837,0.1700032271121648,0.1707935014970139,0.9641395671930162,0.9147696357785222,1.4123144759915238,0.17241996719601535,0.00032925895802151116,10,0.03739419862829355,0.001104621626243711,0.18579794206106984,0.011175842807707663,,,
DE_gen_CV,0.0237137370566165,0.1539926526059492,1.0000000000000002,256,128,False,E_acc,2.7984494864288867,0.0109314433063628,0.0188498070889535,0.0172541705258237,6.901355495165848e-06,0.0004300352457593,0.9827458294741764,0.9999931347624345,1.0026270431087376,0.0009428229515256273,1.475385344392924e-05,10,0.01740690332162262,0.0008930913731121633,0.0012617685057987765,0.0004785962928533279,,,
Gaussian_acc_oracle,0.0237137370566165,0.1539926526059492,1.0000000000000002,256,128,False,,2.7082273540356328,0.0105790131017016,0.0182992021753726,0.0172566840481165,2.8863858965622097e-06,0.0004192013213391,0.9827433159518836,0.9999971037814792,0.9983010633041334,0.0009242870358403386,1.4302613755822928e-05,10,0.0173981811758527,0.0008942010534810775,0.001096471351664293,0.0004248301754391841,0.0009326161102222,0.0008720663942488,1.8967411550328277e-05
fixed,10.0,3.1622776601683795,1.0000000000000002,256,128,False,E_acc,25.6,0.1,0.1333670289228901,1.8426537651148944,0.8831933044405241,0.883752703401981,-0.8426537651148944,-242.5717294743714,0.0602163523232998,0.884055981543665,0.0006048234384821104,10,1.774812557813354,0.10974677064685845,0.8860418473991446,0.016475688464788977,,,
DE_gen_CV,10.0,3.1622776601683795,1.0000000000000002,256,128,False,E_acc,837.728384099657,3.272376500389285,3.429440757434693,0.4080700161485294,0.0216633791367,0.0462155289177195,0.5919299838514707,0.970213712054206,0.8528151531688808,0.05086219708528279,0.0007446700456620903,10,0.3696378623413304,0.027571367510575928,0.042071630681191866,0.01294124012111761,,,
Gaussian_acc_oracle,10.0,3.1622776601683795,1.0000000000000002,256,128,False,,994.1658506462006,3.883460354086721,4.050711311200127,0.4102707637754477,0.0019231591456412,0.0327500828465291,0.5897292362245523,0.9978963830924612,0.956146161563197,0.03805482129615234,0.0006259161367878537,10,0.37242729662750684,0.025813293032702953,0.021937588155103566,0.007381481200603074,0.0394357057745712,0.0369858799188811,0.0008748021306658
