policy,ratio,sigma,S,n,d,boundary,acc_objective,alpha,lam,kappa,E_gen,E_acc,E_acc_corrected,R2_gen,R2_acc,slope_acc,selection_risk,acc_distribution,acc_distribution_se,E_gen_mc,E_gen_mc_se,E_acc_mc,E_acc_mc_se,trials,E_gen_mc_std,E_gen_mc_median,E_gen_mc_q10,E_gen_mc_q90,E_acc_mc_std,E_acc_mc_median,E_acc_mc_q10,E_acc_mc_q90
fixed,0.0,0.0,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072456539055468,0.1252433052270465,0.1252433052270466,0.9927543460944532,0.9316744603821348,1.3538973088722863,,0.125503228170463,7.550636311661211e-05,0.0072577897365925,4.102368091740883e-05,0.1090989652056604,0.0007485299545882,100,0.0004102368091740935,0.0072264620824502995,0.00676203606669928,0.007765296318179481,0.007485299545882378,0.10885281778124409,0.10073985462267349,0.11949050034603154
DE_gen_CV,0.0,0.0,1736.3449650425118,1000,10000,True,E_acc,9.999999999999996e-06,9.999999999999997e-09,0.0024122148634681,5.671668049584467e-05,6.9941207313275e-14,6.994120743072062e-14,0.999943283319504,0.99999999999993,1.000000264464,,1.7686621350192525e-06,2.7756473567458e-08,6.012671695869858e-05,3.9893883893815153e-07,9.332336107608876e-13,6.161056035963771e-14,100,3.989388389381514e-06,5.9782447271073414e-05,5.586698731012895e-05,6.570559677559501e-05,6.161056035963771e-13,7.772285760341469e-13,5.421584126876097e-13,1.2861065910066088e-12
fixed,1e-06,0.0416694728193495,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072456739473232,0.125240023635357,0.1252400485036214,0.9927543260526768,0.9316757826809204,1.3538926724804528,,0.1254999724601327,7.551013875585803e-05,0.0072574361911329,4.108303061333981e-05,0.1090981059116305,0.0007493770962168,100,0.00041083030613340004,0.007225628962524801,0.00675889213406248,0.0077671122890874906,0.007493770962168515,0.1087978396287574,0.10067788200330555,0.11945267192095248
DE_gen_CV,1e-06,0.0416694728193495,1736.3449650425118,1000,10000,True,E_acc,9.999999999999996e-06,9.999999999999997e-09,0.0024122148634681,5.759170300052749e-05,1.2616998951941883e-06,1.2816230743047864e-06,0.9999424082969994,0.9999987354609028,0.9988767458456812,,3.091206714878429e-06,4.4635352686912336e-08,6.332750641066881e-05,4.0538273586529314e-07,5.03774787059397e-05,4.445540718289128e-06,100,4.0538273586529315e-06,6.332899314415806e-05,5.777363308917504e-05,6.864896764189837e-05,4.445540718287872e-05,3.9429099721583636e-05,2.1430634714863736e-05,8.523585706696579e-05
fixed,1.9573417814876616e-06,0.0582976890378464,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072456931341531,0.1252368820918594,0.1252369307666095,0.9927543068658468,0.9316770485608076,1.3538882338985847,,0.1254968556924945,7.551375280531333e-05,0.0072573056702441,4.110739977075463e-05,0.1090962334632379,0.0007497263150791,100,0.00041107399770755104,0.0072253054603251005,0.00675764692449145,0.00776792909751157,0.007497263150791531,0.10877367048020234,0.10065811062699628,0.11943578338003871
DE_gen_CV,1.9573417814876616e-06,0.0582976890378464,1736.3449650425118,1000,10000,True,E_acc,9.999999999999996e-06,9.999999999999997e-09,0.0024122148634681,5.8429398604002337e-05,4.82453611259037e-06,4.863495068837072e-06,0.999941570601396,0.999995154199834,0.997803517331598,,6.713166220680778e-06,7.372993974218876e-08,6.643372380017994e-05,4.383909460172257e-07,0.0001880336771724,1.624888160642007e-05,100,4.383909460172258e-06,6.675970490737351e-05,6.098438024472094e-05,7.210443733448151e-05,0.00016248881606419852,0.0001462805686525,7.915441782112467e-05,0.0003096983236537001
fixed,3.831186849557285e-06,0.0815614001618772,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072457306893369,0.1252307331911687,0.1252308284606753,0.992754269310663,0.93167952628646,1.3538795461610755,,0.1254907552825276,7.552082524152684e-05,0.0072571331759551,4.114214808997645e-05,0.1090921496451651,0.0007502254985283,100,0.00041142148089976557,0.00722486143705325,0.006756031205289999,0.00776908166057025,0.00750225498528319,0.10874722569428524,0.1006680561160016,0.11941247883736314
DE_gen_CV,3.831186849557285e-06,0.0815614001618772,1736.3449650425118,1000,10000,True,E_acc,9.999999999999996e-06,9.999999999999997e-09,0.0024122148634681,6.006905520885218e-05,1.840836322593558e-05,1.848446902860137e-05,0.9999399309447912,0.9999814326522748,0.995709503149292,,2.041519580747624e-05,1.394265267632865e-07,7.253040018793822e-05,5.44721075029658e-07,0.0006935843517702,5.814411269961607e-05,100,5.44721075029658e-06,7.226777272315924e-05,6.584297617975024e-05,7.895819776055923e-05,0.0005814411269961598,0.0005499444660451,0.00029804485586847,0.001098999819478231
fixed,7.498942093324558e-06,0.1141085025179519,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072458041976673,0.1252186983562161,0.1252188848173506,0.9927541958023328,0.9316843759123692,1.353862541612158,,0.1254788153447898,7.55346626958107e-05,0.0072569116384515,4.119204097862306e-05,0.1090835706552814,0.0007509444981213,100,0.0004119204097862291,0.0072242570056289,0.00675596286445178,0.00777071334988418,0.0075094449812139995,0.1087278077102139,0.10069272747061009,0.11939240835937713
DE_gen_CV,7.498942093324558e-06,0.1141085025179519,1736.3449650425118,1000,10000,True,E_acc,9.999999999999996e-06,9.999999999999997e-09,0.0024122148634681,6.327842358881698e-05,6.995422768225867e-05,7.010257030080303e-05,0.9999367215764112,0.9999288607507404,0.9916361356011556,,7.22018910736043e-05,2.8302473018135225e-07,8.44871099379787e-05,8.274917822713435e-07,0.0024930542106791,0.0001985577277648,100,8.27491782271008e-06,8.38100797739883e-05,7.537542840053517e-05,9.540120219059039e-05,0.001985577277648948,0.00200853126362525,0.0011000620787807798,0.0038419077711581537
fixed,1.4677992676220704e-05,0.1596435362934769,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072459480785937,0.1251951446195562,0.125195509534664,0.9927540519214064,0.931693867789602,1.3538292591343404,,0.1254554472942676,7.556172542415948e-05,0.0072566404334734,4.1264336869132216e-05,0.1090659607457483,0.0007519903469314,100,0.00041264336869131925,0.00722344421881955,0.00675589860065735,0.00777303373769032,0.007519903469314224,0.10871840556106796,0.10069447324095944,0.11935821353749468
DE_gen_CV,1.4677992676220704e-05,0.1596435362934769,1736.3449650425118,1000,10000,True,E_acc,9.999999999999996e-06,9.999999999999997e-09,0.0024122148634681,6.956025441110739e-05,0.0002637747629957,0.000264062402992,0.9999304397455888,0.9997274438840996,0.9837588558594,,0.0002665294188779,6.063284423302756e-07,0.0001079232577083,1.4599240221553957e-06,0.0085371307994874,0.0006222595224962,100,1.4599240221537158e-05,0.00010499555583865,9.301018762109575e-05,0.00012828119082320004,0.006222595224962859,0.0070638854939188995,0.0039230617202589,0.013183528519557211
