trial,gen_baseline,gen_linear,gen_noise,N0_over_D0,N1_over_D0,D1_over_D0,D2_over_D0,slope_fit_error,gen_fit_error
0,5.688783933657198e-05,-3.1554193786351674e-05,0.0017506834686110773,1.0000007550657277,0.0360243648964943,0.07203649688531066,3.23153451050652,5.440092820663267e-15,1.0408340855860843e-17
1,5.6355645566523393e-05,-1.061830676111217e-05,0.0018285518361843339,1.0000008725171643,-0.0043188076405176745,-0.00864732163277448,3.6320615359535653,3.6637359812630166e-15,7.040537857577744e-17
2,5.8511642186252095e-05,-1.6123515504456662e-07,0.0025901873275737666,1.0000008856725329,-0.00894048922841395,-0.017756485063154855,6.466471573925861,5.440092820663267e-14,2.233632658173168e-15
3,6.170711592187342e-05,2.7211465525251615e-05,0.0023475759653314348,1.0000008731717687,-0.012244413577332303,-0.02446616098758044,4.723272303355423,3.9968028886505635e-15,2.7281237165166505e-17
4,5.7404763465387205e-05,-1.060185068944917e-05,0.0014633678444450444,1.0000006849687724,0.0059765479645691455,0.011954058480938248,2.9347704954621956,5.218048215738236e-15,1.5619287547369298e-16
5,5.4541392179767867e-05,-5.146877927168596e-05,0.002105081199538255,1.0000008893231147,0.02155211433656934,0.0430926157109024,3.665927210597392,4.9960036108132044e-15,3.904483073663423e-17
6,5.373448442044061e-05,2.097487503311974e-07,0.0034188501073337684,1.0000008744123141,-0.005129796804347442,-0.010206090189655855,9.57287068184758,4.5075054799781356e-14,3.389459936678496e-15
7,6.023648449818027e-05,5.73853804570822e-05,0.0020076011280936957,1.0000023102602826,-0.03646790584255233,-0.07276886048771061,5.04323536686374,1.5654144647214707e-14,1.0110185258427329e-16
8,7.1398703381329e-05,-1.8742276384362423e-05,0.002439846831863774,1.0000007045731876,0.0008846338655715269,0.0017652391253156386,4.84842205254416,8.992806499463768e-15,3.133344278483108e-17
9,5.1187682110767856e-05,3.421491583321647e-05,0.002732079203953548,1.0000009851929672,0.01484912462728516,0.029626816959599213,5.714182905559461,4.973799150320701e-14,2.3172653032532686e-15
10,5.929552129549216e-05,2.458706510569754e-05,0.002019011835278959,1.0000008282802937,0.002935543410848729,0.005865125063101847,4.654272629232144,7.438494264988549e-15,1.434941575284565e-16
11,5.927350709356904e-05,1.514597349905084e-05,0.002006420481466159,1.0000010546933675,-0.0016436407802462027,-0.003251917645883947,3.936380535885365,2.5646151868841116e-14,6.596150492130248e-16
12,5.601052730022184e-05,2.479683267162517e-05,0.002892137436105224,1.0000009143728037,0.005954629409546719,0.011942142111090738,5.787193954410643,9.769962616701378e-15,1.7068052700353054e-16
13,6.226938587771423e-05,1.2845489029515955e-05,0.001268774756205037,1.0000007293958686,-0.011435235553401507,-0.02287107137908085,2.2767697012060526,3.885780586188048e-15,3.99257450017787e-17
14,5.760871943798486e-05,3.218332776046441e-05,0.001686112553937551,1.00000067916221,0.006044503201955487,0.012083277484577689,3.5937992263711793,8.548717289613705e-15,6.049848122469115e-17
15,6.155787695914376e-05,8.128704773662377e-06,0.001510877257023359,1.0000009655096351,-0.00021155104861925178,-0.0004419204646858941,3.380442887596899,4.440892098500626e-15,2.9518759398633465e-16
16,6.340343591179335e-05,1.4555447386130826e-05,0.0018906238453941819,1.0000011770703883,-0.005480954004659033,-0.01086450368561732,4.407203961716675,1.1435297153639112e-14,1.1143023352991333e-15
17,6.176263719795325e-05,5.536845610461098e-06,0.0016631592847092442,1.0000007876893058,0.0028297892219693033,0.005662910246654472,3.116747117806989,3.4416913763379853e-15,5.948204168798599e-17
18,6.163536662940953e-05,-1.6420612590400453e-06,0.0019431526397561173,1.0000016316866127,-0.0031659321773468974,-0.006274043562280853,3.693781660599672,5.10702591327572e-15,1.576158908250802e-17
19,5.803423836786066e-05,-2.5674906504158737e-05,0.0015910889198970347,1.0000011301356464,0.03031517045036697,0.060569951947382544,2.6598736648479053,7.549516567451064e-15,2.9488943838890114e-16
20,5.942107400755231e-05,4.369314368470327e-06,0.0017473039108480326,1.0000009622323318,0.008572019801268649,0.017147653585796035,3.0061683103906223,7.549516567451064e-15,1.198178925868043e-16
21,6.827102157261676e-05,-5.03394490963661e-06,0.0015209546458259037,1.0000009361199607,0.005543629328408961,0.011076284039979357,3.805891452464458,8.659739592076221e-15,9.054443392969569e-17
22,6.56802782044713e-05,1.0169985195651273e-05,0.0026655134869649905,1.0000009350423555,0.0034294884487655053,0.006813959481506324,4.304955440319653,1.6209256159527285e-14,8.573057628386005e-16
23,5.926901550289363e-05,-2.1478821455062677e-05,0.001892397300237175,1.0000008862897463,0.0014212502040968356,0.002846681024078107,3.4309044351280367,5.88418203051333e-15,4.8057261295419984e-17
24,6.66447972064739e-05,-3.875494665373151e-05,0.0016879976295583893,1.0000011038695054,0.01850922339062372,0.037016665841427404,3.070868097142651,3.3306690738754696e-15,1.7076184216646695e-17
25,5.706883646194273e-05,-1.5602772305429438e-05,0.0030957670432992202,1.0000015208784119,0.02623919567625982,0.0522808357563382,4.822370710851523,2.220446049250313e-14,2.9435817932438324e-15
26,5.850997211802317e-05,-1.4820365410754712e-05,0.001491693556282528,1.0000008595983494,0.009825272870291168,0.019646264720966863,2.7827387591509622,8.43769498715119e-15,1.5856456772600502e-17
27,5.919522622445677e-05,-3.122393988196136e-05,0.0015828203207099646,1.0000009764865483,-0.011634732111008739,-0.02327291645185597,3.362103670767341,9.325873406851315e-15,1.0069527676959122e-17
28,5.447200967682593e-05,-1.0580191900580601e-05,0.0012125852419071095,1.0000008769430944,8.844880306421721e-05,0.00017119890588279514,1.8202220926470594,1.0547118733938987e-14,9.471861229376488e-17
29,5.611056377582975e-05,1.5492353499575322e-05,0.0015446783324380615,1.000000857446585,0.0034867529353336812,0.006974498945402577,2.5861418478803664,3.774758283725532e-15,6.762711050878334e-18
30,6.441669282751841e-05,-1.4387611513721235e-05,0.0016606786437843996,1.0000009434033517,0.004273470869343765,0.008547592865218999,3.1766794335291717,7.993605777301127e-15,3.9315881279755605e-17
31,5.447911590840437e-05,-2.770163290681353e-06,0.0017214918128313432,1.000000775726258,-0.002065012429755708,-0.004132636803504728,2.896288155917716,4.440892098500626e-16,3.7283002206345284e-17
32,6.001020834811147e-05,-1.0574187997390886e-05,0.0015957241960735714,1.0000008875274993,0.004471692088894308,0.0089457481000262,3.354295252446458,4.9960036108132044e-15,2.0017082609513626e-17
33,6.370021799937584e-05,1.3263124295263221e-05,0.00206067830405999,1.0000010638042234,-0.008504898821130813,-0.01697688037301584,4.116183722211313,2.1094237467877974e-14,5.381437483131801e-16
34,5.8682939595066585e-05,4.9018544207172447e-05,0.0025881609377138032,1.0000009543799329,-0.015024878779531736,-0.0300308552253573,6.351075653346768,1.6209256159527285e-14,2.4248181587638307e-16
35,5.887998404221466e-05,-4.571973125397952e-06,0.002274962638087032,1.0000007805206221,0.003970377733299668,0.007945401502574539,4.263717129058709,6.439293542825908e-15,1.6723818510588906e-17
36,6.022318096643013e-05,1.5075523411479008e-05,0.0016251865648486353,1.000001022434307,-0.007613847271071783,-0.015223638444942643,2.73573958357561,5.662137425588298e-15,5.960401443239061e-17
37,5.729923719833903e-05,-5.24030390239565e-06,0.0013075725099203326,1.0000007403901399,0.003614260017909404,0.007226950825947485,2.3185331724825393,2.6645352591003757e-15,5.4725104656205836e-17
38,5.673383418159148e-05,-4.878678627481318e-05,0.0017831527828857548,1.0000007370787576,0.005483993948464494,0.010973064670859248,4.183236454433252,3.219646771412954e-14,1.2544219135657286e-16
