spectrum,d,n,n_folds,n_cv_train,sigma,n_trials,teacher_seed,mc_seed,lambda_min,lambda_max,n_lambda,theory_lambda_cv,theory_lambda_full,theory_kappa_final,theory_r2_gen,theory_r2_acc,theory_r2_acc_delta,theory_acc_alignment,theory_r2_peer,theory_r2_peer_delta,theory_peer_gain,theory_peer_gain_delta,mc_lambda_mean,mc_lambda_log_mean,mc_lambda_median,mc_lambda_q25,mc_lambda_q75,mc_lambda_mode,mc_lambda_at_lower_boundary_fraction,mc_lambda_at_upper_boundary_fraction,mc_elapsed_seconds,mc_gen_error,mc_gen_error_std,mc_gen_error_se,mc_gen_error_median,mc_gen_error_n_finite,mc_r2_gen,mc_r2_gen_std,mc_r2_gen_se,mc_r2_gen_median,mc_r2_gen_n_finite,mc_acc_error,mc_acc_error_std,mc_acc_error_se,mc_acc_error_median,mc_acc_error_n_finite,mc_acc_alignment,mc_acc_alignment_std,mc_acc_alignment_se,mc_acc_alignment_median,mc_acc_alignment_n_finite,mc_r2_acc,mc_r2_acc_std,mc_r2_acc_se,mc_r2_acc_median,mc_r2_acc_n_finite,mc_peer_error,mc_peer_error_std,mc_peer_error_se,mc_peer_error_median,mc_peer_error_n_finite,mc_peer_gain,mc_peer_gain_std,mc_peer_gain_se,mc_peer_gain_median,mc_peer_gain_n_finite,mc_r2_peer,mc_r2_peer_std,mc_r2_peer_se,mc_r2_peer_median,mc_r2_peer_n_finite,mc_peer_true_variance,mc_peer_true_variance_std,mc_peer_true_variance_se,mc_peer_true_variance_median,mc_peer_true_variance_n_finite,mc_lambda_cv_a,mc_lambda_cv_a_std,mc_lambda_cv_a_se,mc_lambda_cv_a_median,mc_lambda_cv_a_n_finite,mc_lambda_cv_b,mc_lambda_cv_b_std,mc_lambda_cv_b_se,mc_lambda_cv_b_median,mc_lambda_cv_b_n_finite,mc_lambda_cv_mean,mc_lambda_cv_mean_std,mc_lambda_cv_mean_se,mc_lambda_cv_mean_median,mc_lambda_cv_mean_n_finite
isotropic,128,256,5,204.8,0.1,300,20260814,20260815,0.0001,10.0,61,0.006812920690579608,0.004641588833612777,0.013447408063180457,0.9901706087269788,0.9999878489407252,0.9999504497919403,1.0034980305187495,0.9998239343092112,0.9997477699704045,0.986731025254798,0.986731025254798,0.006169922807624011,0.004987887696449106,0.005623413251903491,0.003831186849557285,0.008254041852680182,0.005623413251903491,0.016666666666666666,0.0,5.468219941947609,0.009990136250048515,0.0012970743462959859,7.488662229929452e-05,0.010023235384070992,300,0.9900098637499514,0.001297074346295986,7.488662229929453e-05,0.989976764615929,300,0.00010971708431962967,0.00011825569178707918,6.827495548647558e-06,7.409148750554657e-05,300,1.0022960573464437,0.0071127332277690514,0.0004106538443726457,1.0017985889620327,300,0.9998918680487776,0.000114441381677194,6.607276251776066e-06,0.9999270351531652,300,0.0002529500274478701,0.00022660552915943803,1.3083076326005913e-05,0.00017583440736875959,300,0.9878851507729292,0.007194795820008732,0.0004153917303446435,0.9884905826199444,300,0.9997483213824849,0.00022200075255608443,1.2817219424855484e-05,0.9998236017911785,300,1.004701831777207,0.014273940158734386,0.0008241063193041906,1.0037338310054746,300,0.006197025661554124,0.003153572593284545,0.0001820715985641858,0.005623413251903491,300,0.0061428199536939,0.0031716487794865565,0.00018311522766115113,0.005623413251903491,300,0.0061699228076240115,0.002249506637342146,0.00012987532626133379,0.005730577197953614,300
isotropic,128,256,5,204.8,0.3,300,20260814,20260825,0.0001,10.0,61,0.056234132519034905,0.046415888336127774,0.10287261864364274,0.92240597231791,0.9997008383472965,0.9994416567303618,1.0176007172551553,0.9912994064480191,0.9907160744309608,0.9067230277507844,0.9067230277507844,0.056702749917415286,0.05448161839981665,0.056234132519034905,0.046415888336127774,0.06812920690579607,0.056234132519034905,0.0,0.0,5.409124461002648,0.07875506260438347,0.010052954157029264,0.0005804075788711813,0.07774127396403537,300,0.9212449373956165,0.010052954157029264,0.0005804075788711813,0.9222587260359647,300,0.0015599856822171017,0.001699889619636703,9.81431729489901e-05,0.0009943425117774902,300,1.0169082405749634,0.02517356617602476,0.0014533965208190752,1.0171826234217576,300,0.998574471649473,0.00147294626022388,8.504059198421096e-05,0.9990373141149574,300,0.010037144135491095,0.0054870413679972965,0.0003167944810867851,0.00907981118680944,300,0.9082097371976274,0.025825928007401577,0.0014910606487145194,0.9089603033015441,300,0.9902902210435891,0.004950558007813866,0.00028582059984501925,0.9909905364835142,300,1.0353764668321437,0.051291096354283354,0.0029612928287176526,1.0352443133809528,300,0.05557282822682756,0.0158623754588688,0.0009158146741164813,0.056234132519034905,300,0.05783267160800303,0.01552162454606557,0.000896141410993126,0.056234132519034905,300,0.056702749917415286,0.010987787535775971,0.0006343802091578671,0.056234132519034905,300
isotropic,128,256,5,204.8,0.6,300,20260814,20260835,0.0001,10.0,61,0.21544346900318823,0.1778279410038923,0.3431973506106044,0.7716690780538384,0.998667468118218,0.998049236942883,1.037886878545388,0.9347157829369532,0.9330672718901939,0.7444922367851678,0.7444922367851678,0.22957620026166523,0.22159275427234337,0.21544346900318823,0.1778279410038923,0.2610157215682536,0.2610157215682536,0.0,0.0,5.61296931700781,0.23600430775949477,0.024598708799113963,0.001420207114688566,0.2363312514449937,300,0.7639956922405052,0.024598708799113966,0.0014202071146885663,0.7636687485550063,300,0.010003186389978626,0.011295049327495817,0.000652119976973981,0.0066766428646833536,300,1.0529987829122862,0.06064699575270561,0.003501455932336667,1.0504584228810674,300,0.99209910577014,0.00794028190889048,0.0004584323897539434,0.9942588982368311,300,0.08300532665667072,0.03947294272628575,0.0022789714108727758,0.07599678377933317,300,0.7366995721045771,0.05146845864396313,0.002971532845286723,0.7360442734755384,300,0.9256479479325712,0.02718960749678731,0.0015697927207430418,0.928048342936477,300,1.1160007522145508,0.1295605477626848,0.007480181712714143,1.1065674487389576,300,0.23299050596189516,0.05918528692008061,0.0034170641335373774,0.21544346900318823,300,0.22616189456143532,0.060825690931996836,0.0035117729033233348,0.21544346900318823,300,0.22957620026166523,0.04349477998445778,0.0025111722932370244,0.21942183128607295,300
isotropic,128,256,5,204.8,1.0,300,20260814,20260845,0.0001,10.0,61,0.6812920690579608,0.46415888336127775,0.9210126840482094,0.5773849783804383,0.988083250131187,0.9872175537910234,1.122540906244955,0.7701361069947882,0.7675591034470163,0.520558770019503,0.520558770019503,0.6460265763045876,0.6154130008651769,0.6812920690579608,0.46415888336127775,0.8254041852680182,0.6812920690579608,0.0,0.0,5.45563323807437,0.4299850559679255,0.038533365580698364,0.0022247248990798457,0.4274983313328366,300,0.5700149440320744,0.038533365580698364,0.0022247248990798457,0.5725016686671633,300,0.036991471071048374,0.04966987906761328,0.0028676918050302685,0.022457242831274045,300,1.100367904317003,0.11630830319476088,0.006715063015848379,1.0889161774946081,300,0.9766850034230132,0.020971132114316955,0.0012107688771412098,0.9829132142305648,300,0.2709802797286669,0.14373659349648543,0.008298636094759566,0.24760332536573482,300,0.5443229659965662,0.07749965720406232,0.00447444479488691,0.5384318423774919,300,0.7820931487527443,0.06974770608421761,0.0040268856883081934,0.7831310970363428,300,1.2377272797050547,0.2720372857464539,0.01570608001553303,1.1949170572818286,300,0.6513000968566185,0.20911516536089333,0.012073269701274486,0.6812920690579608,300,0.6407530557525566,0.1993396607425103,0.011508880678985698,0.5623413251903491,300,0.6460265763045876,0.14533816010851527,0.008391102586217622,0.621816697124155,300
powerlaw_1,128,256,5,204.8,0.1,300,20261814,20261815,0.0001,10.0,61,0.004641588833612777,0.0031622776601683794,0.009065336666867133,0.9903203391253661,0.9999631138487335,0.9998948134800867,1.0061105085565072,0.9994093666524411,0.9992663220754626,0.9756970506407374,0.9756980525351356,0.004418210262620804,0.003991270030659953,0.004641588833612777,0.0031622776601683794,0.005623413251903491,0.004641588833612777,0.0016666666666666668,0.0,5.085250691976398,0.00984159728066482,0.0011501451225977473,6.640365961389445e-05,0.009801698670110116,300,0.9901584027193352,0.0011501451225977464,6.64036596138944e-05,0.9901983013298898,300,0.00024777690781937356,0.0002573071926013392,1.4855637691281005e-05,0.0001768288050051118,300,1.0047755386690957,0.010251660552700317,0.0005918798979742195,1.0052104099207937,300,0.999758822829322,0.00024361568839058182,1.406515832711184e-05,0.9998286916965298,300,0.000757505255268153,0.0005488239490944358,3.1686365474738595e-05,0.000662194984103143,300,0.9771121907482215,0.0103694618323664,0.000598681158026829,0.9771916614643849,300,0.9992483482323063,0.0005303348929361753,3.0618899319735215e-05,0.9993390954894872,300,1.009798854246011,0.020609363411806445,0.0011898821513633274,1.0105696190570672,300,0.004580371733152264,0.0017935977703424902,0.00010355341555251491,0.004641588833612777,300,0.004256048792089343,0.0017318446013507112,9.998809467844331e-05,0.004641588833612777,300,0.004418210262620804,0.0012178085728523666,7.031021073577477e-05,0.004392845456035935,300
powerlaw_1,128,256,5,204.8,0.3,300,20261814,20261825,0.0001,10.0,61,0.03831186849557285,0.03162277660168379,0.06675678349279117,0.929629333844833,0.9993596770994867,0.9990037659667248,1.0259615490332241,0.9789780725954242,0.9780852005183732,0.8550105955437579,0.8550499278002532,0.038530209858571966,0.03703489443869806,0.03831186849557285,0.03162277660168379,0.046415888336127774,0.03831186849557285,0.0,0.0,5.314147277036682,0.07159677941720084,0.008516431331766688,0.0004916963921930461,0.07094568182539329,300,0.9284032205827992,0.008516431331766687,0.000491696392193046,0.9290543181746067,300,0.003401943676163721,0.003395891890537336,0.00019606190971405978,0.0024055527752405467,300,1.0250468756016635,0.03632659532242744,0.002097316958814608,1.0205327365041679,300,0.9969538589637146,0.00286171287365662,0.00016522106979490668,0.997711753293462,300,0.024291514963459885,0.012042408861337069,0.0006952687997784491,0.022549313386594102,300,0.8561818692867521,0.034077678460978464,0.0019674756832803427,0.854541386504838,300,0.9768210200951205,0.010072520148991652,0.0005815372219438259,0.977429322978218,300,1.0534956948794911,0.07454345514528334,0.004303768389445412,1.0422639093899784,300,0.0382590311613706,0.0109006955983368,0.000629351953805392,0.03831186849557285,300,0.03880138855577333,0.010309687386429041,0.0005952300787815696,0.03831186849557285,300,0.038530209858571966,0.007169583209849096,0.0004139360796183796,0.03831186849557285,300
powerlaw_1,128,256,5,204.8,0.6,300,20261814,20261835,0.0001,10.0,61,0.1467799267622069,0.12115276586285877,0.21858967363574466,0.8100918642239598,0.9978850981728677,0.9971084458184868,1.0482049122734305,0.8954745932000336,0.8935366402549659,0.6766961076634456,0.6769048617495991,0.15946114924657476,0.15325571078851574,0.1467799267622069,0.12115276586285877,0.1778279410038923,0.1467799267622069,0.0,0.0,5.152379502076656,0.19528884336126762,0.018438192367103257,0.0010645295326517168,0.19517915977571554,300,0.8047111566387325,0.018438192367103264,0.001064529532651717,0.8048208402242845,300,0.0165554469567333,0.018192843429582016,0.001050364305139389,0.010226084069693425,300,1.0693150633910133,0.07682346871446546,0.004435405034237743,1.0708712236982976,300,0.9879484559980203,0.010772074093056288,0.0006219259877356642,0.9914438886664145,300,0.13258090838356248,0.05416214210430269,0.003127052732380592,0.12869310375273596,300,0.6685920155602811,0.05288380689305422,0.003053248014547704,0.6634847912180439,300,0.8843314462646562,0.03449022350320157,0.0019912939823983782,0.883819464350764,300,1.1551855737387602,0.1671463687197838,0.009650200097443561,1.1541853236880488,300,0.16011537853717367,0.04631194808789164,0.0026738215695240207,0.1467799267622069,300,0.1588069199559758,0.044930741790490836,0.002594077586762945,0.1467799267622069,300,0.15946114924657476,0.03192857414612555,0.001843397087810651,0.1623039338830496,300
powerlaw_1,128,256,5,204.8,1.0,300,20261814,20261845,0.0001,10.0,61,0.46415888336127775,0.31622776601683794,0.596196755377798,0.6606106177814473,0.9860200796922939,0.9846666585896771,1.1340912178757434,0.7415141857791125,0.7391450671024705,0.4915849980371474,0.49209780666810454,0.46290599745282957,0.42945401432411184,0.46415888336127775,0.31622776601683794,0.5623413251903491,0.46415888336127775,0.0,0.0,5.108147738967091,0.34576188370880817,0.03323069884440133,0.0019185752923174492,0.3446267285860256,300,0.6542381162911918,0.03323069884440132,0.0019185752923174487,0.6553732714139744,300,0.05990418064319892,0.07780917074348133,0.00449231456741705,0.034156653586601686,300,1.1210781268961385,0.14757744784122986,0.008520387923745201,1.104530716118593,300,0.9637603235932852,0.03377163865610203,0.0019498064669075275,0.9741361743188532,300,0.31958544960729185,0.16757770163120886,0.00967510311469572,0.28257870252455985,300,0.5107580880156917,0.07144109037595477,0.004124653275975786,0.5113524218981459,300,0.7482938614864321,0.06901817745390196,0.003984766333198765,0.7526295202609763,300,1.3020604344354758,0.35537590363076665,0.02051763736247296,1.2462181999840438,300,0.4444482681926587,0.16235346104596232,0.009373481443875375,0.46415888336127775,300,0.48136372671300043,0.2012212484164858,0.011617514193993064,0.46415888336127775,300,0.4629059974528297,0.12662419443726394,0.007310651274427384,0.43928454560359353,300
powerlaw_1p5,128,256,5,204.8,0.1,300,20262814,20262815,0.0001,10.0,61,0.004641588833612777,0.0031622776601683794,0.00856940095900954,0.9911460338800637,0.9997211992985338,0.999572990362924,1.0169808611546214,0.9949866975309914,0.994634322211742,0.9291953217011152,0.929214650793183,0.004310061909322742,0.004119657499457459,0.004236387841585031,0.0031622776601683794,0.004641588833612777,0.004641588833612777,0.0,0.0,5.093579613021575,0.009007632704636259,0.0011043341081347694,6.375875946068943e-05,0.008909071154968792,300,0.9909923672953638,0.001104334108134768,6.375875946068936e-05,0.9910909288450311,300,0.0008257002779461253,0.0008029750170704727,4.635978422581817e-05,0.0005483470114040663,300,1.0113937817397762,0.019239447000984143,0.0011107899905077733,1.0105934529028708,300,0.9992144300959052,0.0007414668442955292,4.280860821492061e-05,0.9994588211150072,300,0.0051808217485082905,0.002774700054954555,0.00016019738236484817,0.00487108917670259,300,0.9341660660671032,0.01909043990724099,0.001102187061939396,0.9336147518728293,300,0.9949398200181417,0.0025474746704215417,0.000147078518672163,0.9951269865115695,300,1.0236132637574986,0.03888965139118547,0.0022452950699391634,1.0213427295995192,300,0.0042978384658434576,0.0012740439800680067,7.355696348516857e-05,0.003831186849557285,300,0.004322285352802025,0.001296635159982321,7.486126586565264e-05,0.004641588833612777,300,0.004310061909322742,0.0008881615484440426,5.127803090780428e-05,0.004236387841585031,300
powerlaw_1p5,128,256,5,204.8,0.3,300,20262814,20262825,0.0001,10.0,61,0.03831186849557285,0.03162277660168379,0.05735443277335892,0.9507738911621828,0.9977904359781796,0.997294719613455,1.049324549621228,0.9371078278016449,0.9359392306407123,0.7492168821504226,0.7495168684643626,0.03713204464395203,0.03567476418992897,0.03831186849557285,0.03162277660168379,0.046415888336127774,0.03831186849557285,0.0,0.0,5.201312402030453,0.05006762442848236,0.005228568060241238,0.0003018715177056558,0.04993046669387275,300,0.9499323755715176,0.005228568060241233,0.0003018715177056555,0.9500695333061272,300,0.007880409256634214,0.007349003157315672,0.0004242948951151613,0.0058922859529488385,300,1.037530222226228,0.05620192980681705,0.003244819930294227,1.0419790259607722,300,0.9930084227247884,0.006572983283380503,0.00037949136680386433,0.9946507154785305,300,0.06679694288789577,0.025499683295402954,0.0014722249014851097,0.06311594042869219,300,0.7576841217020027,0.03806072110614079,0.0021974367576181653,0.7576515477512991,300,0.9375671334047923,0.018104211093085472,0.0010452471148058706,0.9390681487267252,300,1.0829408537090897,0.11598191145929804,0.006696218780215306,1.0877146936972328,300,0.03671991565731132,0.010067795359564797,0.00058126443609908,0.03831186849557285,300,0.03754417363059273,0.010894860409009362,0.000629015058992495,0.03831186849557285,300,0.037132044643952034,0.007439769654222956,0.00042953530125744324,0.036258730246476564,300
