sigma,noise_signal_ratio,signal_power,de_alpha,mc_alpha_median,mc_alpha_q25,mc_alpha_q75,de_gen_error_normalized,mc_gen_error_normalized,mc_gen_error_normalized_se,de_acc_error_normalized,mc_acc_error_normalized,mc_acc_error_normalized_se,de_r2_gen,mc_r2_gen,mc_r2_gen_se,de_r2_acc,mc_r2_acc,mc_r2_acc_se,mc_r2_acc_median,mc_r2_acc_q25,mc_r2_acc_q75,de_slope_gen,mc_slope_gen,mc_slope_gen_se,de_slope_acc,mc_slope_acc,mc_slope_acc_se,mc_slope_acc_median,mc_slope_acc_q25,mc_slope_acc_q75
0.0,0.0,6778.303260577998,0.0001,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.00026636976356563354,0.00027704401785648506,2.477664142124545e-06,8.225653867916675e-14,1.6775669742922663e-10,2.2212337107012e-11,0.9997336302364344,0.9997229559606363,2.4776643344669604e-06,0.9999999999999177,0.9999999998323584,2.2171766518346703e-11,0.9999999999135287,0.9999999997827701,0.9999999999806696,1.0026688017587637,1.0024682957699895,5.1168259173932514e-05,1.0000002868040074,1.0000006923896323,1.299872981554511e-06,1.0000004395468995,0.9999923938844848,1.0000113501161465
0.01,1.4752954560412044e-08,6778.303260577998,0.0001,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.00026638270114594833,0.0002719863084881486,2.9045137558992575e-06,1.4442176530570782e-10,8.519927462011526e-10,9.856801241671435e-11,0.999733617298854,0.9997280136703973,2.9045139813779297e-06,0.9999999998555745,0.999999999148975,9.860084914147794e-11,0.9999999995598974,0.9999999988420959,0.9999999998589219,1.002668788713939,1.0024282140878606,4.64863082030476e-05,0.9999952350654153,0.9999942910035613,2.8769375061273576e-06,0.9999912529690544,0.9999746963443062,1.0000137379475265
0.03,1.3277659104370838e-07,6778.303260577998,0.0001,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.00026648620178846633,0.0002810572059885918,2.871253884641419e-06,3.136439443741785e-09,7.768632417127676e-09,9.61472692592752e-10,0.9997335137982115,0.9997189427721929,2.871254107537871e-06,0.9999999968630792,0.9999999922316618,9.613262357282896e-10,0.9999999955100873,0.9999999891772526,0.9999999993940509,1.0026686843553574,1.002463230131838,5.348718113304031e-05,0.9999548229940476,0.9999428433848228,6.74331270813696e-06,0.9999356979101157,0.999899848045521,0.9999934077534048
0.1,1.4752954560412047e-06,6778.303260577998,0.0001,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.00026766352159710894,0.00028235757693755834,2.888063290604574e-06,2.668308879899001e-07,4.0101969180462044e-07,2.6784870467312044e-08,0.9997323364784029,0.9997176424011429,2.888063514806559e-06,0.9999997328749818,0.9999995984101483,2.6840653359989016e-08,0.9999996346046525,0.9999994385501869,0.9999998149351202,1.002667497278019,1.002456180773471,5.3929262010965636e-05,0.9994953654670479,0.9994071773184038,2.237896539461873e-05,0.9993959368098675,0.9992514287877683,0.9995701060814555
0.3,1.3277659104370838e-05,6778.303260577998,0.0001,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.0002780135858489119,0.0002858718625705184,2.5568725148875233e-06,2.059196034698651e-05,2.7833199467891937e-05,7.933611794299075e-07,0.9997219864141511,0.9997141281152372,2.55687271337868e-06,0.9999792183580055,0.9999718619848346,8.064662050000053e-07,0.9999732296287897,0.9999669929015196,0.9999775741387147,1.002657061554255,1.0024431447829705,4.893176227618454e-05,0.9954742769975095,0.9947768261938851,7.464779386154832e-05,0.9948526717134554,0.9942876155882292,0.9952867510725827
0.5,3.6882386401030106e-05,6778.303260577998,0.0001,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.000298713714352518,0.000316418279422876,2.625849347099587e-06,0.00015584709055481473,0.00020411353815313904,3.6105467929003913e-06,0.9997012862856475,0.9996835816960136,2.6258495509462763e-06,0.9998401756288023,0.9997898562067253,3.7738316677348104e-06,0.9997943807636156,0.9997674422847537,0.9998145664281787,1.0026361907584003,1.0023736596132904,5.2750798283356615e-05,0.9875283891898999,0.9857672833867065,0.0001248567585034605,0.9858631402564982,0.9849792700215666,0.986565518512079
0.7,7.228947734601901e-05,6778.303260577998,0.0001,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.00032976390710792687,0.0003445029845647584,2.717077135596026e-06,0.0005840861650604396,0.0007970914787823227,1.3652600406861131e-05,0.9996702360928921,0.9996554969886912,2.7170773465246475e-06,0.9993865760176193,0.999155375677008,1.48998259427569e-05,0.9991759948724885,0.9990630875698635,0.9992599415358518,1.0026048861937025,1.0022737509001214,5.8442028399341297e-05,0.9758445841496977,0.9718679518963572,0.00023951571836912928,0.9720954888048808,0.9703001322591192,0.9735164292549031
1.0,0.00014752954560412043,6778.303260577998,0.0001,9.999999747378752e-05,9.999999747378752e-05,0.002574999942225986,0.00039574556671317083,0.0004216012664542848,3.1666160198321926e-06,0.0023136930072484288,0.003045783492281233,4.213865721300649e-05,0.9996042544332868,0.9995783987008167,3.166616265658354e-06,0.9974463539397768,0.9965849993287302,4.9965587169458725e-05,0.9966216285823158,0.9962632708370047,0.9969126703090212,1.0025383704838298,1.0021975232849087,7.818494201881839e-05,0.9519119541166721,0.9449436779815713,0.0003838288566692495,0.9450690846098808,0.9423926940866526,0.9473611663290668
1.5,0.00033194147760927097,6778.303260577998,1.0,1.0,1.0,1.0,0.0005533137072863731,0.0006017773293176369,3.919739499405567e-06,0.008145435840361415,0.009618097441842884,0.0002282111582746297,0.9994466862927136,0.9993982226239659,3.9197398036969705e-06,0.9901571846547236,0.988111063769096,0.0002946581740591313,0.9877800426287804,0.9866442123488733,0.9888101430589957,1.002542289759667,1.0023808299222214,9.891876826997683e-05,0.9097629186898085,0.9031758362037384,0.0015672774233589412,0.9004596716740889,0.896404997015026,0.9043372298380233
2.0,0.0005901181824164817,6778.303260577998,10.0,10.0,10.0,10.0,0.0007388245859029774,0.0007911234373697019,6.1575477365918315e-06,0.004588866899595715,0.006195370260925273,0.000572479188349945,0.999261175414097,0.9992088765012151,6.157548214604714e-06,0.994718888442523,0.9923335194673006,0.0008421549303934113,0.9946362033429352,0.994049171491652,0.9952925304904287,1.0036500374678863,1.0033441749498888,0.00013050133680092985,0.9322898405001226,0.9255092326097867,0.0025554384776493933,0.931759845526843,0.9283831320940126,0.9357940864758951
