sigma,noise_signal_ratio,signal_power,n,alpha,lambda,kappa,df_12_Q,B_12_C,h_n_minus_df_22,B_11_A,noise_numerator_sigma2_Q,shrink_numerator_alpha_C,net_numerator,denominator_h_A,sigma_z1,noise_signal_ratio_z1,z_noise,z_regularization,z_de,r2_de_leading,r2_de_second_order,mc_z_mean,mc_z_se,mc_z_median,mc_z_q25,mc_z_q75,mc_z_min,mc_z_max,mc_r2_mean,mc_r2_se,mc_r2_median,mc_r2_q25,mc_r2_q75,mc_r2_min,mc_r2_max
0.0,0.0,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,0.0,38582.85169260745,-38582.85169260745,462686.72952682886,18.646733245292705,0.05129612048243695,0.0,-0.08338871471862741,-0.08338871471862741,0.9930463222575754,0.9930463222575724,-0.08418102790076037,0.00027967146862688046,-0.08425005390243218,-0.0860485138811283,-0.08231546611576962,-0.09042418623395565,-0.07778586243321683,0.9929057999384685,4.70995181537131e-05,0.9929020783350566,0.9925957835158912,0.9932241024256013,0.991823233220185,0.9939494646780672
0.01,1.4752954560412044e-08,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,0.14416699127917734,38582.85169260745,-38582.70752561617,462686.72952682886,18.646733245292705,0.05129612048243695,3.1158661374751584e-07,-0.08338871471862741,-0.08338840313201366,0.9930463742230927,0.9930463741657609,-0.0834402677591487,0.000259135476479903,-0.08352248499813175,-0.08520391410829473,-0.08169975261785234,-0.09211531529284245,-0.07688603363081226,0.9930310520676073,4.33659244614432e-05,0.9930240440364254,0.9927402441286954,0.9933248078246242,0.9915147621962548,0.9940885323227302
0.03,1.3277659104370838e-07,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,1.297502921512596,38582.85169260745,-38581.554189685936,462686.72952682886,18.646733245292705,0.05129612048243695,2.804279523727642e-06,-0.08338871471862741,-0.08338591043910368,0.9930467899402418,0.9930467894242785,-0.08394815250577063,0.00027007732102834553,-0.08368588786288839,-0.08512974883268451,-0.08213052136338383,-0.09182945710635593,-0.07868083398102621,0.9929454124928434,4.5835598369840734e-05,0.9929967189789664,0.9927525654327694,0.9932546553859849,0.9915672295172396,0.9938092104714826
0.1,1.4752954560412047e-06,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,14.416699127917736,38582.85169260745,-38568.43499347953,462686.72952682886,18.646733245292705,0.05129612048243695,3.1158661374751584e-05,-0.08338871471862741,-0.08335755605725266,0.993051517848162,0.9930515121152916,-0.08377405074066818,0.0002755987154108509,-0.08368438093762659,-0.08568620450887998,-0.081897963193171,-0.09107463206356425,-0.07793764350841281,0.9929743696795548,4.624348644464598e-05,0.992997028887411,0.9926578614806931,0.9932926849373295,0.9917054049682298,0.9939258284284864
0.3,1.3277659104370838e-05,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,129.7502921512596,38582.85169260745,-38453.101400456195,462686.72952682886,18.646733245292705,0.05129612048243695,0.00028042795237276423,-0.08338871471862741,-0.08310828676625465,0.993093012670778,0.9930929610769025,-0.08296333070452352,0.0002748243771034135,-0.0829033784541286,-0.08505389731173657,-0.08118082380086455,-0.08926254550648927,-0.07535747087341127,0.9931095979764801,4.550933120502696e-05,0.9931269670388827,0.9927658284360058,0.9934095738051913,0.9920320782368796,0.9943212461743677
0.5,3.6882386401030106e-05,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,360.41747819794335,38582.85169260745,-38222.434214409506,462686.72952682886,18.646733245292705,0.05129612048243695,0.0007789665343687895,-0.08338871471862741,-0.08260974818425862,0.9931756295049334,0.9931754861990034,-0.0824516939695021,0.0002860809368501433,-0.08242137599785726,-0.08429162710001759,-0.08087662774105778,-0.09093611548507241,-0.07476055619343902,0.993193607325089,4.729055078090896e-05,0.993206653093027,0.9928948599930477,0.9934589695590483,0.9917307296407154,0.9944108538678348
0.7,7.228947734601901e-05,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,706.4182572679689,38582.85169260745,-37876.43343533948,462686.72952682886,18.646733245292705,0.05129612048243695,0.0015267744073628273,-0.08338871471862741,-0.08186194031126458,0.9932986227284749,0.9932983418776233,-0.08218412793285274,0.0002771808604406366,-0.08197762421076432,-0.08393738961707276,-0.08027748318037098,-0.09027352426708779,-0.07630582883514092,0.993238165559859,4.5896232934505434e-05,0.9932798790061587,0.992954589718857,0.9935556249883281,0.9918502517066418,0.9941773039924102
1.0,0.00014752954560412043,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,1441.6699127917734,38582.85169260745,-37141.18177981568,462686.72952682886,18.646733245292705,0.05129612048243695,0.003115866137475158,-0.08338871471862741,-0.08027284858115225,0.9935562697806674,0.993555696726075,-0.08109601744760664,0.0003061291978204188,-0.08122371803439749,-0.08310615450707662,-0.07924713992352159,-0.08737630154657561,-0.07225396129804418,0.9934141475656014,4.944826610927774e-05,0.9934027564796613,0.9930934384194974,0.9937198051644369,0.992365375737655,0.994779563741179
1.5,0.00033194147760927097,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,3243.75730378149,38582.85169260745,-35339.094388825964,462686.72952682886,18.646733245292705,0.05129612048243695,0.007010698809319106,-0.08338871471862741,-0.0763780159093083,0.9941663986857574,0.9941651097360606,-0.07690651927793965,0.0002844676676007558,-0.07697664566073398,-0.07869004073072694,-0.07482301181995268,-0.0835768083566425,-0.07119055627520199,0.9940773789438295,4.382459349635155e-05,0.9940745907268453,0.9938079781905835,0.9944016720038662,0.9930146845637678,0.9949316939409539
2.0,0.0005901181824164817,6778.303260577998,1000.0,100.0,0.1,0.1643217227247405,1441.6699127917734,385.8285169260745,845.4599500699101,547.2603752413936,5766.679651167094,38582.85169260745,-32816.17204144036,462686.72952682886,18.646733245292705,0.05129612048243695,0.012463464549900632,-0.08338871471862741,-0.07092525016872678,0.9949696088885035,0.9949673176875472,-0.07165858574138714,0.0003321283944541679,-0.07182134791075023,-0.07357643194931532,-0.0693676822900057,-0.08080361449576179,-0.06465745911515042,0.9948541094124705,4.789456656533615e-05,0.994841791926095,0.9945866596152979,0.9951880553629713,0.9934707701184616,0.9958194082859223
