feature,feature_dim,n,sigma,noise_signal_ratio,retained_signal_fraction,residual_signal_fraction,de_alpha_cv,de_lambda,de_kappa,de_effective_noise_variance,de_df2,de_variance_scale,de_gen_error,de_gen_error_normalized,de_r2_gen,de_slope_gen,de_acc_error,de_acc_error_normalized,de_r2_acc,de_slope_acc,de_acc_numerator,de_acc_denominator,de_mean_feature_norm_sq,de_mean_pixel_gradient_norm_sq
top_pc_5,5,1000,0.0,0.0,0.56451617769074,0.4354838223092599,177.82794100389228,0.17782794100389226,0.17871783894283944,2951.841412687826,4.958795728017869,2.966614806361189,2966.6148063611886,0.4376633343649219,0.5623366656350781,1.0000505002335025,7.675579077178393e-05,1.1323746935046223e-08,0.9999999886786627,1.0001064130956934,83.74018776822905,83.73127766376649,83.39015642679095,83.73127766376649
top_pc_10,10,1000,0.0,0.0,0.8755830670852994,0.12441693291470063,50.118723362727245,0.05011872336272725,0.05062369860088338,843.3357020468293,9.950239498505551,0.8518319202929275,851.8319202929275,0.12567037613190093,0.8743296238680991,1.000166166193845,5.704966243411381e-05,8.41651077577327e-09,0.9999999915819447,0.9999082584566525,187.27731336070337,187.2944960468312,186.87657956857842,187.2944960468312
top_pc_20,20,1000,0.0,0.0,0.9534845312348563,0.04651546876514364,28.183829312644548,0.028183829312644546,0.02875695657390011,315.2959535980872,19.860435297944232,0.3217081735241984,321.70817352419834,0.04746146065715651,0.9525385393428435,1.0002898491678787,3.1382727304346664e-05,4.6298794990282865e-09,0.9999999953707505,1.0000680432178768,288.0198527533754,288.00025628918814,287.2215916107182,288.00025628918814
top_pc_30,30,1000,0.0,0.0,0.9641755087875822,0.03582449121241779,39.81071705534978,0.039810717055349776,0.04103120742120737,242.82926559367934,29.494018249087155,0.25027264937161275,250.27264937161277,0.03692261023893339,0.9630773897610666,1.0008280603179527,4.7990319502170895e-05,7.079990029551831e-09,0.9999999929188184,0.9999158573233754,312.93374383123415,312.9600771298005,311.42665461777557,312.9600771298005
top_pc_50,50,1000,0.0,0.0,0.9861837720605539,0.013816227939446143,19.95262314968883,0.01995262314968883,0.02099342489644887,93.65058289083663,49.1602647000612,0.09853793503544163,98.53793503544162,0.01453725678054704,0.9854627432194529,1.0005484017067672,0.0004042401872191783,5.963737113536995e-08,0.999999940391746,1.0002442076393878,407.10524793115144,407.00585399233097,405.0474047979636,407.00585399233097
top_pc_70,70,1000,0.0,0.0,0.991183766609438,0.008816233390562055,17.78279410038923,0.01778279410038923,0.01910403553565426,59.7591035372634,68.33553177746016,0.06420187640485497,64.20187640485497,0.009471673652940155,0.9905283263470599,1.0006187389011747,0.0005973242427658364,8.812297411356917e-08,0.9999999119293221,1.000296855139948,449.7434112383809,449.60994221606234,446.8380825578803,449.60994221606234
top_pc_100,100,1000,0.0,0.0,0.995170448343696,0.004829551656304055,12.589254117941687,0.012589254117941687,0.013966030867086822,32.73616573905565,97.1906785080308,0.03631294591652419,36.312945916524185,0.005357232410611814,0.9946427675893882,1.0005047598552443,0.0012225943333540735,1.80368786457899e-07,0.9999998194779112,0.999575301534665,499.5287695831897,499.7410088227017,496.12763681553514,499.7410088227017
top_pc_150,150,1000,0.0,0.0,0.9985813530506669,0.0014186469493331585,5.011872336272725,0.005011872336272725,0.005885515959016155,9.616019242273978,146.9033349951849,0.011291176399185395,11.291176399185394,0.00166578212350779,0.9983342178764922,1.0002509498933263,0.00048304037699442587,7.126272732643068e-08,0.9999999286992102,0.9997330492042971,573.014541453987,573.1675489872603,570.2202770315171,573.1675489872603
top_pc_200,200,1000,0.0,0.0,0.9994066868813765,0.0005933131186234951,3.5481338923357533,0.0035481338923357532,0.0044223353095355685,4.0216562465093375,195.39762884614518,0.005013232810058917,5.013232810058917,0.0007395999584756598,0.9992604000415244,1.0002461831526102,0.00030885804504045755,4.556568704099566e-08,0.9999999544537598,1.0002134612073446,601.0909775304,600.9626953078905,598.3768550656268,600.9626953078905
top_pc_300,300,1000,0.0,0.0,0.9997814542592695,0.00021854574073051805,2.5118864315095824,0.0025118864315095825,0.0035633700049523304,1.4813693069791043,290.28366178039556,0.002101523786352482,2.101523786352482,0.00031003684927683237,0.9996899631507231,1.0002360791741653,1.616938980824188e-06,2.3854627311058203e-10,0.9999999997614611,1.000015444943286,622.7586867342579,622.7490684102149,619.9196721670595,622.7490684102149
