dataset,policy,metric,empirical_target,theory_approximation,max_noise_signal_ratio,n_noise_levels,mean_absolute_error,median_absolute_error,max_absolute_error,mean_signed_error
ffhq,fixed,acc_error_normalized,mc_mean,ratio_of_expectations,1.0,22,0.0029566343257047003,0.0001857914600887061,0.011996769853825362,0.0028461194613193103
ffhq,fixed,acc_error_normalized,mc_mean,ratio_of_expectations,10.0,26,0.0026254578540007793,0.000259517417826113,0.011996769853825362,0.0025319452764439106
ffhq,fixed,acc_error_normalized,mc_mean,response_noise_second_order,1.0,22,0.0029569141344797617,0.00018534179499827977,0.011992470120311127,0.0028490441534300016
ffhq,fixed,acc_error_normalized,mc_mean,response_noise_second_order,10.0,26,0.0026257043726266487,0.00025924349346651693,0.011992470120311127,0.0025344297732768518
ffhq,fixed,r2_acc,mc_mean,ratio_of_expectations,1.0,22,0.7345609298227948,0.00014132226708363227,7.071934048806099,-0.7344744525439179
ffhq,fixed,r2_acc,mc_mean,ratio_of_expectations,10.0,26,1013.2700061374994,0.002538491465199799,24769.42625203161,1010.2564134311386
ffhq,fixed,r2_acc,mc_mean,response_noise_second_order,1.0,22,1.3681167703333315,0.00014103573978874184,18.748824621359404,-1.368032507011531
ffhq,fixed,r2_acc,mc_mean,response_noise_second_order,10.0,26,508.8716936813198,0.0026092015824559778,13085.119053274291,497.6759971010518
ffhq,fixed,r2_acc,mc_median,ratio_of_expectations,1.0,22,1.727601888446043,0.00014887861175966188,27.798462230485995,-1.727527779716018
ffhq,fixed,r2_acc,mc_median,ratio_of_expectations,10.0,26,170.91302458441936,0.0027245343584657022,4081.8372909862665,-170.91296187703242
ffhq,fixed,r2_acc,mc_median,response_noise_second_order,1.0,22,2.3611577289565795,0.00014859208446477146,39.4753528030393,-2.3610858341836307
ffhq,fixed,r2_acc,mc_median,response_noise_second_order,10.0,26,683.493439041158,0.002795244475721881,15766.144489743587,-683.4933782071195
ffhq,cv,acc_error_normalized,mc_mean,ratio_of_expectations,1.0,22,0.0045364183154371455,0.0014502011618847854,0.02459393686201386,-0.004516940427869888
ffhq,cv,acc_error_normalized,mc_mean,ratio_of_expectations,10.0,26,0.006148310634780227,0.003509426392554761,0.02459393686201386,-0.006131829345300239
ffhq,cv,acc_error_normalized,mc_mean,response_noise_second_order,1.0,22,0.004473764711721006,0.0014397890611712904,0.024125307337941354,-0.004454018194262376
ffhq,cv,acc_error_normalized,mc_mean,response_noise_second_order,10.0,26,0.005870790227638415,0.0034961658073033187,0.024125307337941354,-0.0058540816359426515
ffhq,cv,r2_acc,mc_mean,ratio_of_expectations,1.0,22,0.021439403330104422,0.0034226423318465815,0.17288277484551895,0.021421078100200622
ffhq,cv,r2_acc,mc_mean,ratio_of_expectations,10.0,26,0.05771386055365137,0.006579467733303979,0.411270587883463,0.05769835458988662
ffhq,cv,r2_acc,mc_mean,response_noise_second_order,1.0,22,0.02096137761789533,0.0033705758175360256,0.16912047313509515,0.020942529035732384
ffhq,cv,r2_acc,mc_mean,response_noise_second_order,10.0,26,0.05467912341957301,0.006533962529748305,0.37987966622609076,0.05466317461928129
ffhq,cv,r2_acc,mc_median,ratio_of_expectations,1.0,22,0.004990875563214633,0.0006369891788690074,0.03672132353884472,0.0048262235472509955
ffhq,cv,r2_acc,mc_median,ratio_of_expectations,10.0,26,0.01268400658153342,0.0014310558208330826,0.07071663416735785,0.0029429470827870372
ffhq,cv,r2_acc,mc_median,response_noise_second_order,1.0,22,0.004595757810244541,0.0008161951121339328,0.035708025459058934,0.004347674482782757
ffhq,cv,r2_acc,mc_median,response_noise_second_order,10.0,26,0.012130964152154854,0.001387870787632195,0.09136418655830392,-9.223288781828876e-05
vanhateren,fixed,acc_error_normalized,mc_mean,ratio_of_expectations,1.0,22,0.013191291091001794,0.015427314042022022,0.02668963253692186,0.013098260139978241
vanhateren,fixed,acc_error_normalized,mc_mean,ratio_of_expectations,10.0,26,0.013334066976539018,0.015427314042022022,0.02668963253692186,0.013255348479519088
vanhateren,fixed,acc_error_normalized,mc_mean,response_noise_second_order,1.0,22,0.013323653424373414,0.01544428408058856,0.02755904517650315,0.01329553610486719
vanhateren,fixed,acc_error_normalized,mc_mean,response_noise_second_order,10.0,26,0.013538897888419046,0.01544428408058856,0.02755904517650315,0.013515106310375318
vanhateren,fixed,r2_acc,mc_mean,ratio_of_expectations,1.0,22,0.046436823766064464,0.0065912713285045665,0.699025876137426,-0.046365231541307776
vanhateren,fixed,r2_acc,mc_mean,ratio_of_expectations,10.0,26,10.594298885469614,0.006796421012677634,262.6560600802468,9.947758118869164
vanhateren,fixed,r2_acc,mc_mean,response_noise_second_order,1.0,22,0.055619879948007586,0.00659239824361324,0.8725625543863127,-0.055594734063847476
vanhateren,fixed,r2_acc,mc_mean,response_noise_second_order,10.0,26,3.3950209283797035,0.006809223495846839,56.074807282895904,0.9184470629758089
vanhateren,fixed,r2_acc,mc_median,ratio_of_expectations,1.0,22,0.053392203578182355,0.006689585135765563,0.8264184853591994,-0.05335946877337036
vanhateren,fixed,r2_acc,mc_median,ratio_of_expectations,10.0,26,6.280526684393849,0.006974591991515178,131.9170175116713,-6.280498985712855
vanhateren,fixed,r2_acc,mc_median,response_noise_second_order,1.0,22,0.06258897129591007,0.006691497430948934,0.9999551636080861,-0.06258897129591007
vanhateren,fixed,r2_acc,mc_median,response_noise_second_order,10.0,26,15.309810041606209,0.0069750839050878866,338.4982703090222,-15.309810041606209
vanhateren,cv,acc_error_normalized,mc_mean,ratio_of_expectations,1.0,22,0.003947475455655134,0.0010085565435262326,0.018216532916211878,0.00022713948903154373
vanhateren,cv,acc_error_normalized,mc_mean,ratio_of_expectations,10.0,26,0.004651996749314733,0.0022741337762999386,0.018216532916211878,0.0015040201621716947
vanhateren,cv,acc_error_normalized,mc_mean,response_noise_second_order,1.0,22,0.003947113822999635,0.0010338049284384547,0.018188257661888876,0.00034951681873190835
vanhateren,cv,acc_error_normalized,mc_mean,response_noise_second_order,10.0,26,0.005491838844347911,0.002797469119932023,0.02177394465402599,0.0024477183022752194
vanhateren,cv,r2_acc,mc_mean,ratio_of_expectations,1.0,22,0.04432250582953528,0.002755737446545725,0.5454189733303217,0.04254128651931956
vanhateren,cv,r2_acc,mc_mean,ratio_of_expectations,10.0,26,1.0158304298837295,0.005733706937806893,19.39202349491847,1.014323244313547
vanhateren,cv,r2_acc,mc_mean,response_noise_second_order,1.0,22,0.04106238901645096,0.00149250209250823,0.5074877390817405,0.03924207838631115
vanhateren,cv,r2_acc,mc_mean,response_noise_second_order,10.0,26,0.9827235516037033,0.005674011137587698,19.018651486268165,0.9811832887628159
vanhateren,cv,r2_acc,mc_median,ratio_of_expectations,1.0,22,0.02551815291148728,0.002755170359612924,0.11300034738914766,-0.019193706674019376
vanhateren,cv,r2_acc,mc_median,ratio_of_expectations,10.0,26,0.06565219554662625,0.015708841375105753,0.7855117561962481,-0.05866952792039864
vanhateren,cv,r2_acc,mc_median,response_noise_second_order,1.0,22,0.028698207435274757,0.002730522503167465,0.13725236693384268,-0.022492914807027795
vanhateren,cv,r2_acc,mc_median,response_noise_second_order,10.0,26,0.09706011569503119,0.016353714807832376,1.158883764846551,-0.09180948347112992
