pc,variance,mean_power,power_se,power_over_variance
1.000000000000000000e+00,1.091578601995458087e+02,8.136713728001785384e-01,1.311448647937416279e-01,7.454079544182601498e-03
2.000000000000000000e+00,6.122088515215931892e+01,7.585097813839596359e-01,1.745439461627836530e-01,1.238972255136050124e-02
3.000000000000000000e+00,4.996264665423682061e+01,5.132610490948309456e-01,1.340444083592181035e-01,1.027289552226526292e-02
4.000000000000000000e+00,4.569947128688446725e+01,5.050039092294472676e-01,1.349866492289285291e-01,1.105054161478627450e-02
5.000000000000000000e+00,4.307594100653831504e+01,4.742731824826312281e-01,9.722291198453583694e-02,1.101016417518640642e-02
6.000000000000000000e+00,3.953501452674176164e+01,5.667409530468039414e-01,1.684042598977745220e-01,1.433516491219337732e-02
7.000000000000000000e+00,2.868083043585882663e+01,6.876827071436848460e-01,1.618744123001926716e-01,2.397708492721656662e-02
8.000000000000000000e+00,2.650269015325141098e+01,4.079235315000501738e-01,9.564138168285239716e-02,1.539177831160679945e-02
9.000000000000000000e+00,2.516281567271264663e+01,4.900822450636720395e-01,1.358382097912764208e-01,1.947644696992843760e-02
1.000000000000000000e+01,2.227239832197379954e+01,3.033109388477728818e-01,4.646358360990467812e-02,1.361824328314604170e-02
1.100000000000000000e+01,2.150401099417898720e+01,4.792307239041611600e-01,1.087058866840476395e-01,2.228564354965621025e-02
1.200000000000000000e+01,1.933594056884299661e+01,3.693899286382159031e-01,6.963121979861360000e-02,1.910379933797650559e-02
1.300000000000000000e+01,1.805601837325344050e+01,3.443267128620738360e-01,5.374405220991699400e-02,1.906991373979373058e-02
1.400000000000000000e+01,1.760670153454925568e+01,4.205554685787406544e-01,1.084120558154127029e-01,2.388610199096597581e-02
1.500000000000000000e+01,1.672958469215793897e+01,4.552825427102690226e-01,9.846668622376207602e-02,2.721421667590376986e-02
1.600000000000000000e+01,1.623157928991465226e+01,3.038556699553676133e-01,5.598269999684793441e-02,1.872003115212366592e-02
1.700000000000000000e+01,1.514618063394629210e+01,4.595563956182185383e-01,1.125784526362395011e-01,3.034140465671196149e-02
1.800000000000000000e+01,1.481471749246492386e+01,2.303786969832252729e-01,3.084439023405035132e-02,1.555066420270252887e-02
1.900000000000000000e+01,1.429349587449649306e+01,3.633544694377324191e-01,5.755737848828566816e-02,2.542096577549346828e-02
2.000000000000000000e+01,1.413778577877692477e+01,4.196486020651894466e-01,7.923946216427883715e-02,2.968276706350643848e-02
2.100000000000000000e+01,1.349562624426534896e+01,4.137210272687156798e-01,9.602726260682598047e-02,3.065593398783674622e-02
2.200000000000000000e+01,1.285931936964288802e+01,3.702541441841226133e-01,7.928123776562931435e-02,2.879267040044008324e-02
2.300000000000000000e+01,1.260027857555160224e+01,3.083445321042292409e-01,6.247393056370120767e-02,2.447124722325679652e-02
2.400000000000000000e+01,1.193131791531699371e+01,2.720345793836375092e-01,4.561370311755808676e-02,2.280004449754954171e-02
2.500000000000000000e+01,1.168283740063898790e+01,3.065464077214318794e-01,6.714841241579017073e-02,2.623903741951124496e-02
2.600000000000000000e+01,1.125464353834970943e+01,4.205992835368533855e-01,9.215228070367435798e-02,3.737117769245019289e-02
