kappa,trace_over_evaluated_pcs_only
1.091578601995458017e-04,4.414075583852873308e+01
1.284582745850540171e-04,4.413976997712469341e+01
1.511712329208686478e-04,4.413860985647939117e+01
1.779001137656132639e-04,4.413724468580730331e+01
2.093549802189197877e-04,4.413563823796562247e+01
2.463714430234173794e-04,4.413374789124951292e+01
2.899328588886158973e-04,4.413152350292176607e+01
3.411964537437728513e-04,4.412890608516956092e+01
4.015240648941071776e-04,4.412582624916984031e+01
4.725183187576710337e-04,4.412220237711233040e+01
5.560652052585180914e-04,4.411793847525586898e+01
6.543841798814445257e-04,4.411292165324722703e+01
7.700871243688584477e-04,4.410701916586959470e+01
9.062477323735693407e-04,4.410007494295997788e+01
1.066483163324329552e-03,4.409190552129096830e+01
1.255050133670758232e-03,4.408229527860505215e+01
1.476957998208891726e-03,4.407099085459631027e+01
1.738101825536691883e-03,4.405769462636974509e+01
2.045419002840668382e-03,4.404205708675819153e+01
2.407073530280575985e-03,4.402366795293983870e+01
2.832672900824090723e-03,4.400204581034766704e+01
3.333523327028507267e-03,4.397662607342357433e+01
3.922930094968027186e-03,4.394674702124608245e+01
4.616551024325341208e-03,4.391163364388071955e+01
5.432812424452093669e-03,4.387037901663340733e+01
6.393398596432582799e-03,4.382192290740916008e+01
7.523827884963011151e-03,4.376502732163446296e+01
8.854130583088209647e-03,4.369824870604838907e+01
1.041964669859846322e-02,4.361990657581236519e+01
1.226196477506055066e-02,4.352804841052528673e+01
1.443002670762817512e-02,4.342041079923625091e+01
1.698142790349309664e-02,4.329437702215009409e+01
1.998394732624386369e-02,4.314693156202964985e+01
2.351734807035519431e-02,4.297461247089265868e+01
2.767549629876815687e-02,4.277346311130981604e+01
3.256885483396090852e-02,4.253898558233576921e+01
3.832741764572560050e-02,4.226609916130615119e+01
4.510416319145792857e-02,4.194910836744081450e+01
5.307911834828642900e-02,4.158168678120176764e+01
6.246414089697527317e-02,4.115688449238184887e+01
7.350854760614433658e-02,4.066716889013670766e+01
8.650573742904771324e-02,4.010451024133259068e+01
1.018009857607070218e-01,3.946052479080360342e+01
1.198006168128650517e-01,3.872668846505656148e+01
1.409827977744649019e-01,3.789463302221604124e+01
1.659102415087164994e-01,3.695653291153038822e+01
1.952451552388348999e-01,3.590558444534060811e+01
2.297668323400875456e-01,3.473656863150151253e+01
2.703923545709432386e-01,3.344647517961152516e+01
3.182009547061283028e-01,3.203514866606393241e+01
3.744626867743991450e-01,3.050590065556359676e+01
4.406721655370361979e-01,2.886601696602785339e+01
5.185882715093981243e-01,2.712708132532071659e+01
6.102808763048662710e-01,2.530503953134833495e+01
7.181858295780710888e-01,2.341994482631072216e+01
8.451696683169193092e-01,2.149535595398579346e+01
9.946057675108733731e-01,1.955740128193851390e+01
1.170463955167581727e+00,1.763356898966359410e+01
1.377415972335553018e+00,1.575132588324850502e+01
1.620959579719351673e+00,1.393669691162954294e+01
1.907564607827745728e+00,1.221294717762108739e+01
2.244844830533673008e+00,1.059949561860154077e+01
2.641760227933946048e+00,9.111157032733760985e+00
3.108855011700069060e+00,7.757763503022520268e+00
3.658537736156090237e+00,6.544166668240102069e+00
4.305410936342970452e+00,5.470577802382752708e+00
5.066659050032757960e+00,4.533170189671951178e+00
5.962504928991507747e+00,3.724851270143520132e+00
7.016747066889801765e+00,3.036110350094430199e+00
8.257391815529141255e+00,2.455858397356904810e+00
9.717397384453610343e+00,1.972195129915485179e+00
1.143554938858560632e+01,1.573060585604466821e+00
1.345749120314828673e+01,1.246749698153713615e+00
1.583693649765376144e+01,9.822864156196453589e-01
1.863709616039298211e+01,7.696672253922743900e-01
2.193235752023088736e+01,5.999923594536515914e-01
2.581026047488534658e+01,4.655069823863905443e-01
3.037382302230571085e+01,3.595752668919986461e-01
3.574427797379463811e+01,2.766085118361149009e-01
4.206429355072059906e+01,2.119653477886442039e-01
4.950176342122244932e+01,1.618384022404399936e-01
5.825426686070409232e+01,1.231381285805104586e-01
6.855431752201464235e+01,9.338119227450578097e-02
8.067554025093092207e+01,7.058803521357670530e-02
9.493994003644638724e+01,5.319206306537016538e-02
1.117264561983519826e+02,3.996129976508905335e-02
1.314810290574259852e+02,2.993226081700922289e-02
1.547284465132323419e+02,2.235512232712538738e-02
1.820862852384712767e+02,1.664890831609110861e-02
2.142813168431210897e+02,1.236529272322237256e-02
2.521688148444959836e+02,9.159635684669762898e-03
2.967552753403710994e+02,6.767984297700614486e-03
3.492251549686878889e+02,4.988921471923740865e-03
4.109723364581158194e+02,3.669312703634003154e-03
4.836371576640486865e+02,2.693161252859720481e-03
5.691499877807425491e+02,1.972927134071995880e-03
6.697825083486102358e+02,1.442790171046610254e-03
7.882080613565390195e+02,1.053441474835899779e-03
9.275726676099942551e+02,7.680726435056570330e-04
1.091578601995458030e+03,5.593003646136465550e-04
