pc,variance,mean_power,power_se,power_over_variance
1.000000000000000000e+00,3.287918575102613249e+04,6.837296368420649378e+04,3.397265877218251990e+04,2.079521196234995983e+00
2.000000000000000000e+00,1.456112272602510529e+04,5.146107135083533649e+04,1.958595459956828563e+04,3.534141722386483497e+00
3.000000000000000000e+00,1.288009382494792226e+04,6.541742522103201190e+04,2.417680581307455941e+04,5.078955643500252748e+00
4.000000000000000000e+00,1.188773260236331225e+04,5.347271707397582941e+04,1.670841298158479549e+04,4.498142653658386614e+00
5.000000000000000000e+00,1.009370053396050571e+04,5.761752057206667814e+04,2.260562260377913844e+04,5.708265306486070223e+00
6.000000000000000000e+00,8.710755599566309684e+03,6.980691736293706344e+04,2.955427042980479746e+04,8.013876243573244906e+00
7.000000000000000000e+00,6.323975369672948545e+03,4.907500131959417922e+04,2.105783798571057196e+04,7.760150609525878984e+00
8.000000000000000000e+00,6.080601867115198729e+03,7.424528736871315050e+04,3.673399775776079332e+04,1.221018724647024278e+01
9.000000000000000000e+00,5.643998912278708303e+03,3.899850577571360191e+04,1.577138462912177965e+04,6.909729498861357122e+00
1.000000000000000000e+01,5.533381753429403943e+03,6.606007093247644661e+04,2.878495947737119423e+04,1.193846256704313546e+01
1.100000000000000000e+01,5.210148491648946219e+03,9.308243638978105446e+04,5.825509926115576673e+04,1.786560143899500375e+01
1.200000000000000000e+01,4.831158401608230633e+03,6.302119341399362020e+04,2.890564498829234799e+04,1.304473755052508110e+01
1.300000000000000000e+01,4.274161353147043883e+03,7.350089644530459191e+04,3.040622270503012260e+04,1.719656568210422165e+01
1.400000000000000000e+01,3.921301787004930247e+03,4.678637118864805961e+04,1.830356359836710908e+04,1.193133651271029727e+01
1.500000000000000000e+01,3.748708912361676994e+03,7.934393211797667027e+04,3.822403541788932489e+04,2.116566902709717013e+01
1.600000000000000000e+01,3.581329865421118484e+03,5.121651892301971384e+04,2.207973217483489861e+04,1.430097780646556238e+01
1.700000000000000000e+01,3.498289083361794837e+03,9.261237665144984203e+04,4.902733904580528178e+04,2.647362023107906381e+01
1.800000000000000000e+01,3.337829584332982904e+03,5.787531275122820080e+04,3.087037343045103989e+04,1.733920539948529083e+01
1.900000000000000000e+01,3.059168472632928570e+03,5.670640045512273355e+04,2.185464873128946419e+04,1.853654055421058544e+01
2.000000000000000000e+01,3.036392834652969668e+03,4.470937217589109787e+04,1.692753330337372608e+04,1.472450193718130862e+01
2.100000000000000000e+01,2.924091661329108774e+03,4.552884549464989686e+04,1.953986436631099423e+04,1.557025249815709955e+01
2.200000000000000000e+01,2.883013351061828871e+03,4.926379484260221943e+04,2.249468026965862373e+04,1.708760551679655038e+01
2.300000000000000000e+01,2.825467800261160846e+03,5.877065027428684698e+04,2.769427766266739127e+04,2.080032562001046870e+01
2.400000000000000000e+01,2.696191127625607351e+03,7.013223270778519509e+04,3.392265115278672602e+04,2.601159539069729831e+01
2.500000000000000000e+01,2.619830067073390182e+03,5.445736907515746861e+04,2.387885416670559789e+04,2.078660358913727180e+01
2.600000000000000000e+01,2.577981630647852398e+03,3.812615933408951241e+04,1.476646440151486240e+04,1.478915089263391103e+01
2.700000000000000000e+01,2.533412767663316572e+03,7.070827784721300122e+04,3.223137798833940542e+04,2.791028716273128651e+01
2.800000000000000000e+01,2.426694270442103971e+03,4.524315150217046903e+04,1.880503130671862891e+04,1.864394376054957547e+01
2.900000000000000000e+01,2.348434902300008162e+03,6.002286561811264983e+04,2.572969807325961665e+04,2.555866699107882667e+01
3.000000000000000000e+01,2.310281679377130786e+03,1.146368890937960678e+05,6.177679172184924391e+04,4.962030825812679069e+01
3.100000000000000000e+01,2.237972241011861570e+03,5.261834820025025692e+04,2.474588655242790992e+04,2.351161789945158276e+01
3.200000000000000000e+01,2.235443574180259930e+03,5.034779814333048125e+04,2.239609988449790399e+04,2.252250905585621155e+01
3.300000000000000000e+01,2.180547771959978945e+03,5.305570373175238637e+04,2.234599382767805946e+04,2.433136499644922779e+01
3.400000000000000000e+01,2.168720537319727100e+03,5.721837736698558001e+04,2.758299691960156997e+04,2.638347190537536235e+01
3.500000000000000000e+01,2.094868616132835996e+03,8.539549566812039120e+04,4.326526587031481176e+04,4.076412955470303956e+01
3.600000000000000000e+01,2.085399735113174756e+03,5.920286943815620907e+04,3.160329513401725126e+04,2.838921883479728336e+01
3.700000000000000000e+01,2.057387948930806033e+03,3.354130127219985297e+04,1.354383180708254258e+04,1.630285687715375786e+01
3.800000000000000000e+01,2.006726654922893658e+03,4.553024531414605735e+04,2.223727448451059172e+04,2.268881275008304854e+01
3.900000000000000000e+01,1.991049136385675638e+03,4.328729919734090799e+04,2.033057874534274742e+04,2.174094973663972397e+01
4.000000000000000000e+01,1.968400192819161020e+03,4.455198093222476018e+04,2.333119226380885448e+04,2.263359915059599814e+01
4.100000000000000000e+01,1.947279140644604922e+03,3.036942858523168979e+04,1.278100241701521736e+04,1.559582699333930300e+01
4.200000000000000000e+01,1.939137053997188332e+03,6.141547813085165399e+04,2.866937623664606144e+04,3.167155101505306192e+01
4.300000000000000000e+01,1.904133880126410759e+03,3.615854780950841086e+04,1.552639780107099614e+04,1.898949868331103730e+01
4.400000000000000000e+01,1.880748660172422660e+03,4.208283773125801235e+04,1.853496166610691580e+04,2.237557767415873400e+01
4.500000000000000000e+01,1.848967088464880135e+03,6.849435297274882032e+04,3.349488206839524355e+04,3.704465774435001180e+01
4.600000000000000000e+01,1.817140870612982326e+03,6.013405516386689851e+04,3.156064013342305407e+04,3.309267659781471593e+01
4.700000000000000000e+01,1.813594544228237964e+03,4.998693752519263944e+04,2.609635617795475991e+04,2.756235548032276483e+01
4.800000000000000000e+01,1.799728757472081725e+03,5.239540917220367555e+04,1.874261221960263356e+04,2.911294768985012382e+01
4.900000000000000000e+01,1.775031960091675955e+03,3.578038544423491840e+04,1.466407865788753043e+04,2.015760067913760167e+01
5.000000000000000000e+01,1.769318993458993873e+03,4.861287161897075566e+04,2.327831661945619271e+04,2.747547039210451914e+01
5.100000000000000000e+01,1.746316804109608029e+03,3.366757895962963084e+04,1.337374944905133816e+04,1.927919314548179486e+01
5.200000000000000000e+01,1.713706534018624325e+03,4.862560361358147929e+04,2.248939317726482113e+04,2.837452191977989102e+01
5.300000000000000000e+01,1.691271237709064280e+03,5.269823021915504796e+04,2.374318772202292530e+04,3.115894662203218957e+01
5.400000000000000000e+01,1.685626294815781876e+03,3.875458113496012811e+04,1.967910306392643179e+04,2.299120585277504958e+01
5.500000000000000000e+01,1.676363818143382332e+03,3.332833147527955589e+04,1.463348657244444621e+04,1.988132356148772928e+01
5.600000000000000000e+01,1.672687868390225731e+03,5.290543668983968382e+04,2.869922017079292709e+04,3.162899527737666006e+01
5.700000000000000000e+01,1.666519297858466643e+03,3.697206103088484815e+04,1.096091374864692625e+04,2.218519826226746261e+01
5.800000000000000000e+01,1.638289556094265208e+03,5.009933088850077911e+04,2.194484116552285559e+04,3.058026629183865808e+01
5.900000000000000000e+01,1.619632351711484034e+03,3.860649202742089983e+04,1.631900719518442747e+04,2.383657747181017683e+01
6.000000000000000000e+01,1.618875124724758734e+03,3.725922253230009665e+04,1.539154764799593249e+04,2.301550129670125955e+01
6.100000000000000000e+01,1.609865959844284816e+03,4.950462310315742070e+04,2.831732049791581085e+04,3.075077325564780750e+01
6.200000000000000000e+01,1.585876121950914921e+03,6.610560668772716599e+04,3.230603157699932126e+04,4.168396621446402150e+01
6.300000000000000000e+01,1.568400627706940895e+03,6.015527455071920122e+04,3.608606259326620784e+04,3.835453358538143931e+01
6.400000000000000000e+01,1.552229945974344901e+03,4.420950350267170143e+04,2.242052429506092085e+04,2.848128501664816525e+01
6.500000000000000000e+01,1.547337772768357354e+03,4.471857069057795161e+04,1.699965570355406453e+04,2.890032898930109795e+01
6.600000000000000000e+01,1.537114240921493320e+03,3.328414289900629228e+04,1.529116646227898673e+04,2.165365593064350946e+01
6.700000000000000000e+01,1.532009317270763859e+03,4.124392529785132501e+04,1.561786506074994941e+04,2.692145852697968067e+01
6.800000000000000000e+01,1.508331122507750933e+03,4.958259878758994455e+04,2.294278706425620476e+04,3.287248936768865804e+01
6.900000000000000000e+01,1.506570492711272209e+03,3.481791264878832590e+04,1.590543763434284847e+04,2.311070926799376224e+01
7.000000000000000000e+01,1.493534281140248822e+03,2.744647238476772327e+04,1.067545792932048062e+04,1.837686133579306258e+01
7.100000000000000000e+01,1.482985679366161321e+03,3.479311843750164553e+04,1.570304894347739537e+04,2.346153366253170702e+01
7.200000000000000000e+01,1.476211892424357984e+03,4.610841618433131953e+04,2.140785077159613866e+04,3.123428040442638931e+01
7.300000000000000000e+01,1.466797467619137706e+03,3.854840059989260044e+04,1.548235737191409498e+04,2.628065663520896678e+01
7.400000000000000000e+01,1.451599938397984261e+03,3.128235753775939156e+04,1.347397861784524503e+04,2.155026099841478882e+01
7.500000000000000000e+01,1.448274425818618965e+03,2.968017505730593621e+04,1.196358514312595071e+04,2.049347452954545545e+01
7.600000000000000000e+01,1.443434235215208219e+03,3.627190792944532586e+04,1.391121588410459844e+04,2.512889541104543767e+01
7.700000000000000000e+01,1.431188256196169505e+03,3.670980775444929168e+04,1.621959695437757546e+04,2.564988050699709277e+01
7.800000000000000000e+01,1.426784617383538261e+03,4.203168681312879926e+04,2.041735314446984921e+04,2.945902717272577220e+01
7.900000000000000000e+01,1.419916386760230353e+03,4.298669871617572062e+04,2.091145627236514338e+04,3.027410565650055574e+01
8.000000000000000000e+01,1.409089253253392599e+03,4.715490847736258002e+04,2.421559058198925413e+04,3.346481308298137236e+01
8.100000000000000000e+01,1.399375254043310406e+03,3.602726543073989160e+04,1.690881195673775073e+04,2.574524976531052189e+01
8.200000000000000000e+01,1.394397254153043377e+03,5.496971970159713237e+04,2.714857182037576422e+04,3.942185022085813983e+01
8.300000000000000000e+01,1.382898011855092818e+03,3.310409869986909325e+04,1.357160595760918659e+04,2.393820687865585839e+01
8.400000000000000000e+01,1.381292604722833858e+03,3.455588884189994133e+04,1.456116396418363547e+04,2.501706642296388949e+01
8.500000000000000000e+01,1.376450047460518590e+03,5.184006393315734749e+04,3.082622959506281404e+04,3.766214693282888959e+01
8.600000000000000000e+01,1.374217157643338624e+03,3.390041490886405518e+04,1.456985520758151688e+04,2.466889219095494212e+01
8.700000000000000000e+01,1.371347243487627111e+03,3.999050502119787416e+04,2.213774154353695485e+04,2.916147256729340853e+01
8.800000000000000000e+01,1.363887153786366525e+03,3.689763730775394652e+04,1.747767359893945104e+04,2.705329191298581293e+01
8.900000000000000000e+01,1.353633314875144606e+03,3.370383562617602729e+04,1.728438321109921526e+04,2.489879294178333424e+01
9.000000000000000000e+01,1.349827295611992895e+03,3.831737378309117048e+04,1.642122065507937077e+04,2.838687134839616988e+01
9.100000000000000000e+01,1.336305605530917774e+03,4.627842839889509196e+04,2.195281370990506548e+04,3.463162034743433537e+01
9.200000000000000000e+01,1.332633841682712045e+03,4.771875574130304449e+04,2.227788300673394042e+04,3.580785227624772205e+01
9.300000000000000000e+01,1.327183736395651067e+03,4.592107915756445436e+04,2.106446941887922003e+04,3.460039322232530168e+01
9.400000000000000000e+01,1.321381571385727511e+03,2.943632783894382374e+04,1.436747829629174157e+04,2.227693232324563510e+01
9.500000000000000000e+01,1.316998215716477716e+03,4.729085759444742871e+04,2.329822395355703702e+04,3.590806504526667453e+01
9.600000000000000000e+01,1.312188507593792792e+03,2.712887391682883754e+04,9.853328174473381296e+03,2.067452485662752082e+01
9.700000000000000000e+01,1.309641786234216852e+03,4.287282835329038789e+04,2.443041932711124173e+04,3.273630148635391635e+01
9.800000000000000000e+01,1.301048545298559702e+03,4.068338520628457627e+04,1.873305155839194413e+04,3.126969039956053820e+01
9.900000000000000000e+01,1.296910080070778349e+03,3.960939802435421734e+04,1.929771604806053438e+04,3.054136029399397501e+01
1.000000000000000000e+02,1.290890102671920886e+03,2.996120868678815168e+04,1.205132075603367230e+04,2.320972840737843867e+01
1.010000000000000000e+02,1.285675114615936536e+03,3.884597779064870701e+04,1.909969956469974932e+04,3.021445880770040304e+01
1.020000000000000000e+02,1.281705217530345863e+03,3.328011424594554410e+04,1.351967085458498332e+04,2.596549798718253044e+01
1.030000000000000000e+02,1.274294843710180885e+03,3.425267010429148650e+04,1.876602468470920576e+04,2.687970548838047335e+01
1.040000000000000000e+02,1.268394552783327526e+03,3.383272079953578941e+04,1.909931299635841788e+04,2.667365665146879294e+01
1.050000000000000000e+02,1.265846544686466359e+03,4.602028204478415864e+04,2.332453711731742806e+04,3.635534041464937616e+01
1.060000000000000000e+02,1.261018768345966237e+03,3.043599208240473672e+04,1.249517643025232610e+04,2.413603417047198363e+01
1.070000000000000000e+02,1.254994323485891755e+03,4.523336706043122103e+04,2.077931844097976864e+04,3.604268657948214383e+01
1.080000000000000000e+02,1.250618761603778466e+03,3.549076245043273229e+04,1.639231910035744659e+04,2.837856230856460726e+01
1.090000000000000000e+02,1.243897291994836905e+03,3.963346862844035786e+04,1.830093919392509997e+04,3.186233211013764688e+01
1.100000000000000000e+02,1.240858295038001870e+03,3.099606481055229233e+04,1.499465798842331060e+04,2.497953628911593427e+01
1.110000000000000000e+02,1.237326160598578099e+03,3.434019028293962765e+04,1.869611918734900974e+04,2.775354742869653890e+01
1.120000000000000000e+02,1.234686644543173998e+03,2.905517943814324099e+04,1.285513948619327493e+04,2.353243194664462123e+01
1.130000000000000000e+02,1.231742285711205341e+03,4.005603745890431310e+04,1.881767644777890018e+04,3.251982003343827898e+01
1.140000000000000000e+02,1.224732841637559432e+03,3.423373043978225178e+04,1.502777717614021094e+04,2.795199840808481540e+01
1.150000000000000000e+02,1.223242356383756260e+03,3.674725960677384865e+04,2.104235656022695912e+04,3.004086591262989003e+01
1.160000000000000000e+02,1.220976495885523946e+03,3.983303661477126298e+04,1.827203471782931956e+04,3.262391761758034647e+01
1.170000000000000000e+02,1.213132693475997939e+03,3.022776245943443428e+04,1.282939837757616624e+04,2.491711139432126387e+01
1.180000000000000000e+02,1.209195844787262786e+03,4.673565708725026343e+04,2.463253035834361435e+04,3.865019656553037208e+01
1.190000000000000000e+02,1.204921274781034299e+03,3.260627256887469048e+04,1.411899613486896124e+04,2.706091530735076844e+01
1.200000000000000000e+02,1.201855301793805893e+03,5.154931228679750348e+04,2.702847256427647881e+04,4.289144642442278865e+01
1.210000000000000000e+02,1.200334433604715286e+03,3.670071495496744319e+04,1.556058274930681910e+04,3.057540792589928813e+01
1.220000000000000000e+02,1.195434244945343835e+03,5.215180976598746201e+04,3.007827755262107166e+04,4.362582884546015549e+01
1.230000000000000000e+02,1.191592297231536349e+03,4.266947960333827359e+04,2.185973688028193646e+04,3.580879106257535227e+01
1.240000000000000000e+02,1.187559124314664132e+03,3.129220699744666490e+04,1.399476415860433553e+04,2.635002026994258273e+01
1.250000000000000000e+02,1.184141318667734595e+03,3.112598322036752506e+04,1.205093740533224809e+04,2.628569979754363573e+01
1.260000000000000000e+02,1.181636958438705051e+03,3.734273460358534066e+04,1.821790371125268211e+04,3.160254453527438301e+01
1.270000000000000000e+02,1.177179645055978199e+03,3.258455745823392499e+04,1.361847652567460864e+04,2.768019103548502002e+01
1.280000000000000000e+02,1.174588337411041039e+03,2.450725850454699321e+04,9.405728892516461201e+03,2.086455119975434158e+01
1.290000000000000000e+02,1.172269154565969529e+03,3.583415140371199232e+04,1.696417191669890599e+04,3.056819439813676453e+01
1.300000000000000000e+02,1.168329968018860200e+03,3.744373228809473221e+04,1.602625882575597643e+04,3.204893592825334991e+01
1.310000000000000000e+02,1.166485196500661004e+03,4.112213003795242548e+04,2.251908251852570538e+04,3.525302349426696935e+01
1.320000000000000000e+02,1.163312241815750667e+03,3.669967152465708932e+04,1.724300597503613972e+04,3.154756754504239780e+01
1.330000000000000000e+02,1.160135313808531464e+03,3.315860911885872338e+04,1.405926420414184031e+04,2.858167381355242043e+01
1.340000000000000000e+02,1.156543505381139539e+03,3.104296967154702361e+04,1.326838090356965222e+04,2.684116034296245346e+01
1.350000000000000000e+02,1.153474704922911769e+03,2.843141547067795909e+04,1.218162077181543282e+04,2.464849497725055727e+01
1.360000000000000000e+02,1.151002034234245002e+03,2.982335715715424158e+04,1.414637914075694971e+04,2.591077710561610559e+01
1.370000000000000000e+02,1.146445042125280224e+03,3.366866717477922066e+04,1.557856446642516494e+04,2.936788588868092020e+01
1.380000000000000000e+02,1.142816093324351186e+03,2.702942537080073816e+04,1.268635339272252895e+04,2.365159672557158643e+01
1.390000000000000000e+02,1.142323313851000648e+03,3.440910178832400561e+04,1.394964101648478209e+04,3.012203407835915669e+01
1.400000000000000000e+02,1.140474988729342613e+03,3.550572762866930861e+04,1.717160526647026927e+04,3.113240358583218637e+01
1.410000000000000000e+02,1.136368562348667183e+03,2.604114932157738440e+04,1.130474784698845360e+04,2.291611206469410078e+01
1.420000000000000000e+02,1.132935317708872617e+03,4.038776981439082738e+04,2.244125278472550053e+04,3.564878698994638029e+01
1.430000000000000000e+02,1.131423042625718153e+03,4.158436505310398934e+04,2.057901053800942100e+04,3.675403760259137442e+01
1.440000000000000000e+02,1.129125411093905768e+03,3.533887523066070571e+04,2.049873452342875680e+04,3.129756436570152189e+01
1.450000000000000000e+02,1.125511265198939327e+03,3.328799754321778892e+04,1.558659881079064689e+04,2.957589015098305651e+01
1.460000000000000000e+02,1.122957982355801278e+03,2.816297361975053354e+04,1.219229997129735966e+04,2.507927639524743668e+01
1.470000000000000000e+02,1.120355460583709828e+03,3.338719191849303024e+04,1.440203141661659538e+04,2.980053482409784849e+01
1.480000000000000000e+02,1.117272258761766807e+03,2.403873582827383507e+04,1.058397442033451807e+04,2.151555777005965808e+01
