kappa,trace_over_evaluated_pcs_only
3.287918575102612845e-02,2.491269213018378650e+04
3.869261877813805206e-02,2.491229593258975001e+04
4.553393624912372567e-02,2.491182969641222735e+04
5.358488041938203744e-02,2.491128104333638476e+04
6.305932774732890544e-02,2.491063540846954493e+04
7.420897060557259117e-02,2.490987565451913542e+04
8.733000358653529582e-02,2.490898161805688505e+04
1.027709920268260052e-01,2.490792957597826171e+04
1.209421317807707758e-01,2.490669161820859881e+04
1.423261462325797200e-01,2.490523491030320656e+04
1.674911100305112588e-01,2.490352082678334409e+04
1.971055402105111043e-01,2.490150393278157571e+04
2.319561556108866163e-01,2.489913078776896145e+04
2.729687763637638209e-01,2.489633854072683607e+04
3.212329186664333869e-01,2.489305328102249769e+04
3.780307382022385365e-01,2.488918810336320530e+04
4.448710911042200733e-01,2.488464083844175184e+04
5.235296173042452983e-01,2.487929139315854991e+04
6.160959110973565078e-01,2.487299863552386523e+04
7.250290320256993493e-01,2.486559674944113794e+04
8.532228307502203180e-01,2.485689097351163946e+04
1.004082825317283101e+00,2.484665262579701084e+04
1.181616670068081465e+00,2.483461330322904178e+04
1.390540620532560334e+00,2.482045813028811972e+04
1.636404822589095698e+00,2.480381791709234676e+04
1.925740754245121256e+00,2.478426007282171122e+04
2.266234736886847401e+00,2.476127810749376295e+04
2.666932125391826336e+00,2.473427954507705726e+04
3.138477601493975033e+00,2.470257206605356623e+04
3.693397953887638252e+00,2.466534770105200005e+04
4.346434857233937521e+00,2.462166491356022743e+04
5.114936490473006359e+00,2.457042844510338182e+04
6.019318397934554810e+00,2.451036685881441736e+04
7.083605836201266825e+00,2.444000781770749381e+04
8.336072014379967143e+00,2.435765128581595127e+04
9.809989182881235337e+00,2.426134106054338918e+04
1.154451252367268843e+01,2.414883535318830400e+04
1.358572032289354148e+01,2.401757755431191254e+04
1.598783805842019490e+01,2.386466887497987045e+04
1.881467892074403281e+01,2.368684526496162289e+04
2.214133903515840984e+01,2.348046188736055046e+04
2.605619241948999942e+01,2.324148947082566156e+04
3.066323867420204863e+01,2.296552802920996692e+04
3.608486577216805102e+01,2.264784464879200823e+04
4.246510134269995262e+01,2.228344313859771501e+04
4.997343882145278116e+01,2.186717407075517986e+04
5.880934010936482537e+01,2.139389374773579766e+04
6.920753435551544896e+01,2.085867945869624600e+04
8.144425362812633296e+01,2.025710549604919652e+04
9.584457112672660628e+01,1.958557928441141848e+04
1.127910368779381685e+02,1.884172929144404043e+04
1.327338403254944126e+02,1.802482620253416098e+04
1.562027697876403352e+02,1.713620685164110182e+04
1.838212864895477026e+02,1.617965816259385974e+04
2.163230870528777245e+02,1.516170832404293469e+04
2.545715944314633248e+02,1.409176772447438998e+04
2.995828950773807833e+02,1.298206601613967359e+04
3.525527316721419311e+02,1.184734640739500719e+04
4.148882684953857165e+02,1.070430430991756657e+04
4.882454732904299703e+02,9.570792373571743155e+03
5.745731086904611402e+02,8.464852236220893246e+03
6.761645018546685151e+02,7.403667173888361503e+03
7.957184675948309405e+02,6.402550897194653771e+03
9.364110034388567101e+02,5.474089577914981419e+03
1.101979661238497556e+03,4.627534646590697776e+03
1.296822836685735183e+03,3.868506288825363754e+03
1.526116614402430969e+03,3.199020051901663010e+03
1.795952272638415479e+03,2.617802205752740520e+03
2.113498100443687235e+03,2.120823353781838250e+03
2.487189826050797819e+03,1.701960502179800642e+03
2.926954715271298937e+03,1.353696632602365526e+03
3.444475293167244217e+03,1.067780533405428514e+03
4.053499694866260597e+03,8.357922787358581900e+02
4.770206890110236600e+03,6.495848652551496798e+02
5.613636483869501717e+03,5.015949579498280855e+02
6.606194510842811724e+03,3.850324296077810686e+02
7.774248660470302639e+03,2.939685022734022368e+02
9.148828744843232926e+03,2.233464818900622504e+02
1.076645101771238478e+04,1.689388205311869910e+02
1.267008824294989608e+04,1.272712394607576130e+02
1.491031128270959380e+04,9.553037649191111313e+01
1.754663253201903717e+04,7.146695412556398708e+01
2.064908688866479497e+04,5.330245153136891645e+01
2.430009225744955620e+04,3.964400979497946764e+01
2.859663901383981647e+04,2.940987384119241810e+01
3.365286659095563664e+04,2.176600396087043521e+01
3.960309563793705456e+04,1.607343762514490848e+01
4.660539630015069997e+04,1.184539501200790212e+01
5.484578741398722923e+04,8.712858538892724880e+00
6.454317816948907421e+04,6.397302534251904760e+00
7.595518351799645461e+04,4.689317897581652517e+00
8.938496781337205903e+04,3.432008594265229640e+00
1.051892984907939244e+05,2.508193666241257169e+00
1.237880237322188623e+05,1.830606978472073543e+00
1.456752258963824715e+05,1.334434330852668715e+00
1.714323470085313893e+05,9.716576085055662615e-01
2.017436349936237093e+05,7.067861775412727088e-01
2.374143209881801158e+05,5.136470747451903351e-01
2.793920106181298033e+05,3.729793825312386901e-01
3.287918575102613540e+05,2.706368673624260923e-01
