pc,variance,mean_power,power_se,power_over_variance
1.000000000000000000e+00,1.606808213632476054e+03,1.161391702900158052e+01,3.140039344416671874e+00,7.227942283632128422e-03
2.000000000000000000e+00,9.370499146310569358e+02,1.974194350969716538e+01,1.123671858532734369e+01,2.106818772559210587e-02
3.000000000000000000e+00,6.785343772941573661e+02,1.746517989453406727e+01,2.893431752351478536e-01,2.573956527328988275e-02
4.000000000000000000e+00,5.713408162783772468e+02,1.714766172416520362e+01,3.967871971640331008e+00,3.001301716173952056e-02
5.000000000000000000e+00,4.807072282454707306e+02,7.869997088568124965e+00,1.008004359848698073e+00,1.637170532528241934e-02
6.000000000000000000e+00,4.427168158285694517e+02,1.573020338290824149e+01,7.145073295971497984e+00,3.553107273205396294e-02
7.000000000000000000e+00,3.895766770245230646e+02,1.923803071166954481e+01,4.957336672289201829e+00,4.938188512362753912e-02
8.000000000000000000e+00,3.464515227509656938e+02,2.499865751020201188e+01,3.873301145383109212e+00,7.215629278146196146e-02
9.000000000000000000e+00,3.266212886853058990e+02,1.284125064334780575e+01,1.312486036659810118e+00,3.931541233896769516e-02
1.000000000000000000e+01,2.914875829883510505e+02,1.350022857305829760e+01,3.893806963090791662e+00,4.631493538988182973e-02
1.100000000000000000e+01,2.683726720396138603e+02,8.066957171660973813e+00,1.536586860560166024e+00,3.005878769381641405e-02
1.200000000000000000e+01,2.470495926852939306e+02,9.862052890856393361e+00,2.891141062338713041e+00,3.991932463300697231e-02
1.300000000000000000e+01,2.337770834842995669e+02,1.272680268258390157e+01,3.087270376286817442e+00,5.443990699558295954e-02
1.400000000000000000e+01,2.212309820419290816e+02,1.300240030116555445e+01,1.695174125428087875e+00,5.877296290580701077e-02
1.500000000000000000e+01,2.061044795649713990e+02,1.077092831044540944e+01,3.816407282968256709e+00,5.225955463549269292e-02
1.600000000000000000e+01,1.964918656670689074e+02,1.379460481082593226e+01,4.749201398048535694e+00,7.020445739061370594e-02
1.700000000000000000e+01,1.940377292785569807e+02,1.127062949379231327e+01,3.546752846841902951e+00,5.808473195237409681e-02
1.800000000000000000e+01,1.827734416858613429e+02,9.968927643121178406e+00,2.363834320110702159e+00,5.454253939286812791e-02
1.900000000000000000e+01,1.788263469917984878e+02,1.236167636464198516e+01,1.127645294386530272e+00,6.912670628567349485e-02
2.000000000000000000e+01,1.710098014119702157e+02,1.895559003795413844e+01,4.277036250376889726e+00,1.108450502921132508e-01
2.100000000000000000e+01,1.648864794131280576e+02,1.220671845017433910e+01,6.345329719027577475e+00,7.403104544181599023e-02
2.200000000000000000e+01,1.582193347609543537e+02,8.676696221064528203e+00,1.700496142889140083e+00,5.483967072781410074e-02
2.300000000000000000e+01,1.506856467418895420e+02,1.202910878163372743e+01,4.132690470054832588e+00,7.982916118240822312e-02
2.400000000000000000e+01,1.444320273937607908e+02,8.234262684763965723e+00,5.849011836536535114e-01,5.701133490507016843e-02
2.500000000000000000e+01,1.398905831081316364e+02,8.282859969664118083e+00,8.827309463446906257e-01,5.920956068402181971e-02
2.600000000000000000e+01,1.378824598439477143e+02,1.385827711597356782e+01,3.598930028651281532e+00,1.005079045707340524e-01
2.700000000000000000e+01,1.345449592320910597e+02,6.956468035998402577e+00,2.077811175368149854e+00,5.170366898694764984e-02
2.800000000000000000e+01,1.320434057232259590e+02,1.400937561735526060e+01,3.303182234523472260e+00,1.060967455407813842e-01
2.900000000000000000e+01,1.278407193913762399e+02,1.037081854159894867e+01,7.324749177482737572e+00,8.112296763482178263e-02
3.000000000000000000e+01,1.235244581204202063e+02,2.444989004349096007e+01,2.963799585459140573e+00,1.979356187068273820e-01
3.100000000000000000e+01,1.226229506170647312e+02,7.101468841521251463e+00,9.891658336758138992e-01,5.791304813483244551e-02
3.200000000000000000e+01,1.152660600103858712e+02,1.168504090688088048e+01,6.706032870236988686e-02,1.013745148036466065e-01
3.300000000000000000e+01,1.115063195964153948e+02,8.169422206604988190e+00,3.141109986211147564e+00,7.326420812894995915e-02
3.400000000000000000e+01,1.097316985456703691e+02,1.013323963782764636e+01,9.093923338733338468e-01,9.234560088040730252e-02
3.500000000000000000e+01,1.062076215125450744e+02,9.261906081028225657e+00,3.218717840646400763e+00,8.720566329539941597e-02
