kappa,trace_over_evaluated_pcs_only
1.606808213632476010e-03,9.987749065099497159e+01
1.890911111073424440e-03,9.987291473992698343e+01
2.225246796503349989e-03,9.986753033440810157e+01
2.618697027242831814e-03,9.986119470654035979e+01
3.081713961465364603e-03,9.985373997838300397e+01
3.626597823838247688e-03,9.984496870814518843e+01
4.267823665767607293e-03,9.983464870863477358e+01
5.022425900760267223e-03,9.982250696706901749e+01
5.910450830233799496e-03,9.980822251406107171e+01
6.955489181298492307e-03,9.979141806524313552e+01
8.185302803584391940e-03,9.977165023129555266e+01
9.632562173557809512e-03,9.974839806089434546e+01
1.133571429841607851e-02,9.972104964613177458e+01
1.334000407576435565e-02,9.968888648133089703e+01
1.569867624189108871e-02,9.965106522413407220e+01
1.847438983886477704e-02,9.960659646295063396e+01
2.174088277631975458e-02,9.955432004849907912e+01
2.558493070766128252e-02,9.949287650127951110e+01
3.010865225899702138e-02,9.942067396448517513e+01
3.543222185009670816e-02,9.933585013778636608e+01
4.169706217452232716e-02,9.923622860838830206e+01
4.906960114840314136e-02,9.911926900139511076e+01
5.774569313265894704e-02,9.898201041512078291e+01
6.795582188015665548e-02,9.882100770663853950e+01
7.997122342611209800e-02,9.863226037252256617e+01
9.411109157869847197e-02,9.841113406049329626e+01
1.107510574265170994e-01,9.815227518874836221e+01
1.303331681243402318e-01,9.784951978900267022e+01
1.533776300474437304e-01,9.749579858254614351e+01
1.804966282759852270e-01,9.708304150719800418e+01
2.124105895293962321e-01,9.660208649753570853e+01
2.499673205819579469e-01,9.604259933022476048e+01
2.941645305789989950e-01,9.539301380000621577e+01
3.461763355677964227e-01,9.464050435241375681e+01
4.073844493463319449e-01,9.377100643500315869e+01
4.794148892269133877e-01,9.276930296779171670e+01
5.641811718175326895e-01,9.161919801362688531e+01
6.639351463336556902e-01,9.030380025763504648e+01
7.813268158471261549e-01,8.880593834923317331e+01
9.194747356468766508e-01,8.710872640180808446e+01
1.082048858871255570e+00,8.519628983221207363e+01
1.273368030238343662e+00,8.305464834939587604e+01
1.498514717833094201e+00,8.067273401356635532e+01
1.763470030845743608e+00,7.804349874442748103e+01
2.075272610060187706e+00,7.516503982319522947e+01
2.442205612079803245e+00,7.204164778256509294e+01
2.874016754599345358e+00,6.868466381534670973e+01
3.382177268310951668e+00,6.511302892059653402e+01
3.980186634602278950e+00,6.135341873806153501e+01
4.683931204521996072e+00,5.743988800500876835e+01
5.512106225864742193e+00,5.341299468228200453e+01
6.486712489689001160e+00,4.931843009404991562e+01
7.633640789875399513e+00,4.520523916791059094e+01
8.983359722120717095e+00,4.112376440832767344e+01
1.057172509401480198e+01,3.712348023431013644e+01
1.244093244849363344e+01,3.325089552874285914e+01
1.464063800482371036e+01,2.954769056508170877e+01
1.722927779535064019e+01,2.604922287800586389e+01
2.027562004139156571e+01,2.278349128005002910e+01
2.386059200774015565e+01,1.977059590097194786e+01
2.807942986688362552e+01,1.702268260763558416e+01
3.304420868490894492e+01,1.454431873425531307e+01
3.888681973915725365e+01,1.233321763160260609e+01
4.576247426122541384e+01,1.038121346995366778e+01
5.385382668360907132e+01,8.675384157156260656e+00
6.337582692563404407e+01,7.199226859997400751e+00
7.458143062153783376e+01,5.933804480169341034e+00
8.776831898512736529e+01,4.858799531397981042e+00
1.032868068268255257e+02,3.953431520546804911e+00
1.215491488026531499e+02,3.197212979426846235e+00
1.430404911192621853e+02,2.570536103505738357e+00
1.683317596313200966e+02,2.055095474780367582e+00
1.980948267085527448e+02,1.634162091268761996e+00
2.331203597861647836e+02,1.292729929992600724e+00
2.743388257523054676e+02,1.017558983809937478e+00
3.228452091622955891e+02,7.971388375464411036e-01
3.799281009285667210e+02,6.215951651564280978e-01
4.471039302386679992e+02,4.825587521090333176e-01
5.261572490855274964e+02,3.730133473851212078e-01
6.191881395841677431e+02,2.871352390850652747e-01
7.286680034686390854e+02,2.201342019875867084e-01
8.575052158388401722e+02,1.681025585984798065e-01
1.009122387274500738e+03,1.278766283770360057e-01
1.187547286814372455e+03,9.691285730375184815e-02
1.397519841204907607e+03,7.317941891794008114e-02
1.644618052894993752e+03,5.506301766446581453e-02
1.935406181837204258e+03,4.128993931974224429e-02
2.277609127602607259e+03,3.086000291930934142e-02
2.680317644337799265e+03,2.299189604458774100e-02
3.154229840179136772e+03,1.707835201386175006e-02
3.711935376649944828e+03,1.264969867198130135e-02
4.368249917907965028e+03,9.344433507718864426e-03
5.140608714617297665e+03,6.885630459211358398e-03
6.049529778153139887e+03,5.062141208972034158e-03
7.119158949542063965e+03,3.713706140858513000e-03
8.377911343105693959e+03,2.719230480896893919e-03
9.859226205007516910e+03,1.987606030310383812e-03
1.160245523981321458e+04,1.450567318843583526e-03
1.365390800380427390e+04,1.057163519839561007e-03
1.606808213632475963e+04,7.695054890960832672e-04
