kappa,trace_over_evaluated_pcs_only
1.606808213632476010e-03,2.723943707093480882e+00
1.890911111073424440e-03,2.723676905682787197e+00
2.225246796503349989e-03,2.723362992650644188e+00
2.618697027242831814e-03,2.722993661957863853e+00
3.081713961465364603e-03,2.722559148124574779e+00
3.626597823838247688e-03,2.722047971701263780e+00
4.267823665767607293e-03,2.721446641083415496e+00
5.022425900760267223e-03,2.720739303465234737e+00
5.910450830233799496e-03,2.719907336649593610e+00
6.955489181298492307e-03,2.718928872235838234e+00
8.185302803584391940e-03,2.717778239401310802e+00
9.632562173557809512e-03,2.716425317093822400e+00
1.133571429841607851e-02,2.714834780995305952e+00
1.334000407576435565e-02,2.712965230159296137e+00
1.569867624189108871e-02,2.710768176859058798e+00
1.847438983886477704e-02,2.708186882048481792e+00
2.174088277631975458e-02,2.705155018139638212e+00
2.558493070766128252e-02,2.701595140833027209e+00
3.010865225899702138e-02,2.697416952911311228e+00
3.543222185009670816e-02,2.692515345792230619e+00
4.169706217452232716e-02,2.686768209997115964e+00
4.906960114840314136e-02,2.680034014541173182e+00
5.774569313265894704e-02,2.672149168901077232e+00
6.795582188015665548e-02,2.662925201314723100e+00
7.997122342611209800e-02,2.652145815726376643e+00
9.411109157869847197e-02,2.639563929043987844e+00
1.107510574265170994e-01,2.624898843062138276e+00
1.303331681243402318e-01,2.607833773882759054e+00
1.533776300474437304e-01,2.588014047790440753e+00
1.804966282759852270e-01,2.565046376679343432e+00
2.124105895293962321e-01,2.538499745812975217e+00
2.499673205819579469e-01,2.507908574684003522e+00
2.941645305789989950e-01,2.472778933506777133e+00
3.461763355677964227e-01,2.432598688744926463e+00
4.073844493463319449e-01,2.386852473596693613e+00
4.794148892269133877e-01,2.335042282160109561e+00
5.641811718175326895e-01,2.276714206183901190e+00
6.639351463336556902e-01,2.211491305197475832e+00
7.813268158471261549e-01,2.139111774012159906e+00
9.194747356468766508e-01,2.059470440065351848e+00
1.082048858871255570e+00,1.972660262927757424e+00
1.273368030238343662e+00,1.879009114544314407e+00
1.498514717833094201e+00,1.779106022164560486e+00
1.763470030845743608e+00,1.673810693132429472e+00
2.075272610060187706e+00,1.564240954924740024e+00
2.442205612079803245e+00,1.451735014724964357e+00
2.874016754599345358e+00,1.337789088581094132e+00
3.382177268310951668e+00,1.223975392270649776e+00
3.980186634602278950e+00,1.111849685470053029e+00
4.683931204521996072e+00,1.002860286991389405e+00
5.512106225864742193e+00,8.982707530270099827e-01
6.486712489689001160e+00,7.991059390205299540e-01
7.633640789875399513e+00,7.061265326405083975e-01
8.983359722120717095e+00,6.198316321553807295e-01
1.057172509401480198e+01,5.404840519318685477e-01
1.244093244849363344e+01,4.681499428722895040e-01
1.464063800482371036e+01,4.027435256122443019e-01
1.722927779535064019e+01,3.440690388976618830e-01
2.027562004139156571e+01,2.918546904854677493e-01
2.386059200774015565e+01,2.457765538662842475e-01
2.807942986688362552e+01,2.054731529918181754e-01
3.304420868490894492e+01,1.705533523156425868e-01
3.888681973915725365e+01,1.406008938528151009e-01
4.576247426122541384e+01,1.151785983246484957e-01
5.385382668360907132e+01,9.383421801672892082e-02
6.337582692563404407e+01,7.610864448456135245e-02
7.458143062153783376e+01,6.154604371000363394e-02
8.776831898512736529e+01,4.970477564267892362e-02
1.032868068268255257e+02,4.016772932492224807e-02
1.215491488026531499e+02,3.255088879257680978e-02
1.430404911192621853e+02,2.650937358022535315e-02
1.683317596313200966e+02,2.174069500367254923e-02
1.980948267085527448e+02,1.798540043672468974e-02
2.331203597861647836e+02,1.502556944483058286e-02
2.743388257523054676e+02,1.268176231492314059e-02
3.228452091622955891e+02,1.080902703162874533e-02
3.799281009285667210e+02,9.292487366324035658e-03
4.471039302386679992e+02,8.042906586162058835e-03
5.261572490855274964e+02,6.992484554705817937e-03
6.191881395841677431e+02,6.091025387427386091e-03
7.286680034686390854e+02,5.302521964936891818e-03
8.575052158388401722e+02,4.602147130503335577e-03
1.009122387274500738e+03,3.973617175556966134e-03
1.187547286814372455e+03,3.406894143449265208e-03
1.397519841204907607e+03,2.896209123039222323e-03
1.644618052894993752e+03,2.438407346924338290e-03
1.935406181837204258e+03,2.031627239342626273e-03
2.277609127602607259e+03,1.674323422163016698e-03
2.680317644337799265e+03,1.364627813466102839e-03
3.154229840179136772e+03,1.100018622526436349e-03
3.711935376649944828e+03,8.772426107619714624e-04
4.368249917907965028e+03,6.924193308426452708e-04
5.140608714617297665e+03,5.412516384475275647e-04
6.049529778153139887e+03,4.192745427793891674e-04
7.119158949542063965e+03,3.220907655096428451e-04
8.377911343105693959e+03,2.455610114880871632e-04
9.859226205007516910e+03,1.859352229205201248e-04
1.160245523981321458e+04,1.399250332131664288e-04
1.365390800380427390e+04,1.047262670178303182e-04
1.606808213632475963e+04,7.800415835709827508e-05
