pc,training_variance
1.000000000000000000e+00,1.606808213632476054e+03
2.000000000000000000e+00,9.370499146310569358e+02
3.000000000000000000e+00,6.785343772941573661e+02
4.000000000000000000e+00,5.713408162783772468e+02
5.000000000000000000e+00,4.807072282454707306e+02
6.000000000000000000e+00,4.427168158285694517e+02
7.000000000000000000e+00,3.895766770245230646e+02
8.000000000000000000e+00,3.464515227509656938e+02
9.000000000000000000e+00,3.266212886853058990e+02
1.000000000000000000e+01,2.914875829883510505e+02
1.100000000000000000e+01,2.683726720396138603e+02
1.200000000000000000e+01,2.470495926852939306e+02
1.300000000000000000e+01,2.337770834842995669e+02
1.400000000000000000e+01,2.212309820419290816e+02
1.500000000000000000e+01,2.061044795649713990e+02
1.600000000000000000e+01,1.964918656670689074e+02
1.700000000000000000e+01,1.940377292785569807e+02
1.800000000000000000e+01,1.827734416858613429e+02
1.900000000000000000e+01,1.788263469917984878e+02
2.000000000000000000e+01,1.710098014119702157e+02
2.100000000000000000e+01,1.648864794131280576e+02
2.200000000000000000e+01,1.582193347609543537e+02
2.300000000000000000e+01,1.506856467418895420e+02
2.400000000000000000e+01,1.444320273937607908e+02
2.500000000000000000e+01,1.398905831081316364e+02
2.600000000000000000e+01,1.378824598439477143e+02
2.700000000000000000e+01,1.345449592320910597e+02
2.800000000000000000e+01,1.320434057232259590e+02
2.900000000000000000e+01,1.278407193913762399e+02
3.000000000000000000e+01,1.235244581204202063e+02
3.100000000000000000e+01,1.226229506170647312e+02
3.200000000000000000e+01,1.152660600103858712e+02
3.300000000000000000e+01,1.115063195964153948e+02
3.400000000000000000e+01,1.097316985456703691e+02
3.500000000000000000e+01,1.062076215125450744e+02
3.600000000000000000e+01,1.054079907299490344e+02
3.700000000000000000e+01,1.024470457663390732e+02
3.800000000000000000e+01,1.010837414997060790e+02
3.900000000000000000e+01,9.981772940308827913e+01
4.000000000000000000e+01,9.879579612761919805e+01
4.100000000000000000e+01,9.619991470440348280e+01
4.200000000000000000e+01,9.460933099543254343e+01
4.300000000000000000e+01,9.181063476077700614e+01
4.400000000000000000e+01,9.128614109804287580e+01
4.500000000000000000e+01,8.993871185495486031e+01
4.600000000000000000e+01,8.855914130691662933e+01
4.700000000000000000e+01,8.739795975322171273e+01
4.800000000000000000e+01,8.543698606390937300e+01
4.900000000000000000e+01,8.449703901338058643e+01
5.000000000000000000e+01,8.113523773467495914e+01
5.100000000000000000e+01,8.030093455762172994e+01
5.200000000000000000e+01,7.890655623320814982e+01
5.300000000000000000e+01,7.841847475998162054e+01
5.400000000000000000e+01,7.754081531904149927e+01
5.500000000000000000e+01,7.649297413742156948e+01
5.600000000000000000e+01,7.595523973003155049e+01
5.700000000000000000e+01,7.376623294252244989e+01
5.800000000000000000e+01,7.263049580817866513e+01
5.900000000000000000e+01,7.186622829333754225e+01
6.000000000000000000e+01,7.131948909002974801e+01
6.100000000000000000e+01,7.051451118390718875e+01
6.200000000000000000e+01,6.963442540440574646e+01
6.300000000000000000e+01,6.905829289115389713e+01
6.400000000000000000e+01,6.801223324831741479e+01
6.500000000000000000e+01,6.711861651602163192e+01
6.600000000000000000e+01,6.643509800935223097e+01
6.700000000000000000e+01,6.549862696488770553e+01
6.800000000000000000e+01,6.474448889559162978e+01
6.900000000000000000e+01,6.440683034277614638e+01
7.000000000000000000e+01,6.363709978811338885e+01
7.100000000000000000e+01,6.287542975909151011e+01
7.200000000000000000e+01,6.224708466004528162e+01
7.300000000000000000e+01,6.156716405624644750e+01
7.400000000000000000e+01,6.094977745185457962e+01
7.500000000000000000e+01,6.004071642358192662e+01
7.600000000000000000e+01,5.931080933387423926e+01
7.700000000000000000e+01,5.879886700722910575e+01
7.800000000000000000e+01,5.829508334246011714e+01
7.900000000000000000e+01,5.786441256013938528e+01
8.000000000000000000e+01,5.751308353194285417e+01
8.100000000000000000e+01,5.677114326183276916e+01
8.200000000000000000e+01,5.642386411865434326e+01
8.300000000000000000e+01,5.608989516119792285e+01
8.400000000000000000e+01,5.523256839408583119e+01
8.500000000000000000e+01,5.489236205543168978e+01
8.600000000000000000e+01,5.410710091090174956e+01
8.700000000000000000e+01,5.354890291702669458e+01
8.800000000000000000e+01,5.311881695334533759e+01
8.900000000000000000e+01,5.277461093523164237e+01
9.000000000000000000e+01,5.242513589353505665e+01
9.100000000000000000e+01,5.184104622188701228e+01
9.200000000000000000e+01,5.132784787390988868e+01
9.300000000000000000e+01,5.113303908760051542e+01
9.400000000000000000e+01,5.078128881133013550e+01
9.500000000000000000e+01,5.024477836702205735e+01
9.600000000000000000e+01,4.972421147955969190e+01
9.700000000000000000e+01,4.966826579860779844e+01
9.800000000000000000e+01,4.884722622872264708e+01
9.900000000000000000e+01,4.854190112692513992e+01
1.000000000000000000e+02,4.848839936196946354e+01
1.010000000000000000e+02,4.802542421309332354e+01
1.020000000000000000e+02,4.780622117683645200e+01
1.030000000000000000e+02,4.774872642079201768e+01
1.040000000000000000e+02,4.729207190470979327e+01
1.050000000000000000e+02,4.710238623245275846e+01
1.060000000000000000e+02,4.673746881873307046e+01
1.070000000000000000e+02,4.638371973102592705e+01
1.080000000000000000e+02,4.619893971368286856e+01
1.090000000000000000e+02,4.588502769472680143e+01
1.100000000000000000e+02,4.545401677055732392e+01
1.110000000000000000e+02,4.532571869943544840e+01
1.120000000000000000e+02,4.510385170618524597e+01
1.130000000000000000e+02,4.496372927384432217e+01
1.140000000000000000e+02,4.438163264485113757e+01
1.150000000000000000e+02,4.403368557995979415e+01
1.160000000000000000e+02,4.380459869897531888e+01
1.170000000000000000e+02,4.345924604244780198e+01
1.180000000000000000e+02,4.290764276492176776e+01
1.190000000000000000e+02,4.283546882942967216e+01
1.200000000000000000e+02,4.250792885857038073e+01
1.210000000000000000e+02,4.229661157829926310e+01
1.220000000000000000e+02,4.206284123592414659e+01
1.230000000000000000e+02,4.161489311530219481e+01
