pc,variance,mean_power,power_se,power_over_variance
1.000000000000000000e+00,1.606808213632476054e+03,1.610577987789203647e+01,2.202179665666178732e+00,1.002346125769549949e-02
2.000000000000000000e+00,9.370499146310569358e+02,1.928837907361899795e+01,5.535409459813954491e+00,2.058415327983182178e-02
3.000000000000000000e+00,6.785343772941573661e+02,1.152694705701353861e+01,1.816586923887018701e+00,1.698800745067687371e-02
4.000000000000000000e+00,5.713408162783772468e+02,1.861809702460231364e+01,3.367311669450112177e+00,3.258667417790597071e-02
5.000000000000000000e+00,4.807072282454707306e+02,1.032120149996470460e+01,1.510347487942515166e+00,2.147086811578842111e-02
6.000000000000000000e+00,4.427168158285694517e+02,1.442818169289660446e+01,2.411805582534483960e+00,3.259009185339718784e-02
7.000000000000000000e+00,3.895766770245230646e+02,1.194626308685787386e+01,2.568349599844395925e+00,3.066472864366539403e-02
8.000000000000000000e+00,3.464515227509656938e+02,1.580180007204573656e+01,4.235204965502072483e+00,4.561042175994214215e-02
9.000000000000000000e+00,3.266212886853058990e+02,1.134766883103310242e+01,2.335653752098262981e+00,3.474258789654825763e-02
1.000000000000000000e+01,2.914875829883510505e+02,1.107057368675958919e+01,1.416244797616885931e+00,3.797957214253620817e-02
1.100000000000000000e+01,2.683726720396138603e+02,8.866177951062010010e+00,1.020552530769439636e+00,3.303681363560479617e-02
1.200000000000000000e+01,2.470495926852939306e+02,7.176878618697081436e+00,9.277581608730206542e-01,2.905035600621047945e-02
1.300000000000000000e+01,2.337770834842995669e+02,8.768859438593031186e+00,1.565853195959840294e+00,3.750949112675514702e-02
1.400000000000000000e+01,2.212309820419290816e+02,1.080999690103623578e+01,1.047031175878480491e+00,4.886294316131298970e-02
1.500000000000000000e+01,2.061044795649713990e+02,1.123198295941279135e+01,2.161664703709600843e+00,5.449654943512314414e-02
1.600000000000000000e+01,1.964918656670689074e+02,8.740323422920720731e+00,9.120021317253541593e-01,4.448185879475598237e-02
1.700000000000000000e+01,1.940377292785569807e+02,9.800587221310530950e+00,1.150506018595905955e+00,5.050866786449036139e-02
1.800000000000000000e+01,1.827734416858613429e+02,9.579882779988366792e+00,8.980767386932680951e-01,5.241397596732692843e-02
1.900000000000000000e+01,1.788263469917984878e+02,9.725698892759442771e+00,1.024174244762597885e+00,5.438627504483717345e-02
2.000000000000000000e+01,1.710098014119702157e+02,8.347219505033603326e+00,6.264614744410069713e-01,4.881135137350858799e-02
2.100000000000000000e+01,1.648864794131280576e+02,8.164706716403044240e+00,8.915705525820949440e-01,4.951713897624149263e-02
2.200000000000000000e+01,1.582193347609543537e+02,7.744100561590430587e+00,5.823908528206249713e-01,4.894534902002086602e-02
2.300000000000000000e+01,1.506856467418895420e+02,1.096840263650149083e+01,1.273151488447715529e+00,7.278996290396086422e-02
2.400000000000000000e+01,1.444320273937607908e+02,8.280913612899194476e+00,1.432634278333025701e+00,5.733433063515187833e-02
2.500000000000000000e+01,1.398905831081316364e+02,8.599222113223536468e+00,9.441326414425388336e-01,6.147105775216170354e-02
2.600000000000000000e+01,1.378824598439477143e+02,8.703550095483915783e+00,7.998453553261167803e-01,6.312296796368732643e-02
2.700000000000000000e+01,1.345449592320910597e+02,7.478561506398156311e+00,9.562345434557669721e-01,5.558410771448956539e-02
2.800000000000000000e+01,1.320434057232259590e+02,8.625898122081460784e+00,1.077087354230820138e+00,6.532623174050861126e-02
2.900000000000000000e+01,1.278407193913762399e+02,1.014061655062717904e+01,1.765046921734366281e+00,7.932227383344367388e-02
3.000000000000000000e+01,1.235244581204202063e+02,8.274190904386760081e+00,1.165539235400990581e+00,6.698423154644002342e-02
3.100000000000000000e+01,1.226229506170647312e+02,7.843959144341593692e+00,8.643397344409290417e-01,6.396811612238267886e-02
3.200000000000000000e+01,1.152660600103858712e+02,8.529816733891767200e+00,1.006857955705645180e+00,7.400111301733745817e-02
3.300000000000000000e+01,1.115063195964153948e+02,6.570838076130383065e+00,6.103934321020352272e-01,5.892794327633441714e-02
3.400000000000000000e+01,1.097316985456703691e+02,7.579710838024249497e+00,8.669368983496088532e-01,6.907494314297496496e-02
