kappa,trace_over_evaluated_pcs_only
1.606808213632476010e-03,8.423259755012875871e+01
1.890911111073424440e-03,8.422873778275344137e+01
2.225246796503349989e-03,8.422419604120469216e+01
2.618697027242831814e-03,8.421885192846781365e+01
3.081713961465364603e-03,8.421256383070269180e+01
3.626597823838247688e-03,8.420516519305783731e+01
4.267823665767607293e-03,8.419646014744269280e+01
5.022425900760267223e-03,8.418621838167439364e+01
5.910450830233799496e-03,8.417416912138966723e+01
6.955489181298492307e-03,8.415999407547903388e+01
8.185302803584391940e-03,8.414331917231665159e+01
9.632562173557809512e-03,8.412370488752193864e+01
1.133571429841607851e-02,8.410063493426468995e+01
1.334000407576435565e-02,8.407350305421466885e+01
1.569867624189108871e-02,8.404159761133462325e+01
1.847438983886477704e-02,8.400408365232901531e+01
2.174088277631975458e-02,8.395998205765283728e+01
2.558493070766128252e-02,8.390814536717014960e+01
3.010865225899702138e-02,8.384722982737375219e+01
3.543222185009670816e-02,8.377566317636804172e+01
4.169706217452232716e-02,8.369160766415555486e+01
4.906960114840314136e-02,8.359291780709428110e+01
5.774569313265894704e-02,8.347709240773394868e+01
6.795582188015665548e-02,8.334122044960908227e+01
7.997122342611209800e-02,8.318192062096915151e+01
9.411109157869847197e-02,8.299527445792099911e+01
1.107510574265170994e-01,8.277675345911038107e+01
1.303331681243402318e-01,8.252114105151537160e+01
1.533776300474437304e-01,8.222245102807541173e+01
1.804966282759852270e-01,8.187384508601758171e+01
2.124105895293962321e-01,8.146755342394629906e+01
2.499673205819579469e-01,8.099480405221029855e+01
2.941645305789989950e-01,8.044576855844036345e+01
3.461763355677964227e-01,7.980953452739925069e+01
4.073844493463319449e-01,7.907411754434723150e+01
4.794148892269133877e-01,7.822652850123304802e+01
5.641811718175326895e-01,7.725291440227945827e+01
6.639351463336556902e-01,7.613879245754179692e+01
7.813268158471261549e-01,7.486939717106173475e+01
9.194747356468766508e-01,7.343015740153887805e+01
1.082048858871255570e+00,7.180731395471266865e+01
1.273368030238343662e+00,6.998867726729122296e+01
1.498514717833094201e+00,6.796450876366773741e+01
1.763470030845743608e+00,6.572848901782484177e+01
2.075272610060187706e+00,6.327871273607173208e+01
2.442205612079803245e+00,6.061862807158804856e+01
2.874016754599345358e+00,5.775782043513417818e+01
3.382177268310951668e+00,5.471253385204830977e+01
3.980186634602278950e+00,5.150583041434194342e+01
4.683931204521996072e+00,4.816731274594287981e+01
5.512106225864742193e+00,4.473237460715044733e+01
6.486712489689001160e+00,4.124099607983472993e+01
7.633640789875399513e+00,3.773615440159949941e+01
8.983359722120717095e+00,3.426197019414168210e+01
1.057172509401480198e+01,3.086174295430357262e+01
1.244093244849363344e+01,2.757604330369879619e+01
1.464063800482371036e+01,2.444102064872084767e+01
1.722927779535064019e+01,2.148705585159535758e+01
2.027562004139156571e+01,1.873784500507554895e+01
2.386059200774015565e+01,1.620995018627500173e+01
2.807942986688362552e+01,1.391280412082387308e+01
3.304420868490894492e+01,1.184911466333172925e+01
3.888681973915725365e+01,1.001558617929321748e+01
4.576247426122541384e+01,8.403859889492965252e+00
5.385382668360907132e+01,7.001573210000616498e+00
6.337582692563404407e+01,5.793446606829792955e+00
7.458143062153783376e+01,4.762322165086760428e+00
8.776831898512736529e+01,3.890097534631442144e+00
1.032868068268255257e+02,3.158519165154030084e+00
1.215491488026531499e+02,2.549817482825986747e+00
1.430404911192621853e+02,2.047182363229691049e+00
1.683317596313200966e+02,1.635089133494270541e+00
1.980948267085527448e+02,1.299493233074816345e+00
2.331203597861647836e+02,1.027915903032016187e+00
2.743388257523054676e+02,8.094444990460004652e-01
3.228452091622955891e+02,6.346700220471005460e-01
3.799281009285667210e+02,4.955820211476398840e-01
4.471039302386679992e+02,3.854378300033134419e-01
5.261572490855274964e+02,2.986196727829102393e-01
6.191881395841677431e+02,2.304898745838524776e-01
7.286680034686390854e+02,1.772514458644459667e-01
8.575052158388401722e+02,1.358187895474727291e-01
1.009122387274500738e+03,1.037012417829522304e-01
1.187547286814372455e+03,7.890059624715471676e-02
1.397519841204907607e+03,5.982263897294442384e-02
1.644618052894993752e+03,4.520197552350371101e-02
1.935406181837204258e+03,3.403899137791167179e-02
2.277609127602607259e+03,2.554757344641227917e-02
2.680317644337799265e+03,1.911216597219661181e-02
3.154229840179136772e+03,1.425278077362879606e-02
3.711935376649944828e+03,1.059668769591218251e-02
4.368249917907965028e+03,7.855647371767526810e-03
5.140608714617297665e+03,5.807695923497102446e-03
6.049529778153139887e+03,4.282637629945859961e-03
7.119158949542063965e+03,3.150538690555516452e-03
8.377911343105693959e+03,2.312638052693626045e-03
9.859226205007516910e+03,1.694197436708486798e-03
1.160245523981321458e+04,1.238901944122595793e-03
1.365390800380427390e+04,9.044962500765320410e-04
1.606808213632475963e+04,6.594014830334137206e-04
