model,metric,mean,subject_sd,subject_sem,subject_min,subject_max,n_subjects,n_sites
AlexNet_training_seed_01,raw_energy,278.2695589441977,156.39706677940265,69.94289456006368,3.4765288574576476,382.1068575888759,5,25
clipag_vitb32,raw_energy,106.59778869354098,24.519855848857627,10.965612895308292,88.30478393395188,136.6959857219797,5,25
dinov2_vitb14_reg,raw_energy,9565027.04240717,13976711.34319379,6250575.333054741,75006.49793321773,31509653.261743035,5,25
radio_v2.5-b,raw_energy,64963.03628186688,44686.21913851179,19984.284730232892,13698.858497892168,120592.91546312897,5,25
regnety_640,raw_energy,114730.34950854661,44832.86251758977,20049.865643046614,65359.1323785218,153018.04446455266,5,25
resnet50,raw_energy,314562.9668283834,316927.2612159209,141734.18000032636,45324.20553546695,826812.4530169151,5,25
resnet50_clip,raw_energy,3667213.853987007,1469970.7188536543,657390.8904582006,2007458.5058206876,5757358.303156864,5,25
resnet50_dino,raw_energy,1317506.019074303,762040.076330128,340794.68245065893,442268.55643089244,1945326.14343167,5,25
resnet50_robust,raw_energy,1976.3507737126715,1030.3870791390325,460.8031104184664,788.8510270355239,2964.370277095171,5,25
siglip2_vitb16,raw_energy,5255404.6165734995,5143037.339975159,2300036.2206008304,43532.57226108323,11152756.76859471,5,25
AlexNet_training_seed_01,unregularized_trace,87846.64894753424,37900.24926473857,16949.506744028375,29889.098536823025,125435.3292391652,5,25
clipag_vitb32,unregularized_trace,144.075030813265,78.64571743205292,35.1714340634621,63.373468937849395,251.56395185256497,5,25
dinov2_vitb14_reg,unregularized_trace,17466.947130858433,1374.1800417292334,614.5519973260127,16180.074399865687,19628.693425504876,5,25
radio_v2.5-b,unregularized_trace,9679.360170331098,729.4927147268693,326.2390598440283,8607.794192546598,10340.69643388263,5,25
regnety_640,unregularized_trace,25957.170558121747,5208.8081087810915,2329.449802597328,20201.030829933952,31408.292562328556,5,25
resnet50,unregularized_trace,23784.225427963975,8390.928608323691,3752.537352511896,12738.801529043494,32320.098129228983,5,25
resnet50_clip,unregularized_trace,179053.56321977492,25169.5773273256,11256.177173767504,140998.2673858753,205480.4096910729,5,25
