model,subject,value,metric
AlexNet_training_seed_01,leap_250426-250501,3.4765288574576476,raw_energy
AlexNet_training_seed_01,paul_20250428-20250430,382.1068575888759,raw_energy
AlexNet_training_seed_01,red_20250428-20250430,321.978826733321,raw_energy
AlexNet_training_seed_01,three0_250426-250501,314.13991102840396,raw_energy
AlexNet_training_seed_01,venus_250426-250429,369.64567051292977,raw_energy
clipag_vitb32,leap_250426-250501,89.73351305558131,raw_energy
clipag_vitb32,paul_20250428-20250430,129.94987682224018,raw_energy
clipag_vitb32,red_20250428-20250430,136.6959857219797,raw_energy
clipag_vitb32,three0_250426-250501,88.30478393395188,raw_energy
clipag_vitb32,venus_250426-250429,88.30478393395188,raw_energy
dinov2_vitb14_reg,leap_250426-250501,75006.49793321773,raw_energy
dinov2_vitb14_reg,paul_20250428-20250430,15678474.003400343,raw_energy
dinov2_vitb14_reg,red_20250428-20250430,31509653.261743035,raw_energy
dinov2_vitb14_reg,three0_250426-250501,336709.5843122207,raw_energy
dinov2_vitb14_reg,venus_250426-250429,225291.8646470332,raw_energy
radio_v2.5-b,leap_250426-250501,13698.858497892168,raw_energy
radio_v2.5-b,paul_20250428-20250430,120592.91546312897,raw_energy
radio_v2.5-b,red_20250428-20250430,100201.58287710365,raw_energy
radio_v2.5-b,three0_250426-250501,56086.34011064343,raw_energy
radio_v2.5-b,venus_250426-250429,34235.48446056617,raw_energy
regnety_640,leap_250426-250501,153018.04446455266,raw_energy
regnety_640,paul_20250428-20250430,66214.52705701972,raw_energy
regnety_640,red_20250428-20250430,65359.1323785218,raw_energy
regnety_640,three0_250426-250501,146353.70108243317,raw_energy
regnety_640,venus_250426-250429,142706.34256020578,raw_energy
resnet50,leap_250426-250501,58355.05309120389,raw_energy
resnet50,paul_20250428-20250430,826812.4530169151,raw_energy
resnet50,red_20250428-20250430,345171.25685449847,raw_energy
resnet50,three0_250426-250501,297151.86564383266,raw_energy
resnet50,venus_250426-250429,45324.20553546695,raw_energy
resnet50_clip,leap_250426-250501,2007458.5058206876,raw_energy
resnet50_clip,paul_20250428-20250430,5757358.303156864,raw_energy
resnet50_clip,red_20250428-20250430,4328222.050410399,raw_energy
resnet50_clip,three0_250426-250501,3615103.1694865795,raw_energy
resnet50_clip,venus_250426-250429,2627927.241060504,raw_energy
resnet50_dino,leap_250426-250501,1799144.258422476,raw_energy
resnet50_dino,paul_20250428-20250430,442268.55643089244,raw_energy
resnet50_dino,red_20250428-20250430,528377.5336956801,raw_energy
resnet50_dino,three0_250426-250501,1945326.14343167,raw_energy
resnet50_dino,venus_250426-250429,1872413.6033907968,raw_energy
resnet50_robust,leap_250426-250501,788.8510270355239,raw_energy
