model,subject,metric,noise_255,energy,exact_energy,ratio
AlexNet_training_seed_01,leap_250426-250501,neighborhood,0.5,26274.768869235864,26408.172290642593,0.9949484038524696
AlexNet_training_seed_01,leap_250426-250501,neighborhood,2.0,26353.292538547845,26408.172290642593,0.9979218648117426
AlexNet_training_seed_01,leap_250426-250501,neighborhood,8.0,26880.37703575347,26408.172290642593,1.0178810081937475
AlexNet_training_seed_01,leap_250426-250501,neighborhood,16.0,27738.5826251107,26408.172290642593,1.0503787357877667
AlexNet_training_seed_01,leap_250426-250501,smooth,0.5,23602.867683836535,26408.172290642593,0.8937713456300009
AlexNet_training_seed_01,leap_250426-250501,smooth,2.0,18234.831863865285,26408.172290642593,0.6904995795686538
AlexNet_training_seed_01,leap_250426-250501,smooth,8.0,8490.677490747017,26408.172290642593,0.3215170439400527
AlexNet_training_seed_01,leap_250426-250501,smooth,16.0,4061.1838465156893,26408.172290642593,0.1537851162821563
AlexNet_training_seed_01,leap_250426-250501,step,0.5,25063.65392090921,26408.172290642593,0.9490870343113523
AlexNet_training_seed_01,leap_250426-250501,step,2.0,22837.761921348378,26408.172290642593,0.8647990353138015
AlexNet_training_seed_01,leap_250426-250501,step,8.0,18227.610523875523,26408.172290642593,0.6902261286114924
AlexNet_training_seed_01,leap_250426-250501,step,16.0,15401.76443326263,26408.172290642593,0.5832196285208292
AlexNet_training_seed_01,leap_250426-250501,variance,0.5,24467.92595318354,26408.172290642593,0.9265285641086736
AlexNet_training_seed_01,leap_250426-250501,variance,2.0,20633.44499940514,26408.172290642593,0.7813280212018437
AlexNet_training_seed_01,leap_250426-250501,variance,8.0,12740.643976970872,26408.172290642593,0.4824508048777522
AlexNet_training_seed_01,leap_250426-250501,variance,16.0,8303.778209819593,26408.172290642593,0.31443971655554265
AlexNet_training_seed_01,paul_20250428-20250430,neighborhood,0.5,30178.721726002786,30345.716696879048,0.9944969178831938
AlexNet_training_seed_01,paul_20250428-20250430,neighborhood,2.0,30283.27436109744,30345.716696879048,0.9979423014982529
