model,subject,noise_255,value,metric
AlexNet_training_seed_01,leap_250426-250501,0.5,3.178485312763078,raw_energy
AlexNet_training_seed_01,leap_250426-250501,2.0,2.608609573474678,raw_energy
AlexNet_training_seed_01,leap_250426-250501,8.0,1.4751294051039077,raw_energy
AlexNet_training_seed_01,leap_250426-250501,16.0,0.8558675966190704,raw_energy
AlexNet_training_seed_01,paul_20250428-20250430,0.5,360.787620023881,raw_energy
AlexNet_training_seed_01,paul_20250428-20250430,2.0,318.8053472611903,raw_energy
AlexNet_training_seed_01,paul_20250428-20250430,8.0,233.07806533386588,raw_energy
AlexNet_training_seed_01,paul_20250428-20250430,16.0,175.21589407720614,raw_energy
AlexNet_training_seed_01,red_20250428-20250430,0.5,298.4593125522463,raw_energy
AlexNet_training_seed_01,red_20250428-20250430,2.0,252.63625623955858,raw_energy
AlexNet_training_seed_01,red_20250428-20250430,8.0,159.11566546712768,raw_energy
AlexNet_training_seed_01,red_20250428-20250430,16.0,101.91200484802452,raw_energy
AlexNet_training_seed_01,three0_250426-250501,0.5,291.31500674609214,raw_energy
AlexNet_training_seed_01,three0_250426-250501,2.0,246.8748869411944,raw_energy
AlexNet_training_seed_01,three0_250426-250501,8.0,156.04767858893464,raw_energy
AlexNet_training_seed_01,three0_250426-250501,16.0,100.2358018121618,raw_energy
AlexNet_training_seed_01,venus_250426-250429,0.5,342.2253128772445,raw_energy
AlexNet_training_seed_01,venus_250426-250429,2.0,288.7816210735528,raw_energy
AlexNet_training_seed_01,venus_250426-250429,8.0,178.6672511165747,raw_energy
AlexNet_training_seed_01,venus_250426-250429,16.0,112.68700920740663,raw_energy
clipag_vitb32,leap_250426-250501,0.5,88.89785682201385,raw_energy
clipag_vitb32,leap_250426-250501,2.0,88.76683441203087,raw_energy
clipag_vitb32,leap_250426-250501,8.0,87.06888371493667,raw_energy
clipag_vitb32,leap_250426-250501,16.0,83.34541177887469,raw_energy
clipag_vitb32,paul_20250428-20250430,0.5,130.17236088581384,raw_energy
clipag_vitb32,paul_20250428-20250430,2.0,129.95432259865106,raw_energy
clipag_vitb32,paul_20250428-20250430,8.0,126.34399689164013,raw_energy
clipag_vitb32,paul_20250428-20250430,16.0,121.48379070717841,raw_energy
clipag_vitb32,red_20250428-20250430,0.5,137.00102964363992,raw_energy
clipag_vitb32,red_20250428-20250430,2.0,136.76872188735754,raw_energy
clipag_vitb32,red_20250428-20250430,8.0,132.92236486945302,raw_energy
clipag_vitb32,red_20250428-20250430,16.0,128.2056032235548,raw_energy
clipag_vitb32,three0_250426-250501,0.5,87.69938437528909,raw_energy
clipag_vitb32,three0_250426-250501,2.0,87.56700415983796,raw_energy
clipag_vitb32,three0_250426-250501,8.0,85.68701801422984,raw_energy
clipag_vitb32,three0_250426-250501,16.0,82.29177402503788,raw_energy
clipag_vitb32,venus_250426-250429,0.5,87.69938437528909,raw_energy
clipag_vitb32,venus_250426-250429,2.0,87.56700415983796,raw_energy
clipag_vitb32,venus_250426-250429,8.0,85.68701801422984,raw_energy
clipag_vitb32,venus_250426-250429,16.0,82.29177402503788,raw_energy
dinov2_vitb14_reg,leap_250426-250501,0.5,62241.20620769501,raw_energy
dinov2_vitb14_reg,leap_250426-250501,2.0,22234.086787843706,raw_energy
dinov2_vitb14_reg,leap_250426-250501,8.0,4048.10627717495,raw_energy
dinov2_vitb14_reg,leap_250426-250501,16.0,1511.4649574947357,raw_energy
dinov2_vitb14_reg,paul_20250428-20250430,0.5,11743320.564309798,raw_energy
dinov2_vitb14_reg,paul_20250428-20250430,2.0,3903633.9558505155,raw_energy
dinov2_vitb14_reg,paul_20250428-20250430,8.0,758419.6331527948,raw_energy
dinov2_vitb14_reg,paul_20250428-20250430,16.0,277193.6031175482,raw_energy
dinov2_vitb14_reg,red_20250428-20250430,0.5,23520888.66980957,raw_energy
dinov2_vitb14_reg,red_20250428-20250430,2.0,7760633.477922058,raw_energy
dinov2_vitb14_reg,red_20250428-20250430,8.0,1498167.600050316,raw_energy
dinov2_vitb14_reg,red_20250428-20250430,16.0,546461.3513478375,raw_energy
dinov2_vitb14_reg,three0_250426-250501,0.5,259049.87934625626,raw_energy
dinov2_vitb14_reg,three0_250426-250501,2.0,81457.30979172229,raw_energy
dinov2_vitb14_reg,three0_250426-250501,8.0,14030.465853488446,raw_energy
dinov2_vitb14_reg,three0_250426-250501,16.0,5122.378356991709,raw_energy
dinov2_vitb14_reg,venus_250426-250429,0.5,176767.00607891084,raw_energy
dinov2_vitb14_reg,venus_250426-250429,2.0,57369.6807265091,raw_energy
dinov2_vitb14_reg,venus_250426-250429,8.0,9931.266506919861,raw_energy
dinov2_vitb14_reg,venus_250426-250429,16.0,3623.043853497505,raw_energy
radio_v2.5-b,leap_250426-250501,0.5,12539.97982861042,raw_energy
radio_v2.5-b,leap_250426-250501,2.0,6590.757483608722,raw_energy
radio_v2.5-b,leap_250426-250501,8.0,1608.4255540949107,raw_energy
radio_v2.5-b,leap_250426-250501,16.0,638.7157305137813,raw_energy
radio_v2.5-b,paul_20250428-20250430,0.5,107446.53113035201,raw_energy
radio_v2.5-b,paul_20250428-20250430,2.0,54549.12635336876,raw_energy
radio_v2.5-b,paul_20250428-20250430,8.0,12583.556104118825,raw_energy
radio_v2.5-b,paul_20250428-20250430,16.0,5232.047313759923,raw_energy
radio_v2.5-b,red_20250428-20250430,0.5,89459.5777744484,raw_energy
radio_v2.5-b,red_20250428-20250430,2.0,45732.72782104492,raw_energy
radio_v2.5-b,red_20250428-20250430,8.0,10264.849666736125,raw_energy
radio_v2.5-b,red_20250428-20250430,16.0,4182.220339152813,raw_energy
radio_v2.5-b,three0_250426-250501,0.5,49909.94166497707,raw_energy
radio_v2.5-b,three0_250426-250501,2.0,25030.77593514681,raw_energy
radio_v2.5-b,three0_250426-250501,8.0,5909.667134137154,raw_energy
radio_v2.5-b,three0_250426-250501,16.0,2461.8888938999175,raw_energy
radio_v2.5-b,venus_250426-250429,0.5,30863.114217381477,raw_energy
radio_v2.5-b,venus_250426-250429,2.0,15951.283316721916,raw_energy
radio_v2.5-b,venus_250426-250429,8.0,3573.5222652053835,raw_energy
radio_v2.5-b,venus_250426-250429,16.0,1393.3213504260777,raw_energy
regnety_640,leap_250426-250501,0.5,81023.80243947983,raw_energy
regnety_640,leap_250426-250501,2.0,18494.82439922333,raw_energy
regnety_640,leap_250426-250501,8.0,2494.5429195405914,raw_energy
regnety_640,leap_250426-250501,16.0,840.5437257192284,raw_energy
regnety_640,paul_20250428-20250430,0.5,33550.74361761331,raw_energy
regnety_640,paul_20250428-20250430,2.0,7663.6989984291795,raw_energy
regnety_640,paul_20250428-20250430,8.0,1105.1159378644918,raw_energy
regnety_640,paul_20250428-20250430,16.0,395.2660877254955,raw_energy
regnety_640,red_20250428-20250430,0.5,32812.01655843973,raw_energy
regnety_640,red_20250428-20250430,2.0,7474.772062622905,raw_energy
regnety_640,red_20250428-20250430,8.0,1074.5388518584614,raw_energy
regnety_640,red_20250428-20250430,16.0,385.03132468123454,raw_energy
regnety_640,three0_250426-250501,0.5,77306.0242268753,raw_energy
regnety_640,three0_250426-250501,2.0,17615.398494621517,raw_energy
regnety_640,three0_250426-250501,8.0,2378.5636663091464,raw_energy
regnety_640,three0_250426-250501,16.0,801.4038626083592,raw_energy
regnety_640,venus_250426-250429,0.5,74277.77476194382,raw_energy
regnety_640,venus_250426-250429,2.0,16802.66932402134,raw_energy
regnety_640,venus_250426-250429,8.0,2326.1672352437954,raw_energy
regnety_640,venus_250426-250429,16.0,800.5875114281382,raw_energy
resnet50,leap_250426-250501,0.5,30806.207750349044,raw_energy
resnet50,leap_250426-250501,2.0,13164.231077692508,raw_energy
resnet50,leap_250426-250501,8.0,2773.535223998502,raw_energy
resnet50,leap_250426-250501,16.0,923.9354465537145,raw_energy
resnet50,paul_20250428-20250430,0.5,413006.54496833327,raw_energy
resnet50,paul_20250428-20250430,2.0,183948.48994464398,raw_energy
resnet50,paul_20250428-20250430,8.0,44684.50304782528,raw_energy
resnet50,paul_20250428-20250430,16.0,18703.676827703854,raw_energy
resnet50,red_20250428-20250430,0.5,152788.22640267372,raw_energy
resnet50,red_20250428-20250430,2.0,60810.08497182965,raw_energy
resnet50,red_20250428-20250430,8.0,12138.113228703458,raw_energy
resnet50,red_20250428-20250430,16.0,4061.0335933721485,raw_energy
resnet50,three0_250426-250501,0.5,133108.54558704852,raw_energy
resnet50,three0_250426-250501,2.0,53189.995403002504,raw_energy
resnet50,three0_250426-250501,8.0,10692.91359176062,raw_energy
resnet50,three0_250426-250501,16.0,3584.111014697477,raw_energy
resnet50,venus_250426-250429,0.5,23177.438429989816,raw_energy
resnet50,venus_250426-250429,2.0,9789.668044506312,raw_energy
resnet50,venus_250426-250429,8.0,2127.6396201148627,raw_energy
resnet50,venus_250426-250429,16.0,735.4258197519183,raw_energy
resnet50_clip,leap_250426-250501,0.5,698039.3962486268,raw_energy
resnet50_clip,leap_250426-250501,2.0,135282.28692212194,raw_energy
resnet50_clip,leap_250426-250501,8.0,16831.495929325054,raw_energy
resnet50_clip,leap_250426-250501,16.0,5405.646830524318,raw_energy
resnet50_clip,paul_20250428-20250430,0.5,1298178.6491361998,raw_energy
resnet50_clip,paul_20250428-20250430,2.0,203552.49153456092,raw_energy
resnet50_clip,paul_20250428-20250430,8.0,24975.063498874457,raw_energy
resnet50_clip,paul_20250428-20250430,16.0,7245.28853159681,raw_energy
resnet50_clip,red_20250428-20250430,0.5,1017527.008493042,raw_energy
resnet50_clip,red_20250428-20250430,2.0,157257.23705448388,raw_energy
resnet50_clip,red_20250428-20250430,8.0,20165.17944104422,raw_energy
resnet50_clip,red_20250428-20250430,16.0,5886.237689889111,raw_energy
resnet50_clip,three0_250426-250501,0.5,898579.5198855591,raw_energy
resnet50_clip,three0_250426-250501,2.0,132900.17784702807,raw_energy
resnet50_clip,three0_250426-250501,8.0,15718.907536046914,raw_energy
resnet50_clip,three0_250426-250501,16.0,4653.380594838075,raw_energy
resnet50_clip,venus_250426-250429,0.5,685217.2259414673,raw_energy
resnet50_clip,venus_250426-250429,2.0,100006.82525469392,raw_energy
resnet50_clip,venus_250426-250429,8.0,11415.319976056162,raw_energy
resnet50_clip,venus_250426-250429,16.0,3268.9972553641724,raw_energy
resnet50_dino,leap_250426-250501,0.5,757437.2456560517,raw_energy
resnet50_dino,leap_250426-250501,2.0,190552.57125856398,raw_energy
resnet50_dino,leap_250426-250501,8.0,28420.856509633064,raw_energy
resnet50_dino,leap_250426-250501,16.0,9341.945901083387,raw_energy
resnet50_dino,paul_20250428-20250430,0.5,200623.43255935668,raw_energy
resnet50_dino,paul_20250428-20250430,2.0,54954.98172006607,raw_energy
resnet50_dino,paul_20250428-20250430,8.0,8305.161648643501,raw_energy
resnet50_dino,paul_20250428-20250430,16.0,2821.3278497308493,raw_energy
resnet50_dino,red_20250428-20250430,0.5,239594.09821201325,raw_energy
resnet50_dino,red_20250428-20250430,2.0,65450.359732875826,raw_energy
resnet50_dino,red_20250428-20250430,8.0,9952.602350521012,raw_energy
resnet50_dino,red_20250428-20250430,16.0,3349.5812346265466,raw_energy
resnet50_dino,three0_250426-250501,0.5,813062.0818589783,raw_energy
resnet50_dino,three0_250426-250501,2.0,205985.0738615036,raw_energy
resnet50_dino,three0_250426-250501,8.0,31044.69114139676,raw_energy
resnet50_dino,three0_250426-250501,16.0,10284.163481480851,raw_energy
resnet50_dino,venus_250426-250429,0.5,766396.0874930954,raw_energy
resnet50_dino,venus_250426-250429,2.0,188725.10656097412,raw_energy
resnet50_dino,venus_250426-250429,8.0,27930.05876153227,raw_energy
resnet50_dino,venus_250426-250429,16.0,9219.934010636509,raw_energy
resnet50_robust,leap_250426-250501,0.5,765.8942664402723,raw_energy
resnet50_robust,leap_250426-250501,2.0,721.9470560119302,raw_energy
resnet50_robust,leap_250426-250501,8.0,553.4390665826202,raw_energy
resnet50_robust,leap_250426-250501,16.0,390.94089993961154,raw_energy
resnet50_robust,paul_20250428-20250430,0.5,2721.691262151599,raw_energy
resnet50_robust,paul_20250428-20250430,2.0,2585.3774717378615,raw_energy
resnet50_robust,paul_20250428-20250430,8.0,2014.7721162676812,raw_energy
resnet50_robust,paul_20250428-20250430,16.0,1471.2347852316498,raw_energy
resnet50_robust,red_20250428-20250430,0.5,2891.141381277442,raw_energy
resnet50_robust,red_20250428-20250430,2.0,2745.5489163076877,raw_energy
resnet50_robust,red_20250428-20250430,8.0,2136.6666077709197,raw_energy
resnet50_robust,red_20250428-20250430,16.0,1565.3009548255802,raw_energy
resnet50_robust,three0_250426-250501,0.5,2316.456395023465,raw_energy
resnet50_robust,three0_250426-250501,2.0,2196.01307638824,raw_energy
resnet50_robust,three0_250426-250501,8.0,1705.2732977598905,raw_energy
resnet50_robust,three0_250426-250501,16.0,1243.565145020783,raw_energy
resnet50_robust,venus_250426-250429,0.5,931.0892525486648,raw_energy
resnet50_robust,venus_250426-250429,2.0,878.380694636926,raw_energy
resnet50_robust,venus_250426-250429,8.0,672.7396176673471,raw_energy
resnet50_robust,venus_250426-250429,16.0,483.40956998409706,raw_energy
siglip2_vitb16,leap_250426-250501,0.5,36211.04004523754,raw_energy
siglip2_vitb16,leap_250426-250501,2.0,16321.21239593029,raw_energy
siglip2_vitb16,leap_250426-250501,8.0,3956.8407343578338,raw_energy
siglip2_vitb16,leap_250426-250501,16.0,1625.911411530599,raw_energy
siglip2_vitb16,paul_20250428-20250430,0.5,7344972.129356079,raw_energy
siglip2_vitb16,paul_20250428-20250430,2.0,4079839.93876791,raw_energy
siglip2_vitb16,paul_20250428-20250430,8.0,266853.58707814955,raw_energy
siglip2_vitb16,paul_20250428-20250430,16.0,61941.659941698796,raw_energy
siglip2_vitb16,red_20250428-20250430,0.5,8245061.858184433,raw_energy
siglip2_vitb16,red_20250428-20250430,2.0,4376694.171198788,raw_energy
siglip2_vitb16,red_20250428-20250430,8.0,363995.1157673394,raw_energy
siglip2_vitb16,red_20250428-20250430,16.0,94199.22871091656,raw_energy
siglip2_vitb16,three0_250426-250501,0.5,3759375.035771561,raw_energy
siglip2_vitb16,three0_250426-250501,2.0,1800193.3357058144,raw_energy
siglip2_vitb16,three0_250426-250501,8.0,227661.08000391998,raw_energy
siglip2_vitb16,three0_250426-250501,16.0,67137.67888086937,raw_energy
siglip2_vitb16,venus_250426-250429,0.5,137069.71613218306,raw_energy
siglip2_vitb16,venus_250426-250429,2.0,59147.6147339344,raw_energy
siglip2_vitb16,venus_250426-250429,8.0,24504.420513400288,raw_energy
siglip2_vitb16,venus_250426-250429,16.0,10604.102722415477,raw_energy
AlexNet_training_seed_01,leap_250426-250501,0.5,23602.867683836535,trace_df2_050
AlexNet_training_seed_01,leap_250426-250501,2.0,18234.831863865285,trace_df2_050
AlexNet_training_seed_01,leap_250426-250501,8.0,8490.677490747017,trace_df2_050
AlexNet_training_seed_01,leap_250426-250501,16.0,4061.1838465156893,trace_df2_050
AlexNet_training_seed_01,paul_20250428-20250430,0.5,27089.749306288002,trace_df2_050
AlexNet_training_seed_01,paul_20250428-20250430,2.0,20894.47117626946,trace_df2_050
AlexNet_training_seed_01,paul_20250428-20250430,8.0,9672.008546420338,trace_df2_050
AlexNet_training_seed_01,paul_20250428-20250430,16.0,4596.976613065643,trace_df2_050
AlexNet_training_seed_01,red_20250428-20250430,0.5,9831.323271570298,trace_df2_050
AlexNet_training_seed_01,red_20250428-20250430,2.0,7770.868222504109,trace_df2_050
AlexNet_training_seed_01,red_20250428-20250430,8.0,3880.681451777163,trace_df2_050
AlexNet_training_seed_01,red_20250428-20250430,16.0,1978.765681755178,trace_df2_050
AlexNet_training_seed_01,three0_250426-250501,0.5,32409.935957616493,trace_df2_050
AlexNet_training_seed_01,three0_250426-250501,2.0,24943.340801122984,trace_df2_050
AlexNet_training_seed_01,three0_250426-250501,8.0,11462.06861887246,trace_df2_050
AlexNet_training_seed_01,three0_250426-250501,16.0,5401.794808819893,trace_df2_050
AlexNet_training_seed_01,venus_250426-250429,0.5,18365.636948857526,trace_df2_050
AlexNet_training_seed_01,venus_250426-250429,2.0,14179.262267980841,trace_df2_050
AlexNet_training_seed_01,venus_250426-250429,8.0,6675.54321340173,trace_df2_050
AlexNet_training_seed_01,venus_250426-250429,16.0,3257.1071897279853,trace_df2_050
clipag_vitb32,leap_250426-250501,0.5,104.88456945456008,trace_df2_050
clipag_vitb32,leap_250426-250501,2.0,104.73401334929994,trace_df2_050
clipag_vitb32,leap_250426-250501,8.0,102.79526225505626,trace_df2_050
clipag_vitb32,leap_250426-250501,16.0,98.53461092657965,trace_df2_050
clipag_vitb32,paul_20250428-20250430,0.5,30.960944754440995,trace_df2_050
clipag_vitb32,paul_20250428-20250430,2.0,30.91096610384565,trace_df2_050
clipag_vitb32,paul_20250428-20250430,8.0,30.154817319946925,trace_df2_050
clipag_vitb32,paul_20250428-20250430,16.0,28.89835199981095,trace_df2_050
clipag_vitb32,red_20250428-20250430,0.5,28.281479913587155,trace_df2_050
clipag_vitb32,red_20250428-20250430,2.0,28.236015026755034,trace_df2_050
clipag_vitb32,red_20250428-20250430,8.0,27.540138957113076,trace_df2_050
clipag_vitb32,red_20250428-20250430,16.0,26.515952126238794,trace_df2_050
clipag_vitb32,three0_250426-250501,0.5,71.38642437762095,trace_df2_050
clipag_vitb32,three0_250426-250501,2.0,71.29020567989559,trace_df2_050
clipag_vitb32,three0_250426-250501,8.0,69.97847247938164,trace_df2_050
clipag_vitb32,three0_250426-250501,16.0,67.1751715418046,trace_df2_050
clipag_vitb32,venus_250426-250429,0.5,71.38642437762095,trace_df2_050
clipag_vitb32,venus_250426-250429,2.0,71.29020567989559,trace_df2_050
clipag_vitb32,venus_250426-250429,8.0,69.97847247938164,trace_df2_050
clipag_vitb32,venus_250426-250429,16.0,67.1751715418046,trace_df2_050
dinov2_vitb14_reg,leap_250426-250501,0.5,6229.581372641505,trace_df2_050
dinov2_vitb14_reg,leap_250426-250501,2.0,2237.7717941597684,trace_df2_050
dinov2_vitb14_reg,leap_250426-250501,8.0,410.8981377788511,trace_df2_050
dinov2_vitb14_reg,leap_250426-250501,16.0,153.7842390493747,trace_df2_050
dinov2_vitb14_reg,paul_20250428-20250430,0.5,6292.70168612057,trace_df2_050
dinov2_vitb14_reg,paul_20250428-20250430,2.0,1934.4538966350513,trace_df2_050
dinov2_vitb14_reg,paul_20250428-20250430,8.0,326.59576567008787,trace_df2_050
dinov2_vitb14_reg,paul_20250428-20250430,16.0,116.45183906314391,trace_df2_050
dinov2_vitb14_reg,red_20250428-20250430,0.5,6684.631275782421,trace_df2_050
dinov2_vitb14_reg,red_20250428-20250430,2.0,1977.6844940638953,trace_df2_050
dinov2_vitb14_reg,red_20250428-20250430,8.0,329.27994160843764,trace_df2_050
dinov2_vitb14_reg,red_20250428-20250430,16.0,116.89534008940059,trace_df2_050
