geometry_id,model,layer,representative_subject,representative_unit,representative_config,representative_cache,representative_xtransform,score_hash,split_hash,seed_hash,n_total,n_train,n_pcs,alias_count,site_keys
AlexNet_training_seed_01__.classifier.Conv2d0__c8a76de032,AlexNet_training_seed_01,.classifier.Conv2d0,leap_250426-250501,81,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch81_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit81_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch81_Xtfmer_.classifier.Conv2d0_pca750_RidgeCV_JITscript.pt,b329eb3173bb3535,7b6cbcd0c0a40cca,7be36c1d802686b3,969,774,750,1,leap_250426-250501:unit81
AlexNet_training_seed_01__.classifier.Conv2d3__01ba23216f,AlexNet_training_seed_01,.classifier.Conv2d3,leap_250426-250501,286,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch286_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit286_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch286_Xtfmer_.classifier.Conv2d3_pca750_RidgeCV_JITscript.pt,0627c4163cfe15b6,7b6cbcd0c0a40cca,7be36c1d802686b3,969,774,750,1,leap_250426-250501:unit286
AlexNet_training_seed_01__.classifier.Conv2d6__62eed7887c,AlexNet_training_seed_01,.classifier.Conv2d6,venus_250426-250429,355,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/venus_250426-250429/venus_250426-250429_AlexNet_training_seed_01_Ch355_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/venus_250426-250429/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_venus_250426-250429_unit355_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/venus_250426-250429/venus_250426-250429_AlexNet_training_seed_01_Ch355_Xtfmer_.classifier.Conv2d6_pca750_RidgeCV_JITscript.pt,9e0b45da7f99bbff,7b6cbcd0c0a40cca,7be36c1d802686b3,969,774,750,1,venus_250426-250429:unit355
AlexNet_training_seed_01__.classifier.ReLU1__7529efc757,AlexNet_training_seed_01,.classifier.ReLU1,leap_250426-250501,306,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch306_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit306_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch306_Xtfmer_.classifier.ReLU1_pca750_RidgeCV_JITscript.pt,9ce951a58fd04d61,7b6cbcd0c0a40cca,7be36c1d802686b3,969,774,750,1,leap_250426-250501:unit306
AlexNet_training_seed_01__.classifier.ReLU4__cae3b3f8a4,AlexNet_training_seed_01,.classifier.ReLU4,leap_250426-250501,282,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch282_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit282_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch282_Xtfmer_.classifier.ReLU4_pca750_RidgeCV_JITscript.pt,9ebe0631978a6f33,7b6cbcd0c0a40cca,7be36c1d802686b3,969,774,750,8,leap_250426-250501:unit282;paul_20250428-20250430:unit0;paul_20250428-20250430:unit40;paul_20250428-20250430:unit47;three0_250426-250501:unit56;three0_250426-250501:unit74;three0_250426-250501:unit120;three0_250426-250501:unit168
AlexNet_training_seed_01__.features.Conv2d3__284d428dfc,AlexNet_training_seed_01,.features.Conv2d3,paul_20250428-20250430,24,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/paul_20250428-20250430/paul_20250428-20250430_AlexNet_training_seed_01_Ch24_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/paul_20250428-20250430/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_paul_20250428-20250430_unit24_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/paul_20250428-20250430/paul_20250428-20250430_AlexNet_training_seed_01_Ch24_Xtfmer_.features.Conv2d3_pca750_RidgeCV_JITscript.pt,1828dcaf26b73c2d,7b6cbcd0c0a40cca,7be36c1d802686b3,969,774,750,1,paul_20250428-20250430:unit24
AlexNet_training_seed_01__.features.Conv2d8__cb25aef892,AlexNet_training_seed_01,.features.Conv2d8,venus_250426-250429,331,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/venus_250426-250429/venus_250426-250429_AlexNet_training_seed_01_Ch331_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/venus_250426-250429/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_venus_250426-250429_unit331_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/venus_250426-250429/venus_250426-250429_AlexNet_training_seed_01_Ch331_Xtfmer_.features.Conv2d8_pca750_RidgeCV_JITscript.pt,8d2d14c33f182c51,7b6cbcd0c0a40cca,7be36c1d802686b3,969,774,750,1,venus_250426-250429:unit331
AlexNet_training_seed_01__.features.MaxPool2d12__2c79becce3,AlexNet_training_seed_01,.features.MaxPool2d12,paul_20250428-20250430,8,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/paul_20250428-20250430/paul_20250428-20250430_AlexNet_training_seed_01_Ch8_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/paul_20250428-20250430/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_paul_20250428-20250430_unit8_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/paul_20250428-20250430/paul_20250428-20250430_AlexNet_training_seed_01_Ch08_Xtfmer_.features.MaxPool2d12_pca750_RidgeCV_JITscript.pt,8f843a1156591bed,7b6cbcd0c0a40cca,7be36c1d802686b3,969,774,750,4,paul_20250428-20250430:unit8;red_20250428-20250430:unit0;red_20250428-20250430:unit15;red_20250428-20250430:unit19
AlexNet_training_seed_01__.features.MaxPool2d5__58a88f90ea,AlexNet_training_seed_01,.features.MaxPool2d5,red_20250428-20250430,2,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/red_20250428-20250430/red_20250428-20250430_AlexNet_training_seed_01_Ch2_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/red_20250428-20250430/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_red_20250428-20250430_unit2_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/red_20250428-20250430/red_20250428-20250430_AlexNet_training_seed_01_Ch02_Xtfmer_.features.MaxPool2d5_pca750_RidgeCV_JITscript.pt,c56da27f74a5f1e0,7b6cbcd0c0a40cca,7be36c1d802686b3,969,774,750,2,red_20250428-20250430:unit2;three0_250426-250501:unit204
AlexNet_training_seed_01__.features.ReLU11__4ac23bb22a,AlexNet_training_seed_01,.features.ReLU11,leap_250426-250501,342,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch342_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit342_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch342_Xtfmer_.features.ReLU11_pca750_RidgeCV_JITscript.pt,fa2bc0ed331e1510,7b6cbcd0c0a40cca,7be36c1d802686b3,969,774,750,2,leap_250426-250501:unit342;red_20250428-20250430:unit9
