geometry_id,model,layer,fd_error,fd_quality,cache_relative_l2,cache_p99_sd_error,cache_max_sd_error,alias_count,seed_archives,max_variance_identity_error,max_step_identity_error,max_variance_identity_relative,max_step_identity_relative
AlexNet_training_seed_01__.classifier.Conv2d0__c8a76de032,AlexNet_training_seed_01,.classifier.Conv2d0,0.040185459329711654,pass,0.0003333755057501367,,0.006179234509437719,1,10,1.1920928955078125e-07,1.1920928955078125e-07,5.9604531088552903e-08,5.9604346347441606e-08
AlexNet_training_seed_01__.classifier.Conv2d3__01ba23216f,AlexNet_training_seed_01,.classifier.Conv2d3,0.038130508551557654,pass,0.0003375760939103581,,0.008197389166982335,1,10,1.4901161193847656e-08,1.4901161193847656e-08,5.9604346347441606e-08,5.960463056453591e-08
AlexNet_training_seed_01__.classifier.Conv2d6__62eed7887c,AlexNet_training_seed_01,.classifier.Conv2d6,0.034181014843642436,pass,0.002116188629945755,0.03220448760213086,0.07024208372408142,1,10,1.862645149230957e-09,1.862645149230957e-09,5.960457372111705e-08,5.960451687769819e-08
AlexNet_training_seed_01__.classifier.ReLU1__7529efc757,AlexNet_training_seed_01,.classifier.ReLU1,0.03668977618386715,pass,0.0011588769473813204,0.006780518836635958,0.012593793865905404,1,10,2.384185791015625e-07,2.384185791015625e-07,5.960463056453591e-08,5.960447424513404e-08
AlexNet_training_seed_01__.classifier.ReLU4__cae3b3f8a4,AlexNet_training_seed_01,.classifier.ReLU4,0.03313982118403374,pass,0.0015314676766719677,0.00980775968872372,0.012061137105746316,8,10,2.9802322387695312e-08,2.9802322387695312e-08,5.960394844350958e-08,5.960446003427933e-08
AlexNet_training_seed_01__.features.Conv2d3__284d428dfc,AlexNet_training_seed_01,.features.Conv2d3,0.05578738001084966,pass,5.759020764064905e-05,0.0005444531071908882,0.0009320463180517923,1,10,0.0009765625,0.0009765625,5.960454529940762e-08,5.9604346347441606e-08
AlexNet_training_seed_01__.features.Conv2d8__cb25aef892,AlexNet_training_seed_01,.features.Conv2d8,0.041020422429548835,pass,0.00013534230112481691,0.0016355331563006053,0.002068414197734359,1,10,3.0517578125e-05,3.0517578125e-05,5.9604289504022745e-08,5.960463056453591e-08
AlexNet_training_seed_01__.features.MaxPool2d12__2c79becce3,AlexNet_training_seed_01,.features.MaxPool2d12,0.029964246970979876,pass,0.000843960606584737,0.004167322386077576,0.005854905197604973,4,10,1.9073486328125e-06,1.9073486328125e-06,5.960419002803974e-08,5.960454529940762e-08
AlexNet_training_seed_01__.features.MaxPool2d5__58a88f90ea,AlexNet_training_seed_01,.features.MaxPool2d5,0.03933540867029027,pass,0.00014259800795762048,0.0008755452298953733,0.0012434763851481227,2,10,0.0009765625,0.0009765625,5.9604374769151036e-08,5.9604531088552903e-08
AlexNet_training_seed_01__.features.ReLU11__4ac23bb22a,AlexNet_training_seed_01,.features.ReLU11,0.0291110386128088,pass,0.00048582720601236703,0.0018091165269913585,0.0022539759573803513,2,10,7.62939453125e-06,7.62939453125e-06,5.960427529316803e-08,5.9604531088552903e-08
AlexNet_training_seed_01__.features.ReLU7__e1a249c099,AlexNet_training_seed_01,.features.ReLU7,0.038342648990108745,pass,0.0002392755345629095,0.0011830031107328053,0.0016738481051193454,3,10,0.000244140625,0.000244140625,5.960464477539063e-08,5.960457372111705e-08
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock3__cf2779a9b2,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock3,0.0007546750161840844,pass,5.381762506972646e-05,,0.00018497609488393645,1,10,6.103515625e-05,6.103515625e-05,5.960460214282648e-08,5.9604616353681195e-08
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock4__27100964f3,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock4,0.0008938735096539765,pass,4.5240759094344065e-05,,0.00016857388737509123,3,10,6.103515625e-05,6.103515625e-05,5.9604587931971764e-08,5.9604587931971764e-08
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock5__04d09ff54c,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock5,0.0010131680698150839,pass,4.128893145377688e-05,,0.00019160572284677237,4,10,6.103515625e-05,6.103515625e-05,5.9604587931971764e-08,5.96042468714586e-08
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock6__19cafa0e72,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock6,0.0010567582469898171,pass,3.473861703233689e-05,,8.556606829061334e-05,7,10,6.103515625e-05,6.103515625e-05,5.960433213658689e-08,5.960433213658689e-08
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock7__1d34838b86,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock7,0.0014826483141173893,pass,2.690975221161385e-05,,8.442758413398815e-05,1,10,0.0001220703125,0.0001220703125,5.960464477539063e-08,5.960464477539063e-08
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock8__a5217d79b5,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock8,0.0023011169943500066,pass,2.6286583002889457e-05,,6.018485218645978e-05,7,10,0.0001220703125,0.0001220703125,5.960451687769819e-08,5.9604374769151036e-08
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock9__1f6592ce9a,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock9,0.002713440407402772,pass,2.8624452533855185e-05,,5.149865258404922e-05,2,10,0.000244140625,0.000244140625,5.96044316125699e-08,5.960464477539063e-08
dinov2_vitb14_reg__.blocks.NestedTensorBlock10__af4119c32e,dinov2_vitb14_reg,.blocks.NestedTensorBlock10,0.0019440903517512086,pass,0.0004696829033524366,,0.0007338563273517325,1,10,0.25,0.25,5.960447424513404e-08,5.960447424513404e-08
dinov2_vitb14_reg__.blocks.NestedTensorBlock11__c5a93709b9,dinov2_vitb14_reg,.blocks.NestedTensorBlock11,0.001891702363031651,pass,0.0001698765897780352,,0.0005289746400130854,3,10,2.0,2.0,5.960463056453591e-08,5.960463056453591e-08
dinov2_vitb14_reg__.blocks.NestedTensorBlock3__8a7507e2d4,dinov2_vitb14_reg,.blocks.NestedTensorBlock3,0.0008834745695046083,pass,0.000232035958473851,,0.000488965673150455,1,10,0.0078125,0.0078125,5.960430371487746e-08,5.9604175817185023e-08
dinov2_vitb14_reg__.blocks.NestedTensorBlock4__be0babf541,dinov2_vitb14_reg,.blocks.NestedTensorBlock4,0.0007666145052071611,pass,0.0002649781683991731,,0.0004205037421749362,4,10,0.0078125,0.0078125,5.960430371487746e-08,5.960411897376616e-08
dinov2_vitb14_reg__.blocks.NestedTensorBlock5__a606b55b61,dinov2_vitb14_reg,.blocks.NestedTensorBlock5,0.000756871674714506,pass,0.00028981639853413265,,0.00042440859683065936,7,10,0.0078125,0.0078125,5.9603962654364295e-08,5.960463056453591e-08
dinov2_vitb14_reg__.blocks.NestedTensorBlock6__9baac9e265,dinov2_vitb14_reg,.blocks.NestedTensorBlock6,0.0007616794988098965,pass,0.00031193640347858856,,0.0004519490166527783,1,10,0.015625,0.015625,5.960460214282648e-08,5.9604616353681195e-08
