geometry_id,model,layer,state,seed_archives,done_json
AlexNet_training_seed_01__.classifier.Conv2d0__c8a76de032,AlexNet_training_seed_01,.classifier.Conv2d0,complete,10,True
AlexNet_training_seed_01__.classifier.Conv2d3__01ba23216f,AlexNet_training_seed_01,.classifier.Conv2d3,complete,10,True
AlexNet_training_seed_01__.classifier.Conv2d6__62eed7887c,AlexNet_training_seed_01,.classifier.Conv2d6,complete,10,True
AlexNet_training_seed_01__.classifier.ReLU1__7529efc757,AlexNet_training_seed_01,.classifier.ReLU1,complete,10,True
AlexNet_training_seed_01__.classifier.ReLU4__cae3b3f8a4,AlexNet_training_seed_01,.classifier.ReLU4,complete,10,True
AlexNet_training_seed_01__.features.Conv2d3__284d428dfc,AlexNet_training_seed_01,.features.Conv2d3,complete,10,True
AlexNet_training_seed_01__.features.Conv2d8__cb25aef892,AlexNet_training_seed_01,.features.Conv2d8,complete,10,True
AlexNet_training_seed_01__.features.MaxPool2d12__2c79becce3,AlexNet_training_seed_01,.features.MaxPool2d12,complete,10,True
AlexNet_training_seed_01__.features.MaxPool2d5__58a88f90ea,AlexNet_training_seed_01,.features.MaxPool2d5,complete,10,True
AlexNet_training_seed_01__.features.ReLU11__4ac23bb22a,AlexNet_training_seed_01,.features.ReLU11,complete,10,True
AlexNet_training_seed_01__.features.ReLU7__e1a249c099,AlexNet_training_seed_01,.features.ReLU7,complete,10,True
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock3__cf2779a9b2,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock3,complete,10,True
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock4__27100964f3,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock4,complete,10,True
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock5__04d09ff54c,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock5,complete,10,True
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock6__19cafa0e72,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock6,complete,10,True
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock7__1d34838b86,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock7,complete,10,True
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock8__a5217d79b5,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock8,complete,10,True
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock9__1f6592ce9a,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock9,complete,10,True
dinov2_vitb14_reg__.blocks.NestedTensorBlock10__af4119c32e,dinov2_vitb14_reg,.blocks.NestedTensorBlock10,complete,10,True
dinov2_vitb14_reg__.blocks.NestedTensorBlock11__c5a93709b9,dinov2_vitb14_reg,.blocks.NestedTensorBlock11,complete,10,True
dinov2_vitb14_reg__.blocks.NestedTensorBlock3__8a7507e2d4,dinov2_vitb14_reg,.blocks.NestedTensorBlock3,complete,10,True
dinov2_vitb14_reg__.blocks.NestedTensorBlock4__be0babf541,dinov2_vitb14_reg,.blocks.NestedTensorBlock4,complete,10,True
dinov2_vitb14_reg__.blocks.NestedTensorBlock5__a606b55b61,dinov2_vitb14_reg,.blocks.NestedTensorBlock5,complete,10,True
dinov2_vitb14_reg__.blocks.NestedTensorBlock6__9baac9e265,dinov2_vitb14_reg,.blocks.NestedTensorBlock6,complete,10,True
dinov2_vitb14_reg__.blocks.NestedTensorBlock7__7cad87db8b,dinov2_vitb14_reg,.blocks.NestedTensorBlock7,complete,10,True
dinov2_vitb14_reg__.blocks.NestedTensorBlock8__e3621f7acb,dinov2_vitb14_reg,.blocks.NestedTensorBlock8,complete,10,True
dinov2_vitb14_reg__.blocks.NestedTensorBlock9__d45a968c54,dinov2_vitb14_reg,.blocks.NestedTensorBlock9,complete,10,True
radio_v2.5-b__.model.blocks.Block10__2a39fcd583,radio_v2.5-b,.model.blocks.Block10,complete,10,True
radio_v2.5-b__.model.blocks.Block11__5129994521,radio_v2.5-b,.model.blocks.Block11,complete,10,True
radio_v2.5-b__.model.blocks.Block2__a987243f1d,radio_v2.5-b,.model.blocks.Block2,complete,10,True
radio_v2.5-b__.model.blocks.Block3__b2160b13a5,radio_v2.5-b,.model.blocks.Block3,complete,10,True
radio_v2.5-b__.model.blocks.Block4__fc63cb6d0a,radio_v2.5-b,.model.blocks.Block4,complete,10,True
radio_v2.5-b__.model.blocks.Block5__9fe153bdbd,radio_v2.5-b,.model.blocks.Block5,complete,10,True
radio_v2.5-b__.model.blocks.Block6__acc444f483,radio_v2.5-b,.model.blocks.Block6,complete,10,True
radio_v2.5-b__.model.blocks.Block7__17d2e7ce44,radio_v2.5-b,.model.blocks.Block7,complete,10,True
regnety_640__.s3.Bottleneckb11__c1599550b0,regnety_640,.s3.Bottleneckb11,complete,10,True
regnety_640__.s3.Bottleneckb1__b8e9169f5d,regnety_640,.s3.Bottleneckb1,complete,10,True
regnety_640__.s3.Bottleneckb3__dec3b30327,regnety_640,.s3.Bottleneckb3,complete,10,True
regnety_640__.s3.Bottleneckb4__a67179bc31,regnety_640,.s3.Bottleneckb4,complete,10,True
regnety_640__.s3.Bottleneckb5__00b2e5825d,regnety_640,.s3.Bottleneckb5,complete,10,True
regnety_640__.s3.Bottleneckb7__f6f3d2fd33,regnety_640,.s3.Bottleneckb7,complete,10,True
regnety_640__.s3.Bottleneckb8__3e2eb8be42,regnety_640,.s3.Bottleneckb8,complete,10,True
regnety_640__.s3.Bottleneckb9__b30282c9d3,regnety_640,.s3.Bottleneckb9,complete,10,True
regnety_640__.s4.Bottleneckb1__7688202083,regnety_640,.s4.Bottleneckb1,complete,10,True
resnet50__.layer3.Bottleneck0__0088b97a86,resnet50,.layer3.Bottleneck0,complete,10,True
resnet50__.layer3.Bottleneck1__3b0fa710da,resnet50,.layer3.Bottleneck1,complete,10,True
resnet50__.layer3.Bottleneck2__8aca2b9a9a,resnet50,.layer3.Bottleneck2,complete,10,True
resnet50__.layer3.Bottleneck3__cabefbe255,resnet50,.layer3.Bottleneck3,complete,10,True
resnet50__.layer3.Bottleneck4__fe851e4e44,resnet50,.layer3.Bottleneck4,complete,10,True
resnet50__.layer3.Bottleneck5__9270a61b14,resnet50,.layer3.Bottleneck5,complete,10,True
resnet50__.layer4.Bottleneck0__0e6bada263,resnet50,.layer4.Bottleneck0,complete,10,True
resnet50__.layer4.Bottleneck1__d983f3b75e,resnet50,.layer4.Bottleneck1,complete,10,True
resnet50__.layer4.Bottleneck2__9e38c71090,resnet50,.layer4.Bottleneck2,complete,10,True
resnet50_clip__.layer2.Bottleneck1__945c5fe34c,resnet50_clip,.layer2.Bottleneck1,complete,10,True
resnet50_clip__.layer3.Bottleneck0__3af83ac7d7,resnet50_clip,.layer3.Bottleneck0,complete,10,True
