geometry_id,subject,unit,model,layer,score_hash,split_hash,seed_hash,n_total,n_pcs,n_train,config_path,cache_path,xtransform_path,readout_path
AlexNet_training_seed_01__.classifier.ReLU4__cae3b3f8a4,leap_250426-250501,282,AlexNet_training_seed_01,.classifier.ReLU4,9ebe0631978a6f33,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch282_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit282_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch282_Xtfmer_.classifier.ReLU4_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch282_readout_.classifier.ReLU4_pca750_RidgeCV.pth
AlexNet_training_seed_01__.classifier.Conv2d3__01ba23216f,leap_250426-250501,286,AlexNet_training_seed_01,.classifier.Conv2d3,0627c4163cfe15b6,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch286_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit286_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch286_Xtfmer_.classifier.Conv2d3_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch286_readout_.classifier.Conv2d3_pca750_RidgeCV.pth
AlexNet_training_seed_01__.classifier.ReLU1__7529efc757,leap_250426-250501,306,AlexNet_training_seed_01,.classifier.ReLU1,9ce951a58fd04d61,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch306_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit306_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch306_Xtfmer_.classifier.ReLU1_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch306_readout_.classifier.ReLU1_pca750_RidgeCV.pth
AlexNet_training_seed_01__.features.ReLU11__4ac23bb22a,leap_250426-250501,342,AlexNet_training_seed_01,.features.ReLU11,fa2bc0ed331e1510,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch342_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit342_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch342_Xtfmer_.features.ReLU11_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch342_readout_.features.ReLU11_pca750_RidgeCV.pth
AlexNet_training_seed_01__.classifier.Conv2d0__c8a76de032,leap_250426-250501,81,AlexNet_training_seed_01,.classifier.Conv2d0,b329eb3173bb3535,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch81_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit81_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch81_Xtfmer_.classifier.Conv2d0_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_AlexNet_training_seed_01_Ch81_readout_.classifier.Conv2d0_pca750_RidgeCV.pth
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock5__04d09ff54c,leap_250426-250501,282,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock5,353bc06eb7de1e1a,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_clipag_vitb32_Ch282_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit282_clipag_vitb32.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_clipag_vitb32_Ch282_Xtfmer_.transformer.resblocks.ResidualAttentionBlock5_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_clipag_vitb32_Ch282_readout_.transformer.resblocks.ResidualAttentionBlock5_pca750_RidgeCV.pth
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock3__cf2779a9b2,leap_250426-250501,286,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock3,f2e71685a864040a,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_clipag_vitb32_Ch286_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit286_clipag_vitb32.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_clipag_vitb32_Ch286_Xtfmer_.transformer.resblocks.ResidualAttentionBlock3_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_clipag_vitb32_Ch286_readout_.transformer.resblocks.ResidualAttentionBlock3_pca750_RidgeCV.pth
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock4__27100964f3,leap_250426-250501,306,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock4,3a483a5b5ab6fa1a,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_clipag_vitb32_Ch306_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit306_clipag_vitb32.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_clipag_vitb32_Ch306_Xtfmer_.transformer.resblocks.ResidualAttentionBlock4_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_clipag_vitb32_Ch306_readout_.transformer.resblocks.ResidualAttentionBlock4_pca750_RidgeCV.pth
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock5__04d09ff54c,leap_250426-250501,342,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock5,353bc06eb7de1e1a,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_clipag_vitb32_Ch342_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit342_clipag_vitb32.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_clipag_vitb32_Ch342_Xtfmer_.transformer.resblocks.ResidualAttentionBlock5_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_clipag_vitb32_Ch342_readout_.transformer.resblocks.ResidualAttentionBlock5_pca750_RidgeCV.pth
clipag_vitb32__.transformer.resblocks.ResidualAttentionBlock6__19cafa0e72,leap_250426-250501,81,clipag_vitb32,.transformer.resblocks.ResidualAttentionBlock6,61e6e2e2aade3b01,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_clipag_vitb32_Ch81_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit81_clipag_vitb32.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_clipag_vitb32_Ch81_Xtfmer_.transformer.resblocks.ResidualAttentionBlock6_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_clipag_vitb32_Ch81_readout_.transformer.resblocks.ResidualAttentionBlock6_pca750_RidgeCV.pth
dinov2_vitb14_reg__.blocks.NestedTensorBlock4__be0babf541,leap_250426-250501,282,dinov2_vitb14_reg,.blocks.NestedTensorBlock4,96a38399851f7335,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_dinov2_vitb14_reg_Ch282_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit282_dinov2_vitb14_reg.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_dinov2_vitb14_reg_Ch282_Xtfmer_.blocks.NestedTensorBlock4_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_dinov2_vitb14_reg_Ch282_readout_.blocks.NestedTensorBlock4_pca750_RidgeCV.pth
dinov2_vitb14_reg__.blocks.NestedTensorBlock4__be0babf541,leap_250426-250501,286,dinov2_vitb14_reg,.blocks.NestedTensorBlock4,96a38399851f7335,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_dinov2_vitb14_reg_Ch286_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit286_dinov2_vitb14_reg.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_dinov2_vitb14_reg_Ch286_Xtfmer_.blocks.NestedTensorBlock4_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_dinov2_vitb14_reg_Ch286_readout_.blocks.NestedTensorBlock4_pca750_RidgeCV.pth
dinov2_vitb14_reg__.blocks.NestedTensorBlock5__a606b55b61,leap_250426-250501,306,dinov2_vitb14_reg,.blocks.NestedTensorBlock5,e1be4b79aa24b22f,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_dinov2_vitb14_reg_Ch306_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit306_dinov2_vitb14_reg.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_dinov2_vitb14_reg_Ch306_Xtfmer_.blocks.NestedTensorBlock5_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_dinov2_vitb14_reg_Ch306_readout_.blocks.NestedTensorBlock5_pca750_RidgeCV.pth
dinov2_vitb14_reg__.blocks.NestedTensorBlock4__be0babf541,leap_250426-250501,342,dinov2_vitb14_reg,.blocks.NestedTensorBlock4,96a38399851f7335,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_dinov2_vitb14_reg_Ch342_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit342_dinov2_vitb14_reg.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_dinov2_vitb14_reg_Ch342_Xtfmer_.blocks.NestedTensorBlock4_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_dinov2_vitb14_reg_Ch342_readout_.blocks.NestedTensorBlock4_pca750_RidgeCV.pth
dinov2_vitb14_reg__.blocks.NestedTensorBlock5__a606b55b61,leap_250426-250501,81,dinov2_vitb14_reg,.blocks.NestedTensorBlock5,e1be4b79aa24b22f,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_dinov2_vitb14_reg_Ch81_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit81_dinov2_vitb14_reg.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_dinov2_vitb14_reg_Ch81_Xtfmer_.blocks.NestedTensorBlock5_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_dinov2_vitb14_reg_Ch81_readout_.blocks.NestedTensorBlock5_pca750_RidgeCV.pth
radio_v2.5-b__.model.blocks.Block3__b2160b13a5,leap_250426-250501,282,radio_v2.5-b,.model.blocks.Block3,65789172f551c078,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_radio_v2.5-b_Ch282_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit282_radio_v2.5-b.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_radio_v2.5-b_Ch282_Xtfmer_.model.blocks.Block3_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_radio_v2.5-b_Ch282_readout_.model.blocks.Block3_pca750_RidgeCV.pth
radio_v2.5-b__.model.blocks.Block3__b2160b13a5,leap_250426-250501,286,radio_v2.5-b,.model.blocks.Block3,65789172f551c078,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_radio_v2.5-b_Ch286_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit286_radio_v2.5-b.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_radio_v2.5-b_Ch286_Xtfmer_.model.blocks.Block3_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_radio_v2.5-b_Ch286_readout_.model.blocks.Block3_pca750_RidgeCV.pth
radio_v2.5-b__.model.blocks.Block5__9fe153bdbd,leap_250426-250501,306,radio_v2.5-b,.model.blocks.Block5,470e43e9ba864539,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_radio_v2.5-b_Ch306_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit306_radio_v2.5-b.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_radio_v2.5-b_Ch306_Xtfmer_.model.blocks.Block5_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_radio_v2.5-b_Ch306_readout_.model.blocks.Block5_pca750_RidgeCV.pth
radio_v2.5-b__.model.blocks.Block5__9fe153bdbd,leap_250426-250501,342,radio_v2.5-b,.model.blocks.Block5,470e43e9ba864539,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_radio_v2.5-b_Ch342_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit342_radio_v2.5-b.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_radio_v2.5-b_Ch342_Xtfmer_.model.blocks.Block5_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_radio_v2.5-b_Ch342_readout_.model.blocks.Block5_pca750_RidgeCV.pth
radio_v2.5-b__.model.blocks.Block5__9fe153bdbd,leap_250426-250501,81,radio_v2.5-b,.model.blocks.Block5,470e43e9ba864539,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_radio_v2.5-b_Ch81_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit81_radio_v2.5-b.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_radio_v2.5-b_Ch81_Xtfmer_.model.blocks.Block5_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_radio_v2.5-b_Ch81_readout_.model.blocks.Block5_pca750_RidgeCV.pth
regnety_640__.s3.Bottleneckb5__00b2e5825d,leap_250426-250501,282,regnety_640,.s3.Bottleneckb5,39bd4ab5535c5ce3,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_regnety_640_Ch282_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit282_regnety_640.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_regnety_640_Ch282_Xtfmer_.s3.Bottleneckb5_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_regnety_640_Ch282_readout_.s3.Bottleneckb5_pca750_RidgeCV.pth
regnety_640__.s3.Bottleneckb5__00b2e5825d,leap_250426-250501,286,regnety_640,.s3.Bottleneckb5,39bd4ab5535c5ce3,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_regnety_640_Ch286_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit286_regnety_640.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_regnety_640_Ch286_Xtfmer_.s3.Bottleneckb5_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_regnety_640_Ch286_readout_.s3.Bottleneckb5_pca750_RidgeCV.pth
regnety_640__.s3.Bottleneckb4__a67179bc31,leap_250426-250501,306,regnety_640,.s3.Bottleneckb4,905bc4201c5a359c,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/leap_250426-250501/leap_250426-250501_regnety_640_Ch306_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/leap_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_leap_250426-250501_unit306_regnety_640.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_regnety_640_Ch306_Xtfmer_.s3.Bottleneckb4_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/leap_250426-250501/leap_250426-250501_regnety_640_Ch306_readout_.s3.Bottleneckb4_pca750_RidgeCV.pth
