kappa,trace_over_evaluated_pcs_only
1.606808213632476010e-03,1.083420704575754678e+00
1.890911111073424440e-03,1.083358099625624682e+00
2.225246796503349989e-03,1.083284436145559138e+00
2.618697027242831814e-03,1.083197762997873514e+00
3.081713961465364603e-03,1.083095785652326004e+00
3.626597823838247688e-03,1.082975806081332149e+00
4.267823665767607293e-03,1.082834652262149699e+00
5.022425900760267223e-03,1.082668595537947365e+00
5.910450830233799496e-03,1.082473253814656644e+00
6.955489181298492307e-03,1.082243478259711900e+00
8.185302803584391940e-03,1.081973220820742432e+00
9.632562173557809512e-03,1.081655379496885949e+00
1.133571429841607851e-02,1.081281617875003542e+00
1.334000407576435565e-02,1.080842154993624238e+00
1.569867624189108871e-02,1.080325521130109490e+00
1.847438983886477704e-02,1.079718274640249387e+00
2.174088277631975458e-02,1.079004674543879494e+00
2.558493070766128252e-02,1.078166303189829200e+00
3.010865225899702138e-02,1.077181633113510895e+00
3.543222185009670816e-02,1.076025532213009228e+00
4.169706217452232716e-02,1.074668701742538923e+00
4.906960114840314136e-02,1.073077042529339220e+00
5.774569313265894704e-02,1.071210946492241245e+00
6.795582188015665548e-02,1.069024513276628952e+00
7.997122342611209800e-02,1.066464695998999623e+00
9.411109157869847197e-02,1.063470386175264792e+00
1.107510574265170994e-01,1.059971456426657799e+00
1.303331681243402318e-01,1.055887791100680317e+00
1.533776300474437304e-01,1.051128350084878926e+00
1.804966282759852270e-01,1.045590330277689439e+00
2.124105895293962321e-01,1.039158512555824032e+00
2.499673205819579469e-01,1.031704909203875475e+00
2.941645305789989950e-01,1.023088856255732537e+00
3.461763355677964227e-01,1.013157724230485002e+00
4.073844493463319449e-01,1.001748444625045975e+00
4.794148892269133877e-01,9.886900613059089737e-01
5.641811718175326895e-01,9.738075064739002418e-01
6.639351463336556902e-01,9.569267596039511270e-01
7.813268158471261549e-01,9.378814646985771386e-01
9.194747356468766508e-01,9.165209503337512498e-01
1.082048858871255570e+00,8.927194209541896575e-01
1.273368030238343662e+00,8.663858827618604597e-01
1.498514717833094201e+00,8.374741654962460924e-01
1.763470030845743608e+00,8.059922480412329282e-01
2.075272610060187706e+00,7.720100395903817248e-01
2.442205612079803245e+00,7.356648421232223622e-01
2.874016754599345358e+00,6.971639215176281823e-01
3.382177268310951668e+00,6.567838941777550676e-01
3.980186634602278950e+00,6.148669073024666254e-01
4.683931204521996072e+00,5.718137664669831199e-01
5.512106225864742193e+00,5.280742043695311194e-01
6.486712489689001160e+00,4.841344317758550231e-01
7.633640789875399513e+00,4.405020818193989829e-01
8.983359722120717095e+00,3.976887830757910303e-01
1.057172509401480198e+01,3.561909397882006556e-01
1.244093244849363344e+01,3.164698001241464387e-01
1.464063800482371036e+01,2.789323801256914925e-01
1.722927779535064019e+01,2.439150659757992612e-01
2.027562004139156571e+01,2.116715880131557759e-01
2.386059200774015565e+01,1.823665351102886634e-01
2.807942986688362552e+01,1.560747955141016385e-01
3.304420868490894492e+01,1.327864951056402787e-01
3.888681973915725365e+01,1.124163707912875371e-01
4.576247426122541384e+01,9.481618709430988945e-02
5.385382668360907132e+01,7.978877759153650551e-02
6.337582692563404407e+01,6.710247661117188511e-02
7.458143062153783376e+01,5.650497783870368773e-02
8.776831898512736529e+01,4.773592118133860446e-02
1.032868068268255257e+02,4.053772851047025144e-02
1.215491488026531499e+02,3.466438918808133207e-02
1.430404911192621853e+02,2.988806029810671394e-02
1.683317596313200966e+02,2.600350714130408511e-02
1.980948267085527448e+02,2.283056030954793564e-02
2.331203597861647836e+02,2.021488709746046414e-02
2.743388257523054676e+02,1.802744795221595045e-02
3.228452091622955891e+02,1.616302450320006301e-02
3.799281009285667210e+02,1.453816953166565430e-02
4.471039302386679992e+02,1.308885671313477807e-02
5.261572490855274964e+02,1.176801961688870787e-02
6.191881395841677431e+02,1.054308529746377301e-02
7.286680034686390854e+02,9.393543714045226450e-03
8.575052158388401722e+02,8.308559710029023507e-03
1.009122387274500738e+03,7.284631411518168245e-03
1.187547286814372455e+03,6.323321777979100215e-03
1.397519841204907607e+03,5.429125803296920225e-03
1.644618052894993752e+03,4.607567699428299912e-03
1.935406181837204258e+03,3.863634553955437416e-03
2.277609127602607259e+03,3.200636405977057720e-03
2.680317644337799265e+03,2.619538848528676824e-03
3.154229840179136772e+03,2.118754685824758999e-03
3.711935376649944828e+03,1.694322902744681801e-03
4.368249917907965028e+03,1.340361994438515458e-03
5.140608714617297665e+03,1.049669325440778962e-03
6.049529778153139887e+03,8.143483591851762883e-04
7.119158949542063965e+03,6.263738502818183172e-04
8.377911343105693959e+03,4.780408921910884209e-04
9.859226205007516910e+03,3.622775563329978321e-04
1.160245523981321458e+04,2.728267128508520163e-04
1.365390800380427390e+04,2.043183893042564930e-04
1.606808213632475963e+04,1.522606038021959412e-04
