pc,variance,mean_power,power_se,power_over_variance
1.000000000000000000e+00,7.354356390522825677e+02,1.011478407060711288e+04,5.830239348967660590e+03,1.375345921995499943e+01
2.000000000000000000e+00,4.070484239315352966e+02,5.436537581066685561e+03,1.976710665820856548e+03,1.335599712819696272e+01
3.000000000000000000e+00,2.868123739200985938e+02,3.803148547936461000e+03,1.449104230479730177e+03,1.326005742344979232e+01
4.000000000000000000e+00,2.728483481766409682e+02,5.016229390718270224e+03,2.460185095193501184e+03,1.838467934381916180e+01
5.000000000000000000e+00,2.106513943282075445e+02,3.181556043650348329e+03,1.362401725771750762e+03,1.510341791848428272e+01
6.000000000000000000e+00,2.021213050200730379e+02,3.409285162024689726e+03,1.667938370467042660e+03,1.686752003548615164e+01
7.000000000000000000e+00,1.674343494454672907e+02,3.260558730594790632e+03,1.137600878226930490e+03,1.947365484677170144e+01
8.000000000000000000e+00,1.489133704905226523e+02,3.019444473897977332e+03,1.226309967116985717e+03,2.027651690343108015e+01
9.000000000000000000e+00,1.448969336823424783e+02,4.445234076509535043e+03,2.554722828883917828e+03,3.067859314576539731e+01
1.000000000000000000e+01,1.217399640310921285e+02,3.240648170398718321e+03,1.367593347646170514e+03,2.661942769730951852e+01
1.100000000000000000e+01,1.148882920653228297e+02,2.826069822786422264e+03,1.089607090212157118e+03,2.459841444226174190e+01
1.200000000000000000e+01,1.103407220605817969e+02,1.978715441361422108e+03,7.255402226473878500e+02,1.793277590004370481e+01
1.300000000000000000e+01,1.056448305133159664e+02,3.342963452715745461e+03,1.497649420116732472e+03,3.164341725451850351e+01
1.400000000000000000e+01,9.675952368690676053e+01,3.293027082346571206e+03,1.596890316881717581e+03,3.403310554733719329e+01
1.500000000000000000e+01,9.560250739301284284e+01,2.258124394957935692e+03,1.034896974184848887e+03,2.361992856186292755e+01
1.600000000000000000e+01,8.912697439048089620e+01,2.390568046511695684e+03,1.021197264017564635e+03,2.682204868795610864e+01
1.700000000000000000e+01,8.600507057163582658e+01,5.168418330397411410e+03,2.526787235081395011e+03,6.009434439208445866e+01
1.800000000000000000e+01,8.333802243310364588e+01,3.869674798813613052e+03,2.028002098649817981e+03,4.643348481084782264e+01
1.900000000000000000e+01,7.961824523472456860e+01,2.437980093458407737e+03,1.099448847701467912e+03,3.062087196560206337e+01
2.000000000000000000e+01,7.707565224656211456e+01,2.343225945152160875e+03,1.124342354653976599e+03,3.040163627362203869e+01
2.100000000000000000e+01,7.516854856128556150e+01,2.507442823480400875e+03,9.850727782738431415e+02,3.335760595983919075e+01
2.200000000000000000e+01,7.295127713076769282e+01,2.538454557856899100e+03,1.106160169121753597e+03,3.479657461385674111e+01
2.300000000000000000e+01,7.164640540441401129e+01,2.107323067773604635e+03,7.800065650420278871e+02,2.941282337723221119e+01
2.400000000000000000e+01,7.063700006310924095e+01,2.976261092460261807e+03,1.439775365083337419e+03,4.213459079237764371e+01
2.500000000000000000e+01,6.868038100024723747e+01,2.225327678266367911e+03,7.277778960619758664e+02,3.240121335754321308e+01
2.600000000000000000e+01,6.648594838758856440e+01,2.405609086399327680e+03,8.883404765179523110e+02,3.618221811886495942e+01
2.700000000000000000e+01,6.407823686865579305e+01,2.142692503387367651e+03,7.610929671287841529e+02,3.343869319905518722e+01
2.800000000000000000e+01,6.337358670791550708e+01,2.077963304181460444e+03,8.557812538711419847e+02,3.278910682077456329e+01
2.900000000000000000e+01,6.218489197655165412e+01,3.936223971452264323e+03,1.976062355690882441e+03,6.329871848835107073e+01
3.000000000000000000e+01,6.150309083045957692e+01,2.211451430840114426e+03,9.619654983554917180e+02,3.595675275794248194e+01
3.100000000000000000e+01,5.987461711338507087e+01,2.086041156682460041e+03,7.692559337307935721e+02,3.484015860564262113e+01
3.200000000000000000e+01,5.911902794405942529e+01,4.001750989169368495e+03,1.778685640670312978e+03,6.768972915041787530e+01
3.300000000000000000e+01,5.733062968828031813e+01,1.854209092810268430e+03,5.713265313421356950e+02,3.234238142668282734e+01
3.400000000000000000e+01,5.606883385235904171e+01,2.368128593624459427e+03,9.378309453842422272e+02,4.223609500886422552e+01
3.500000000000000000e+01,5.492693667013035963e+01,2.232742534832976617e+03,8.123650918936612015e+02,4.064931835252259873e+01
3.600000000000000000e+01,5.475582744536386315e+01,2.420939241961788412e+03,9.989653944951827498e+02,4.421336239284185154e+01
3.700000000000000000e+01,5.315875774421738242e+01,1.734457305496654953e+03,5.476953419578995863e+02,3.262787505009613653e+01
3.800000000000000000e+01,5.217830907184265499e+01,2.022583988443927865e+03,7.686881695148183553e+02,3.876292705574449116e+01
3.900000000000000000e+01,5.164831611806639700e+01,2.427973072581707584e+03,9.877129077177777390e+02,4.700972374455420777e+01
4.000000000000000000e+01,5.087049981659892239e+01,2.554097370430011324e+03,1.047663247218923061e+03,5.020782928491328789e+01
4.100000000000000000e+01,5.009166356170216261e+01,2.819524812486789415e+03,1.232431314980798788e+03,5.628730635016225392e+01
4.200000000000000000e+01,4.842134086073865262e+01,1.769107272156850740e+03,6.755323825970614280e+02,3.653569357455136668e+01
4.300000000000000000e+01,4.730759331444748028e+01,1.892488237919388894e+03,6.355122722763350112e+02,4.000390012107069992e+01
4.400000000000000000e+01,4.708148912942945685e+01,2.493328892703233123e+03,1.078695728298121367e+03,5.295773219595800185e+01
4.500000000000000000e+01,4.624220435456274458e+01,2.308586651936911494e+03,1.148862413112793092e+03,4.992380195017934597e+01
4.600000000000000000e+01,4.522682660721744696e+01,1.639261508972744650e+03,5.380551660337441717e+02,3.624533561041724283e+01
4.700000000000000000e+01,4.501377903521341040e+01,2.365865559799466610e+03,9.854388242509959355e+02,5.255869670370700675e+01
4.800000000000000000e+01,4.396360644129685369e+01,2.496118220861900227e+03,9.769614990825666609e+02,5.677692125178320026e+01
4.900000000000000000e+01,4.384625355681707504e+01,2.107466040242353756e+03,7.637213527645634485e+02,4.806490564835708312e+01
5.000000000000000000e+01,4.297802788775526750e+01,1.665970811081834199e+03,5.010217514341824767e+02,3.876331448787766476e+01
5.100000000000000000e+01,4.286447838020967538e+01,2.452625666010748319e+03,1.107218048555219411e+03,5.721813862415071128e+01
5.200000000000000000e+01,4.268196569219376357e+01,1.870820114073964987e+03,5.893247866462869524e+02,4.383162967623407980e+01
5.300000000000000000e+01,4.222382186529264914e+01,1.619394896752231489e+03,6.041205440431913303e+02,3.835263662106697780e+01
5.400000000000000000e+01,4.138087028176295235e+01,1.580903067424303799e+03,5.401167953409283200e+02,3.820371724083886278e+01
5.500000000000000000e+01,4.118492395970766040e+01,1.655024763528059339e+03,6.719588998518283915e+02,4.018520867362084914e+01
5.600000000000000000e+01,4.091051401680670807e+01,1.876020202131413953e+03,7.863695040556299318e+02,4.585667638790150846e+01
5.700000000000000000e+01,4.064674007897790631e+01,2.189837496825758535e+03,8.759497211957964282e+02,5.387486161426069486e+01
5.800000000000000000e+01,4.024143753981410754e+01,1.831307026417161296e+03,6.600312869419798290e+02,4.550799221835207220e+01
5.900000000000000000e+01,3.939369493717292414e+01,1.667658697873658184e+03,6.122458297224835633e+02,4.233313733411718260e+01
6.000000000000000000e+01,3.879306443462822074e+01,1.771191091385166601e+03,5.749314241783437183e+02,4.565741627269155600e+01
6.100000000000000000e+01,3.862206178696195735e+01,2.053219535042196185e+03,8.524501700465254999e+02,5.316183134830265544e+01
6.200000000000000000e+01,3.825622480816414850e+01,1.878954032497927301e+03,7.064635447100708916e+02,4.911498826452277910e+01
6.300000000000000000e+01,3.819744920013850020e+01,1.677132830803500838e+03,6.212428689570491542e+02,4.390693268589829756e+01
6.400000000000000000e+01,3.774444572772785023e+01,1.586845062801329505e+03,5.701539564366484001e+02,4.204181654297284609e+01
6.500000000000000000e+01,3.730934574325640085e+01,1.872156977169798893e+03,7.198413142718538893e+02,5.017930333201267956e+01
6.600000000000000000e+01,3.700376749891017170e+01,1.655796761247380800e+03,5.757059010023053816e+02,4.474670751555627390e+01
6.700000000000000000e+01,3.652279834300700401e+01,1.929074436540264287e+03,7.809378176542309120e+02,5.281836343489334240e+01
6.800000000000000000e+01,3.618967568139455437e+01,1.950769869340653486e+03,8.897114236605131055e+02,5.390404397416477167e+01
6.900000000000000000e+01,3.577962733280082119e+01,1.929850408092460157e+03,7.009002403245023061e+02,5.393712992430410225e+01
7.000000000000000000e+01,3.543691421585305079e+01,1.965778733824355413e+03,8.719921208733850335e+02,5.547262726800701671e+01
7.100000000000000000e+01,3.527712107541109532e+01,1.570088767156472613e+03,5.828408500410622537e+02,4.450728175352318772e+01
7.200000000000000000e+01,3.485532401931700974e+01,1.638999139193246720e+03,5.683432590129965547e+02,4.702292075336624322e+01
7.300000000000000000e+01,3.481428118270141425e+01,1.624927144834701721e+03,6.115902202144975490e+02,4.667415467541230356e+01
7.400000000000000000e+01,3.461378836207326515e+01,1.841186466837968283e+03,7.856324742677933273e+02,5.319228417237848561e+01
7.500000000000000000e+01,3.437631446760943277e+01,1.687994562794770218e+03,6.016986842792064181e+02,4.910341870374899287e+01
7.600000000000000000e+01,3.407247986801827011e+01,1.573691546130721235e+03,5.352819824864150178e+02,4.618658671826960926e+01
7.700000000000000000e+01,3.382047602018256782e+01,1.955870979248257299e+03,8.917786492072702913e+02,5.783097133467547479e+01
7.800000000000000000e+01,3.351226415338094711e+01,1.542256720990442318e+03,5.010223746013001573e+02,4.602066616363934770e+01
7.900000000000000000e+01,3.327372291994385733e+01,1.960661222034814273e+03,6.951005118369615730e+02,5.892521335085164935e+01
8.000000000000000000e+01,3.302529311930712907e+01,1.756732180541624984e+03,5.621744614577318089e+02,5.319353788005020078e+01
8.100000000000000000e+01,3.287827287586652147e+01,1.798080312709951158e+03,6.734845596298437158e+02,5.468901360782206211e+01
8.200000000000000000e+01,3.264464659218584330e+01,1.809758966615286454e+03,6.887178465204652866e+02,5.543815466050990892e+01
8.300000000000000000e+01,3.233225636096226197e+01,1.296986025402688028e+03,4.053605012885611245e+02,4.011430600212176500e+01
8.400000000000000000e+01,3.228795632088871770e+01,2.133273619724223408e+03,1.140536778756797503e+03,6.607025847418222497e+01
8.500000000000000000e+01,3.213085231217802828e+01,1.977589839928261881e+03,9.491953149138527124e+02,6.154800441377425102e+01
8.600000000000000000e+01,3.188430511109657672e+01,2.131656487820404436e+03,1.056268154169949185e+03,6.685598072132773950e+01
8.700000000000000000e+01,3.174770578068890714e+01,1.659301913669937221e+03,5.581239715365620668e+02,5.226525422442450974e+01
8.800000000000000000e+01,3.158478902204346639e+01,1.478278583081758370e+03,6.212060573402101227e+02,4.680349715333058214e+01
8.900000000000000000e+01,3.111065876558051002e+01,1.383239117762920159e+03,5.286803334479262730e+02,4.446190381841982031e+01
9.000000000000000000e+01,3.092538436196845808e+01,1.663722138771121081e+03,6.875722778138458580e+02,5.379794538033745255e+01
9.100000000000000000e+01,3.064810694590002527e+01,1.292274602870866829e+03,4.004147134335270266e+02,4.216490777560869674e+01
9.200000000000000000e+01,3.046409898271657468e+01,2.003525616072625098e+03,9.806234470990377758e+02,6.576677738636880122e+01
9.300000000000000000e+01,3.041804350992892481e+01,1.327128474976251255e+03,4.380206996542903539e+02,4.362964615206286112e+01
9.400000000000000000e+01,3.027569325912244835e+01,1.546123282157592030e+03,5.371087674281312729e+02,5.106813802493937970e+01
9.500000000000000000e+01,3.008521626570776419e+01,1.408558222017523804e+03,5.288552657472282590e+02,4.681894953246688829e+01
9.600000000000000000e+01,2.999732664392169923e+01,1.541685864706292250e+03,6.341949453049190879e+02,5.139410864863456396e+01
9.700000000000000000e+01,2.980695493354112813e+01,1.724540930275793698e+03,7.159399412493935415e+02,5.785699794296010623e+01
9.800000000000000000e+01,2.959271239090151084e+01,2.144136000361883816e+03,9.082677792614872487e+02,7.245486564526993334e+01
9.900000000000000000e+01,2.937665343688166075e+01,1.476610903406239686e+03,6.226286989919990447e+02,5.026477595818968780e+01
1.000000000000000000e+02,2.924310616969651377e+01,1.727004166276303295e+03,7.996749342212765441e+02,5.905679636952965694e+01
1.010000000000000000e+02,2.919434017013227134e+01,1.414993042392881080e+03,5.219035543934173802e+02,4.846806038933916483e+01
1.020000000000000000e+02,2.900570779166517710e+01,1.649507664562844411e+03,6.305683230486034745e+02,5.686838178232052599e+01
1.030000000000000000e+02,2.896457852389247734e+01,1.580529642103912465e+03,6.588539116385368288e+02,5.456767274552797886e+01
1.040000000000000000e+02,2.865612678256915657e+01,1.709041813680885070e+03,7.236001713957344919e+02,5.963966542472358157e+01
1.050000000000000000e+02,2.842792557063759062e+01,1.833290693074487990e+03,8.049852034477236202e+02,6.448907742209803473e+01
1.060000000000000000e+02,2.832871044043938014e+01,1.564808268036069876e+03,7.294165298181980006e+02,5.523753971526702600e+01
1.070000000000000000e+02,2.824328412417116141e+01,1.294284038152022276e+03,4.646774241137712238e+02,4.582625846419710314e+01
1.080000000000000000e+02,2.794536626271357349e+01,1.879347176120566928e+03,8.947553223094272425e+02,6.725076202089745436e+01
1.090000000000000000e+02,2.788286290506974296e+01,1.417974808350187686e+03,5.808153867879581185e+02,5.085470646173737919e+01
1.100000000000000000e+02,2.763252483280469107e+01,1.521659800950158115e+03,6.729472749570643373e+02,5.506770771607808257e+01
1.110000000000000000e+02,2.756572383102382773e+01,1.272073701650482917e+03,4.409646715319652230e+02,4.614693629843408473e+01
1.120000000000000000e+02,2.751047030145491590e+01,1.383418184280842070e+03,4.824730072446233748e+02,5.028696961998787884e+01
1.130000000000000000e+02,2.734010963512712777e+01,1.293014296878665391e+03,4.190838175287282183e+02,4.729367636541495301e+01
1.140000000000000000e+02,2.725758982016375143e+01,1.380434515820528304e+03,5.340046318182955929e+02,5.064404171198417970e+01
1.150000000000000000e+02,2.716946626810858589e+01,1.390567268010059479e+03,5.868818558854582079e+02,5.118125083091167937e+01
1.160000000000000000e+02,2.693348354306677450e+01,1.537482340742727956e+03,5.994362743726895815e+02,5.708442200892008600e+01
1.170000000000000000e+02,2.678255719895620146e+01,1.342316919305671945e+03,5.499776330772375559e+02,5.011907225042671143e+01
1.180000000000000000e+02,2.671815285603591050e+01,1.512783273735710281e+03,6.580127685236817570e+02,5.662005460807731794e+01
1.190000000000000000e+02,2.664825926614544827e+01,1.390214455180725736e+03,5.313312623643495272e+02,5.216905319391295848e+01
1.200000000000000000e+02,2.661268462104996146e+01,1.382243185171735831e+03,5.078220247373560596e+02,5.193926147828079110e+01
1.210000000000000000e+02,2.651383536378902761e+01,1.337873004967272664e+03,5.022605085961699274e+02,5.045942944921720397e+01
1.220000000000000000e+02,2.632706869627987700e+01,1.329550092538747322e+03,5.327687662277630807e+02,5.050125814905547372e+01
1.230000000000000000e+02,2.619099727841791392e+01,1.570808725530316451e+03,5.854965084138891598e+02,5.997513988612816860e+01
1.240000000000000000e+02,2.603718944759371823e+01,1.295877406258756764e+03,4.160741624591510686e+02,4.977024916099452412e+01
1.250000000000000000e+02,2.588034073266337742e+01,1.411052974421575072e+03,5.785801506418251847e+02,5.452219462631325086e+01
1.260000000000000000e+02,2.573326434103497817e+01,1.347797416613751011e+03,4.849479758973282060e+02,5.237568769946204839e+01
1.270000000000000000e+02,2.565284604083614184e+01,1.423309954275063546e+03,5.236523211023808244e+02,5.548351056289548211e+01
1.280000000000000000e+02,2.563740052812797288e+01,1.112929434130419395e+03,3.512827923263215553e+02,4.341038526543957943e+01
1.290000000000000000e+02,2.553675086802880401e+01,1.378269379908404517e+03,5.171751732790019105e+02,5.397199459833998247e+01
1.300000000000000000e+02,2.544251789464842517e+01,1.421470715675532347e+03,6.333599435356932190e+02,5.586989155560441844e+01
1.310000000000000000e+02,2.527462914191021781e+01,1.272659194056316892e+03,5.108151371568944228e+02,5.035322919717948054e+01
1.320000000000000000e+02,2.519028937666384493e+01,1.302615337887326859e+03,4.891630747437147875e+02,5.171101127143315068e+01
1.330000000000000000e+02,2.514512596707021075e+01,1.466805791757981297e+03,6.904521075885317032e+02,5.833360284927164940e+01
1.340000000000000000e+02,2.508832207643107992e+01,1.532334051465016273e+03,6.446045308524663824e+02,6.107758210360942996e+01
1.350000000000000000e+02,2.478869684803100526e+01,1.348087994020573888e+03,4.974660685529114517e+02,5.438317319724913546e+01
1.360000000000000000e+02,2.467480908320381872e+01,1.632256166975722408e+03,7.601215758236075999e+02,6.615071109453089093e+01
1.370000000000000000e+02,2.465529651249994814e+01,1.255707112951249655e+03,5.402058259934181024e+02,5.093052165544311549e+01
1.380000000000000000e+02,2.459986505627135855e+01,1.175555013306213596e+03,4.157922802404902995e+02,4.778705129549171460e+01
1.390000000000000000e+02,2.451370626987794665e+01,1.295878745780102236e+03,5.127265646958312573e+02,5.286343613297094635e+01
1.400000000000000000e+02,2.437761433113987763e+01,1.229465148139270923e+03,5.210700254068771073e+02,5.043418652204849195e+01
1.410000000000000000e+02,2.425018864473761226e+01,1.319557081279438080e+03,5.762048145734563604e+02,5.441430170341322992e+01
1.420000000000000000e+02,2.417862967408993313e+01,1.390245266856894204e+03,5.387145444030658155e+02,5.749892717645182216e+01
1.430000000000000000e+02,2.414251819540145050e+01,1.282569028762884727e+03,4.706524017864395546e+02,5.312490678819006718e+01
1.440000000000000000e+02,2.395717084193935520e+01,1.035355835958944226e+03,3.270157877413698770e+02,4.321694922951641615e+01
1.450000000000000000e+02,2.390561324550692035e+01,1.260381847491641565e+03,5.317613045219183050e+02,5.272325936790311829e+01
1.460000000000000000e+02,2.378355419889969369e+01,1.214146403027607221e+03,4.579671708648708091e+02,5.104983018407642703e+01
1.470000000000000000e+02,2.368809697690658211e+01,1.402260360709881297e+03,6.071813519770167886e+02,5.919683468355176359e+01
