kappa,trace_over_evaluated_pcs_only
7.354356390522825493e-04,4.560459867600616417e+04
8.654694502833971612e-04,4.560348183334817440e+04
1.018494793560850058e-03,4.560216758796361682e+04
1.198576846555223950e-03,4.560062106301033054e+04
1.410499558938037518e-03,4.559880122512813250e+04
1.659892739862575337e-03,4.559665979978628457e+04
1.953381616030357062e-03,4.559413999634772335e+04
2.298762833411315855e-03,4.559117500978047610e+04
2.705211578171781619e-03,4.558768626031955500e+04
3.183525319058095899e-03,4.558358132584532723e+04
3.746410646347011434e-03,4.557875151416749577e+04
4.408820827350889114e-03,4.557306901364742225e+04
5.188353045770882459e-03,4.556638355050909740e+04
6.105715877715705946e-03,4.555851846962871787e+04
7.185279423067993977e-03,4.554926614240954950e+04
8.455722706651661383e-03,4.553838259041248239e+04
9.950795547663687096e-03,4.552558119663188700e+04
1.171021513672759924e-02,4.551052535764824279e+04
1.378072113848627898e-02,4.549281990942901029e+04
1.621731734894429205e-02,4.547200113751505705e+04
1.908473289266910886e-02,4.544752515919008147e+04
2.245914177712236837e-02,4.541875444179460465e+04
2.643018648474981802e-02,4.538494219891312241e+04
3.110335936033954002e-02,4.534521438671513897e+04
3.660280505612854146e-02,4.529854900918994099e+04
4.307461848270026372e-02,4.524375243757138378e+04
5.069072587701917154e-02,4.517943246177736728e+04
5.965345208968222956e-02,4.510396782825815171e+04
7.020089542314658648e-02,4.501547409010970296e+04
8.261325280559832229e-02,4.491176571595690621e+04
9.722026333116223773e-02,4.479031459231699409e+04
1.144099679069897763e-01,4.464820533286923455e+04
1.346390177106500941e-01,4.448208820493686653e+04
1.584448053060003858e-01,4.428813103026623139e+04
1.864597406853376327e-01,4.406197214773118321e+04
2.194280514864355713e-01,4.379867747183398751e+04
2.582255536887597680e-01,4.349270586560181982e+04
3.038829180050777179e-01,4.313788847175297269e+04
3.576130500492002984e-01,4.272742927616871748e+04
4.208433116446340105e-01,4.225393591645231936e+04
4.952534392457325074e-01,4.170949141100660199e+04
5.828201667889181259e-01,4.108577876895030204e+04
6.858697383973585415e-01,4.037427090864581260e+04
8.071397059594767054e-01,3.956649738572776550e+04
9.498516532579828198e-01,3.865439643858969066e+04
1.117796778594137397e+00,3.763075513964697893e+04
1.315436609442919291e+00,3.648973152930384094e+04
1.548021524662995585e+00,3.522744049435968918e+04
1.821730232850061970e+00,3.384257056106014352e+04
2.143833912130147290e+00,3.233698339577659863e+04
2.522889371830237870e+00,3.071623432742600562e+04
2.968966367441050913e+00,2.898994401141653725e+04
3.493915107582146629e+00,2.717195186511289648e+04
4.111681059395885462e+00,2.528019361537881196e+04
4.838675415297672977e+00,2.333626878875840339e+04
5.694211062675684332e+00,2.136469724060648878e+04
6.701015638244336436e+00,1.939190226058812550e+04
7.885835296539778660e+00,1.744499498106143074e+04
9.280145231901807179e+00,1.555046390085751773e+04
1.092098582923469152e+01,1.373288868708396876e+04
1.285194665621663468e+01,1.201379600175811538e+04
1.512432443709275454e+01,1.041075720179542623e+04
1.779848577007549437e+01,8.936796822757949485e+03
2.094547078946904861e+01,7.600142451479395277e+03
2.464888037442531044e+01,6.404307443085328487e+03
2.900709703876418288e+01,5.348463909968763801e+03
3.413589850065948639e+01,4.428038841425021019e+03
4.017153336268405184e+01,3.635453267303340908e+03
4.727434060884792189e+01,2.960923034510861726e+03
5.563300907197548639e+01,2.393248205142142069e+03
6.546959002582535447e+01,1.920533332247095586e+03
7.704539606341047886e+01,1.530799498810774139e+03
9.066794296750987314e+01,1.212467803442349123e+03
1.066991189868604408e+02,9.547104375268354488e+02
1.255647985380212646e+02,7.476780940969151743e+02
1.477661557246361212e+02,5.826206449108244669e+02
1.738929782221231619e+02,4.519220977635217196e+02
2.046393352163135262e+02,3.490715950750116576e+02
2.408220156209096956e+02,2.685906389334038522e+02
2.834022263921746116e+02,2.059337938933986152e+02
3.335111273650006183e+02,1.573766165649675486e+02
3.924798809532032351e+02,1.199010531346299615e+02
4.618750149959951159e+02,9.108538154817810550e+01
5.435400381783814510e+02,6.900313223792183237e+01
6.396444135552950456e+02,5.213335520166707227e+01
7.527411911801452788e+02,3.928308641792376932e+01
8.858348308709536241e+02,2.952183048109752406e+01
1.042461016852174225e+03,2.212722564770507816e+01
1.226780584579181550e+03,1.654069761766900371e+01
1.443690054947973294e+03,1.233175601951606204e+01
1.698951712274315469e+03,9.169576146746555523e+00
1.999346681614322051e+03,6.800587874763948548e+00
2.352855071984986807e+03,5.030926812475258636e+00
2.768867971059236879e+03,3.712761929038436826e+00
3.258436923056955038e+03,2.733678460616340011e+00
3.834567517308946208e+03,2.008450177477018705e+00
4.512564886788159129e+03,1.472672042296771178e+00
5.310440294910794364e+03,1.077838908685271102e+00
6.249389611743464229e+03,7.875481012870473307e-01
7.354356390522825677e+03,5.745758751673976095e-01
