profile_id,profile_type,profile_label,requested_center,signal_rank_centroid,bandwidth,alpha,d,n,n_folds,n_cv_train,sigma,n_trials,teacher_seed,mc_seed,lambda_min,lambda_max,n_lambda,theory_lambda_cv,theory_lambda_full,theory_kappa_final,theory_r2_gen,theory_r2_acc,theory_r2_acc_delta,theory_acc_alignment,theory_r2_peer,theory_r2_peer_delta,theory_peer_gain,theory_peer_gain_delta,mc_lambda_mean,mc_lambda_log_mean,mc_lambda_median,mc_lambda_q25,mc_lambda_q75,mc_lambda_mode,mc_lambda_at_lower_boundary_fraction,mc_lambda_at_upper_boundary_fraction,mc_elapsed_seconds,mc_gen_error,mc_gen_error_std,mc_gen_error_se,mc_gen_error_median,mc_gen_error_n_finite,mc_r2_gen,mc_r2_gen_std,mc_r2_gen_se,mc_r2_gen_median,mc_r2_gen_n_finite,mc_acc_error,mc_acc_error_std,mc_acc_error_se,mc_acc_error_median,mc_acc_error_n_finite,mc_acc_alignment,mc_acc_alignment_std,mc_acc_alignment_se,mc_acc_alignment_median,mc_acc_alignment_n_finite,mc_r2_acc,mc_r2_acc_std,mc_r2_acc_se,mc_r2_acc_median,mc_r2_acc_n_finite,mc_peer_error,mc_peer_error_std,mc_peer_error_se,mc_peer_error_median,mc_peer_error_n_finite,mc_peer_gain,mc_peer_gain_std,mc_peer_gain_se,mc_peer_gain_median,mc_peer_gain_n_finite,mc_r2_peer,mc_r2_peer_std,mc_r2_peer_se,mc_r2_peer_median,mc_r2_peer_n_finite,mc_peer_true_variance,mc_peer_true_variance_std,mc_peer_true_variance_se,mc_peer_true_variance_median,mc_peer_true_variance_n_finite,mc_lambda_cv_a,mc_lambda_cv_a_std,mc_lambda_cv_a_se,mc_lambda_cv_a_median,mc_lambda_cv_a_n_finite,mc_lambda_cv_b,mc_lambda_cv_b_std,mc_lambda_cv_b_se,mc_lambda_cv_b_median,mc_lambda_cv_b_n_finite,mc_lambda_cv_mean,mc_lambda_cv_mean_std,mc_lambda_cv_mean_se,mc_lambda_cv_mean_median,mc_lambda_cv_mean_n_finite
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,1.0,128,256,5,204.8,0.1,200,20260814,20260815,0.0001,10.0,61,0.026101572156825358,0.021544346900318822,0.0470197782865219,0.9918353149535744,0.9999895038549561,0.9999369707180358,1.003250305722683,0.99866215560418,0.9985595368675868,0.9634234447245237,0.9634242432355569,0.02440399756630647,0.02379350012677537,0.026101572156825358,0.021544346900318822,0.026101572156825358,0.026101572156825358,0.0,0.0,3.6046077279606834,0.00825948528870477,0.0009559325881697023,6.759464154520038e-05,0.0082838332987795,200,0.9917405147112952,0.0009559325881696945,6.759464154519982e-05,0.9917161667012205,200,0.00017551115851609502,0.00017457655143950446,1.2344426335903573e-05,0.00011207855050739203,200,1.0006594416082115,0.008929010367926284,0.0006313763780445665,1.0007456663823504,200,0.9998255628331022,0.0001714063701010654,1.2120260663703442e-05,0.9998889320928199,200,0.0013502338157198577,0.0006898136334496233,4.8777189796716006e-05,0.001228494280202197,200,0.9654607391871997,0.008814977865693026,0.0006233130624840857,0.9663993179794743,200,0.9986495825667268,0.0006688717484334269,4.729637490613786e-05,0.9987472804027979,200,1.0014943943749386,0.01789390910974462,0.0012652904473436158,1.001496517271025,200,0.02400928867606603,0.005327950490047018,0.00037674299213384356,0.026101572156825358,200,0.02479870645654692,0.005625538529033806,0.00039778564417059995,0.026101572156825358,200,0.024403997566306478,0.003703269613222788,0.00026186070560719164,0.02382295952857209,200
localized_0.200,localized,localized 0.20,0.2,0.20552041484147038,0.1,1.0,128,256,5,204.8,0.1,200,20260814,20261815,0.0001,10.0,61,0.01,0.008254041852680182,0.019068562872533775,0.9907519524069989,0.9999801888142845,0.9999362985903225,1.0044708755751526,0.9993618421466698,0.9992726842132648,0.9747382135760313,0.9747384862703989,0.009680291037795061,0.009243433759834786,0.01,0.008254041852680182,0.012115276586285877,0.012115276586285877,0.0,0.0,3.5206750279758126,0.009447997633897589,0.0011268852962445265,7.968282345939162e-05,0.009437745128699243,200,0.9905520023661023,0.0011268852962445244,7.968282345939147e-05,0.9905622548713008,200,0.0001692314698328778,0.00016504622431555942,1.1670530442276812e-05,0.00012049252386399855,200,1.0032629086112224,0.007924294788770755,0.0005603322581261022,1.003239096995721,200,0.9998333004008879,0.00016166056713028877,1.1431128326829028e-05,0.9998804556952314,200,0.0007390592100353748,0.00041928988156822173,2.96482718539794e-05,0.0006192600213858666,200,0.9758016432607544,0.008017024923602097,0.0005668892688420606,0.9770297216976995,200,0.9992628756388933,0.0004096931085295958,2.8969677524667334e-05,0.999365763659136,200,1.0066950486922772,0.01589336263246726,0.0011238304493274478,1.0066812974285773,200,0.009905779210889072,0.002851158611520308,0.0002016073588444431,0.01,200,0.009454802864701052,0.0028598423319484453,0.0002022213906045095,0.009127020926340091,200,0.009680291037795061,0.0019396792022217454,0.00013715603172175086,0.01,200
localized_0.350,localized,localized 0.35,0.35,0.35008703906114913,0.1,1.0,128,256,5,204.8,0.1,200,20260814,20262815,0.0001,10.0,61,0.003831186849557285,0.0031622776601683794,0.007511974938571841,0.9903406826864213,0.9999965404785062,0.9999561813569813,1.0018634448641914,0.9997650402687953,0.999683108498462,0.9846716037627972,0.9846716815268923,0.004163124188120514,0.0037332178468823486,0.003831186849557285,0.0031622776601683794,0.005623413251903491,0.004641588833612777,0.0025,0.0,3.463041429989971,0.00980432123712788,0.0011586583188010237,8.192951543024084e-05,0.009677771363673558,200,0.990195678762872,0.0011586583188010313,8.192951543024138e-05,0.9903222286363265,200,0.00015226427367863107,0.00014235299862029631,1.0065877064665077e-05,0.00011204390979035615,200,1.0028619142680517,0.007924030744012883,0.0005603135873422192,1.0031545112077205,200,0.9998496871062613,0.00013961764186557884,9.87245813364256e-06,0.9998871531429208,200,0.0004015974122555019,0.0002777328474626399,1.9638677979908167e-05,0.00035760606905639423,200,0.9838969752423261,0.007865331563393573,0.0005561629284756185,0.9831076430081707,200,0.9995993594352123,0.00027306732464484203,1.9308775697683626e-05,0.9996418943053739,200,1.0058760928097816,0.015879655931589316,0.0011228612392135988,1.0064412346555833,200,0.004076580174075224,0.0015448357268247265,0.0001092363818257013,0.003831186849557285,200,0.004249668202165804,0.0017733861622101674,0.00012539733809611962,0.003831186849557285,200,0.004163124188120514,0.0011183783260187532,7.908128982599198e-05,0.004236387841585031,200
localized_0.500,localized,localized 0.50,0.5,0.5,0.1,1.0,128,256,5,204.8,0.1,200,20260814,20263815,0.0001,10.0,61,0.002154434690031882,0.0017782794100389228,0.004259942710311218,0.9901761081941935,0.9999949919501068,0.999955910436828,1.0022428865468194,0.9998567897758794,0.9997773738170975,0.9880329525729797,0.9880329855246808,0.002312357903426446,0.0018845529025697922,0.002154434690031882,0.001467799267622069,0.0031622776601683794,0.0026101572156825357,0.025,0.0,3.4544108730042353,0.010062399692727821,0.0012944163967544327,9.152906118241159e-05,0.010013261050948708,200,0.9899376003072722,0.001294416396754435,9.152906118241174e-05,0.9899867389490513,200,0.0001288747083408948,0.0001266312902555989,8.954184405013596e-06,8.20087324521443e-05,200,1.0028460087692141,0.007644075049433878,0.0005405177303353588,1.002155380363174,200,0.9998737136165093,0.00012170232261508076,8.605653760727652e-06,0.9999180313087195,200,0.00028215461641207694,0.0002446630408520591,1.730028952922123e-05,0.00020993452528829677,200,0.9873338829780332,0.007623969856266432,0.0005390960784927822,0.9880576942022885,200,0.9997191876115976,0.00024030257197933913,1.6991957818315913e-05,0.9997866078164799,200,1.0058208922467688,0.015351895111292252,0.001085542913725936,1.0043634303083553,200,0.0023640352946154896,0.0011196100146035417,7.916838336105338e-05,0.0026101572156825357,200,0.0022606805122374033,0.0012154311167209865,8.594395846985477e-05,0.002154434690031882,200,0.002312357903426446,0.000829293326351637,5.8639893465599105e-05,0.002194218312860729,200
localized_0.650,localized,localized 0.65,0.65,0.649912960938851,0.1,1.0,128,256,5,204.8,0.1,200,20260814,20264815,0.0001,10.0,61,0.0012115276586285877,0.001,0.0024073267103292945,0.9901117320843988,0.9999988463562792,0.9999599885449779,1.0010752329636272,0.9999247995927745,0.9998461341771371,0.9913281831646719,0.991328197884715,0.001399298435320615,0.0010943762681088094,0.001467799267622069,0.0008254041852680181,0.0017782794100389228,0.0017782794100389228,0.0475,0.0,3.4503823070554063,0.010041569198601783,0.0012616374184311367,8.921123739713465e-05,0.009897732492775787,200,0.9899584308013982,0.0012616374184311358,8.921123739713458e-05,0.9901022675072242,200,0.00011479738521730809,0.00011208281029047223,7.925451521083825e-06,7.861174265170643e-05,200,1.0018917053792231,0.007545765056768366,0.0005335661640881405,1.0015674120368214,200,0.9998867225443243,0.00010865317019038707,7.682939343903873e-06,0.999922110728585,200,0.0002005553615594994,0.00019191809470305973,1.3570658619693555e-05,0.00013934020204365107,200,0.9906562424042136,0.007669235108553525,0.0005422968151772145,0.9911244037629376,200,0.9998002788425189,0.00018910404737539882,1.3371675424896664e-05,0.9998583817519392,200,1.0038982081436634,0.015131711893382674,0.0010699736090772022,1.0032290276092322,200,0.0013843520198204152,0.0007991452582056718,5.6508103123030496e-05,0.0012115276586285877,200,0.0014142448508208149,0.0008144325790877596,5.75890799492204e-05,0.001467799267622069,200,0.001399298435320615,0.0005600182241116457,3.9599268385739236e-05,0.0013891397050194614,200
localized_0.800,localized,localized 0.80,0.8,0.7944795851585297,0.1,1.0,128,256,5,204.8,0.1,200,20260814,20265815,0.0001,10.0,61,0.0008254041852680181,0.0006812920690579609,0.0016434576060274978,0.9900761364494758,0.9999991594622191,0.9999604989752213,1.0009176497846712,0.9999485215137327,0.999870363505454,0.9928251490421557,0.9928251562961528,0.0009285609266145725,0.0006531305526474725,0.0008254041852680181,0.0003831186849557285,0.0012115276586285877,0.0001,0.135,0.0,3.4603056920459494,0.009902467586580959,0.001190687940405687,8.41943516937905e-05,0.009856252779237266,200,0.9900975324134191,0.0011906879404056851,8.419435169379037e-05,0.9901437472207628,200,0.00010284204019424957,0.00011061604874641836,7.821735817665411e-06,7.429736350175235e-05,200,1.0015441991736693,0.007244908742068274,0.0005122924100594175,1.0017343390104354,200,0.9998986274840251,0.00010647265786213564,7.528753838527128e-06,0.9999254788199563,200,0.00015839404475148392,0.0001627252255347111,1.1506411044570454e-05,0.00011637673008148372,200,0.9923983647103033,0.0072702718811299355,0.0005140858548216854,0.9924667917060308,200,0.9998421356888773,0.00016054516423053447,1.1352257431411887e-05,0.9998833060294474,200,1.0031912403875325,0.014531708507442915,0.0010275469627839128,1.0035596426000388,200,0.0009240509677352743,0.0006262225335837425,4.4280620002888476e-05,0.0008254041852680181,200,0.0009330708854938708,0.0006784435236665933,4.7973201623674404e-05,0.0008254041852680181,200,0.0009285609266145723,0.0004687753952881267,3.3147426086163876e-05,0.0008525267645620708,200
localized_0.950,localized,localized 0.95,0.95,0.8990775400412221,0.1,1.0,128,256,5,204.8,0.1,200,20260814,20266815,0.0001,10.0,61,0.0006812920690579609,0.0005623413251903491,0.0013575632095050025,0.9900590839414137,0.9999987712745595,0.9999603626710364,1.0011097089748637,0.9999557125176506,0.9998780863817066,0.9933451159026278,0.9933451187313665,0.0007903575768970915,0.0005537749841508896,0.0007533481271629895,0.00031622776601683794,0.0012115276586285877,0.0001,0.175,0.0,3.433771427953616,0.010094656661483365,0.0012295199111178297,8.694018667552986e-05,0.010019443681461293,200,0.9899053433385165,0.0012295199111178332,8.69401866755301e-05,0.9899805563185387,200,0.00011093164389611016,0.00010760924962196389,7.609123012608659e-06,6.982113794600453e-05,200,1.001949180254167,0.007203792587663091,0.0005093850588997957,1.002199231827127,200,0.9998904855593962,0.00010514852799236812,7.435123717518701e-06,0.9999287669335641,200,0.00016244278052651647,0.00015133044240446707,1.0700678202415893e-05,0.00011460805774739474,200,0.9926339188879314,0.0072401879810307075,0.0005119586018452151,0.9923313446636841,200,0.99983788000217,0.00015006895151001385,1.0611477325828596e-05,0.9998846062657777,200,1.0040092921522301,0.014436443072906263,0.0010208106793065579,1.0044084041230135,200,0.0007720518691739192,0.0005584620760858261,3.948923210358053e-05,0.0006812920690579609,200,0.0008086632846202638,0.000535506062557867,3.786599682011753e-05,0.0008254041852680181,200,0.0007903575768970915,0.00038262074817916225,2.7055372566015596e-05,0.0007838996338110345,200
random,random,i.i.d. random,nan,0.21085841170090208,0.1,1.0,128,256,5,204.8,0.1,200,20260814,20267815,0.0001,10.0,61,0.005623413251903491,0.004641588833612777,0.010932082597806602,0.9904329364941724,0.9999723777003033,0.9998963964776926,1.0052834603644896,0.9992656653391144,0.9991057956859141,0.9729013900562117,0.9729029380938601,0.005559722315380989,0.005128613839913642,0.005623413251903491,0.003831186849557285,0.006812920690579608,0.006812920690579608,0.0025,0.0,3.5158606990007684,0.009806765982496747,0.0013238709234686366,9.361181074003698e-05,0.009738742112795238,200,0.9901932340175033,0.0013238709234686384,9.36118107400371e-05,0.9902612578872048,200,0.00027638913344547357,0.0003400561512806831,2.404560105547695e-05,0.00014682760778813483,200,1.0043764509990323,0.012436182257279075,0.000879370880619386,1.0037813157402875,200,0.9997328940423398,0.00031793093158094613,2.248111176698433e-05,0.9998515693905539,200,0.0009825753049393002,0.0008177685563993315,5.782496916711009e-05,0.0008233280929986651,200,0.9735897608367117,0.012637761276489363,0.0008936246697622387,0.9740934148104,200,0.9990307708246682,0.0007808760749233463,5.521627678446327e-05,0.9991756763247749,200,1.0090292911315106,0.02504071959949796,0.0017706462634595897,1.008003071859137,200,0.0054769607545383505,0.0018713106056438835,0.00013232164189570951,0.005623413251903491,200,0.005642483876223629,0.0021701773695798473,0.00015345471344074943,0.005623413251903491,200,0.005559722315380989,0.0015190422791790442,0.00010741250965165708,0.005322053770068447,200
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,1.0,128,256,5,204.8,0.3,200,20260814,20260825,0.0001,10.0,61,0.12115276586285877,0.1,0.18499545523133143,0.955058986228845,0.9996858022819578,0.999284254215064,0.9825831021624557,0.984345658153816,0.9836473301488825,0.874882687664001,0.8748992653381946,0.1192966466305135,0.11703973595386181,0.12115276586285877,0.1,0.12115276586285877,0.12115276586285877,0.0,0.0,3.568919223966077,0.04585572333918849,0.005332196426779099,0.0003770432251994179,0.04601132334462096,200,0.9541442766608115,0.005332196426779101,0.000377043225199418,0.9539886766553791,200,0.0021360640795725005,0.002403493155728931,0.00016995263089513818,0.0012941016125531594,200,0.9792372746826029,0.02966820331131913,0.002097858774705494,0.9805812315258591,200,0.9975341279805089,0.003083206257656684,0.00021801560525858387,0.9986630597449875,200,0.01545409389234896,0.006807003921822192,0.00048132786326838953,0.014589994986983249,200,0.8778874607238866,0.026204702152808408,0.0018529522591224546,0.8773851111565778,200,0.9839006463952111,0.006488248312663537,0.0004587884379906562,0.984646611827265,200,0.9606106134447785,0.057612873190234934,0.004073845331645576,0.961926362832217,200,0.11789505637105374,0.02200569023769063,0.0015560372791761652,0.12115276586285877,200,0.12069823688997325,0.02356158729587252,0.0016660558152430268,0.12115276586285877,200,0.1192966466305135,0.01621038506137605,0.0011462473202544113,0.12115276586285877,200
localized_0.200,localized,localized 0.20,0.2,0.20552041484147038,0.1,1.0,128,256,5,204.8,0.3,200,20260814,20261825,0.0001,10.0,61,0.056234132519034905,0.056234132519034905,0.09421074454879379,0.9399605017693156,0.9999784211289117,0.999653259653923,0.9953761727438004,0.987619470995103,0.9869681720833323,0.8887321744397918,0.8887400531293086,0.05839702899943905,0.05715883037089145,0.056234132519034905,0.046415888336127774,0.06812920690579607,0.056234132519034905,0.0,0.0,3.535485539934598,0.06091240262908956,0.007380940412178278,0.0005219113016985092,0.06041823225901647,200,0.9390875973709104,0.007380940412178281,0.0005219113016985094,0.9395817677409835,200,0.0014698077670689874,0.0016044410874561752,0.000113451117295458,0.0010265662228008243,200,0.9998087948935879,0.02699202316420629,0.0019086242617354639,0.9960838199050235,200,0.9985278375022634,0.0015848024209622984,0.00011206245387032987,0.9989832603643414,200,0.014282607610237063,0.0068754440845186626,0.00048616731358320803,0.013317282568893873,200,0.8856475535997845,0.02555915040384402,0.001807304857192499,0.8857273381339483,200,0.9857299314668768,0.0062284841941826164,0.0004404203410219757,0.9863663330285632,200,1.0010873975542445,0.054314160990788916,0.003840591155104469,0.9926437721277668,200,0.05706766533015773,0.011276585415736744,0.0007973750016096775,0.056234132519034905,200,0.05972639266872037,0.012832294941959022,0.0009073802771645058,0.056234132519034905,200,0.05839702899943904,0.008234022722284072,0.0005822333303371184,0.05727254762096193,200
