dataset,policy,sigma,noise_signal_ratio,signal_power,alpha,lambda,n,d,n_trials,train_pool_size,population_size,train_patches_per_image,population_patches_per_image,seed,case_path,mc_elapsed_seconds,theory_gen_error_normalized,theory_acc_error_normalized,theory_r2_gen,theory_r2_acc,theory_weight_error,mc_weight_error,mc_weight_error_std,mc_weight_error_se,mc_weight_error_median,mc_weight_error_q25,mc_weight_error_q75,mc_gen_error,mc_gen_error_std,mc_gen_error_se,mc_gen_error_median,mc_gen_error_q25,mc_gen_error_q75,mc_r2_gen,mc_r2_gen_std,mc_r2_gen_se,mc_r2_gen_median,mc_r2_gen_q25,mc_r2_gen_q75,mc_slope_gen,mc_slope_gen_std,mc_slope_gen_se,mc_slope_gen_median,mc_slope_gen_q25,mc_slope_gen_q75,mc_slope_acc,mc_slope_acc_std,mc_slope_acc_se,mc_slope_acc_median,mc_slope_acc_q25,mc_slope_acc_q75,mc_acc_error,mc_acc_error_std,mc_acc_error_se,mc_acc_error_median,mc_acc_error_q25,mc_acc_error_q75,mc_r2_acc,mc_r2_acc_std,mc_r2_acc_se,mc_r2_acc_median,mc_r2_acc_q25,mc_r2_acc_q75,mc_alpha_cv,mc_alpha_cv_std,mc_alpha_cv_se,mc_alpha_cv_median,mc_alpha_cv_q25,mc_alpha_cv_q75,mc_gen_error_normalized,mc_gen_error_normalized_se,mc_acc_error_normalized,mc_acc_error_normalized_se
vanhateren,cv,0.0,0.0,1736.3448486328125,0.0001,1.0000000000000001e-07,1000,10000,100,2000,20000,1,10,20260818,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/vanhateren_fixed_vs_cv_cases/vanhateren_disk_d10000_n1000_sigma0_trials100_pop20000_seed20260818_alpha181_eminm4_emax5_fixed100.npz,1.3716788109995832,5.672034169759945e-05,6.993132809322368e-12,0.9999432796621051,0.9999999999930069,52.04652228621309,51.52959419250488,1.1012245613823495,0.11012245613823494,51.499053955078125,50.75829219818115,52.121633529663086,0.1051248250901699,0.007232634277852469,0.0007232634277852469,0.10506683215498924,0.09966026991605759,0.10896396264433861,0.9999394562519232,4.165436539606683e-06,4.1654365396066825e-07,0.9999394896513571,0.9999372452063712,0.9999426034119925,1.0006172323566138,8.654448886808161e-05,8.654448886808162e-06,1.000613266556358,1.0005592321550623,1.0006727080683258,1.0000095766827797,2.07388078216529e-06,2.07388078216529e-07,1.0000091560174176,1.0000083879134203,1.0000102991092148,1.6663844717053033e-07,8.277190398523715e-08,8.277190398523714e-09,1.4556239897420857e-07,1.2216417740323267e-07,1.8417696774948226e-07,0.9999999999038838,4.7410174043225613e-11,4.741017404322561e-12,0.9999999999155639,0.9999999998924356,0.999999999930866,9.999999747378752e-05,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,6.0543748076854985e-05,4.1654365396064046e-07,9.597082474817168e-11,4.767019872257014e-12
vanhateren,fixed,0.0,0.0,1736.3448486328125,100.0,0.1,1000,10000,100,2000,20000,1,10,20260818,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/vanhateren_fixed_vs_cv_cases/vanhateren_disk_d10000_n1000_sigma0_trials100_pop20000_seed20260818_alpha181_eminm4_emax5_fixed100.npz,1.3716788109995832,0.007245654391327103,0.12524331362393434,0.992754346094443,0.9316744603820519,181.14714384267103,184.0472996520996,5.509978367548948,0.5509978367548948,183.9046401977539,179.48706817626953,188.23567962646484,12.679919986724853,0.7978051923512862,0.07978051923512862,12.739198684692383,12.069482803344727,13.136455774307251,0.992697349264054,0.00045947393052680444,4.594739305268044e-05,0.9926632093303798,0.9924344200493059,0.9930489137495653,1.017283155287316,0.0018032842023939656,0.00018032842023939656,1.017643917212226,1.0160205008266234,1.018478244252499,1.33176408201125,0.012354892638123048,0.0012354892638123049,1.3311630570942603,1.3235205197472415,1.3401211804038482,191.377364723774,14.322478256758433,1.4322478256758433,190.4231569925857,181.735541336245,200.86458076949373,0.9379250685218763,0.003473608580745983,0.0003473608580745983,0.938109871249111,0.9355861368442362,0.9402493821904793,,,,,,,0.007302650735946229,4.594739305268036e-05,0.11021852305114585,0.0008248636938702509
vanhateren,cv,0.005061246747758921,1.47529557057e-08,1736.3448486328125,0.0001,1.0000000000000001e-07,1000,10000,100,2000,20000,1,10,20260818,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/vanhateren_fixed_vs_cv_cases/vanhateren_disk_d10000_n1000_sigma0p00506125_trials100_pop20000_seed20260818_alpha181_eminm4_emax5_fixed100.npz,1.3717602210017503,5.6733249729437386e-05,4.887387050912877e-10,0.9999432667540741,0.9999999995112313,52.057140094914004,51.47029602050781,1.1474481488421615,0.11474481488421615,51.502750396728516,50.73904514312744,52.18709945678711,0.10451233237981797,0.007923351402793877,0.0007923351402793876,0.10415596887469292,0.09948668628931046,0.10995339974761009,0.9999398090002329,4.563236046707723e-06,4.5632360467077227e-07,0.9999400142379801,0.9999366753673188,0.9999427033827021,1.0006112600936943,9.171809573602289e-05,9.17180957360229e-06,1.0006108721496947,1.000545473292788,1.0006804792947088,0.9999156450212381,7.20234750271319e-05,7.20234750271319e-06,0.9999263076285843,0.9998730451049826,0.999960032855102,2.1272428837233376e-05,3.274394392107395e-05,3.274394392107395e-06,9.429503214424619e-06,3.19332965509718e-06,2.7987528242185276e-05,0.9999999877452324,1.8873135999614256e-08,1.8873135999614258e-09,0.9999999945685363,0.9999999838772597,0.9999999981607322,0.00010400445971754379,2.227607437508713e-05,2.227607437508713e-06,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,6.019099976718931e-05,4.5632360467062033e-07,1.2251269587365182e-08,1.8857972796622937e-09
vanhateren,fixed,0.005061246747758921,1.47529557057e-08,1736.3448486328125,100.0,0.1,1000,10000,100,2000,20000,1,10,20260818,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/vanhateren_fixed_vs_cv_cases/vanhateren_disk_d10000_n1000_sigma0p00506125_trials100_pop20000_seed20260818_alpha181_eminm4_emax5_fixed100.npz,1.3717602210017503,0.00724565468700254,0.12524326539221825,0.9927543457987675,0.931674479874137,181.14715895513288,183.39521759033204,5.962074441157134,0.5962074441157135,182.9726791381836,178.34361267089844,187.85355377197266,12.527102117538453,0.8281605103445612,0.08281605103445612,12.546032905578613,11.93632984161377,13.237560272216797,0.9927853605075039,0.0004769562399984357,4.769562399984357e-05,0.9927744578414494,0.9923761916979568,0.9931255995310998,1.0173630773562576,0.0017165744030989774,0.00017165744030989773,1.0174003063117862,1.0161233082479417,1.0184862512487203,1.3281961357902297,0.012355896888419727,0.0012355896888419727,1.3280048074984263,1.31818673110781,1.336302556923315,187.28883171268,14.10373361024281,1.410373361024281,186.80866081765816,175.79268438669672,196.3802594045436,0.9389253429802806,0.0034612705190609845,0.00034612705190609845,0.9389956209988084,0.9366639322147883,0.9417346642367945,,,,,,,0.0072146394924961004,4.769562399984368e-05,0.10786384505367705,0.0008122656983345218
vanhateren,cv,0.01518374024325961,1.32776601351e-07,1736.3448486328125,0.0001,1.0000000000000001e-07,1000,10000,100,2000,20000,1,10,20260818,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/vanhateren_fixed_vs_cv_cases/vanhateren_disk_d10000_n1000_sigma0p0151837_trials100_pop20000_seed20260818_alpha181_eminm4_emax5_fixed100.npz,1.371627131000423,5.683651398414059e-05,2.4157712621204922e-08,0.9999431634898264,0.9999999758336466,52.142082564521104,51.98370918273926,1.3354492484174258,0.13354492484174257,51.75413131713867,51.06306171417236,52.87910842895508,0.10546155624091626,0.00883960505599891,0.0008839605055998911,0.10399805009365082,0.09828878194093704,0.1118118055164814,0.9999392623208899,5.090927106421842e-06,5.090927106421842e-07,0.9999401051869532,0.999935605069693,0.9999433932827235,1.0006022925388767,9.29576451153148e-05,9.29576451153148e-06,1.000602202467709,1.0005407537066269,1.0006641797233475,0.9991761583069434,0.00029449115150417295,2.9449115150417293e-05,0.9991966107719428,0.9990655502169344,0.9993828971557974,0.0013275622565143961,0.0012256829211005596,0.00012256829211005596,0.001120704754677476,0.0006612342896474547,0.0015161771236230919,0.9999992337633252,7.090705462947112e-07,7.090705462947113e-08,0.9999993535995879,0.9999991249861446,0.9999996187098834,0.00019892465381417422,0.0002750253573232484,2.7502535732324837e-05,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,6.073767911020444e-05,5.090927106420802e-07,7.645729231492872e-07,7.058983254770243e-08
vanhateren,fixed,0.01518374024325961,1.32776601351e-07,1736.3448486328125,100.0,0.1,1000,10000,100,2000,20000,1,10,20260818,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/vanhateren_fixed_vs_cv_cases/vanhateren_disk_d10000_n1000_sigma0p0151837_trials100_pop20000_seed20260818_alpha181_eminm4_emax5_fixed100.npz,1.371627131000423,0.007245657052406052,0.12524287953900037,0.9927543434333642,0.9316746358107157,181.14727985482764,183.10178482055665,5.461465351833955,0.5461465351833955,182.82180786132812,179.7101058959961,186.28050231933594,12.52764518737793,0.7848709432887783,0.07848709432887782,12.53203535079956,11.957132816314697,12.855257272720337,0.992785047741385,0.0004520248059633903,4.520248059633903e-05,0.9927825193476589,0.9925963685826336,0.9931136186306944,1.017318781556358,0.0015279857057010307,0.00015279857057010307,1.017419663069322,1.016358696928322,1.018385433062291,1.3281201375148046,0.01174929721098715,0.001174929721098715,1.3278497930784479,1.3195825548455535,1.3360122436532336,187.17708943816703,13.47689029308565,1.3476890293085648,186.63193772213475,177.3381367908712,196.0406789357575,0.9389483648270058,0.0032954023692518893,0.0003295402369251889,0.939038980787532,0.9367458646665391,0.9413465824914528,,,,,,,0.007214952258615057,4.520248059633896e-05,0.10779949016783685,0.0007761643836877952
vanhateren,cv,0.050612467477589206,1.4752955705699997e-06,1736.3448486328125,0.0001,1.0000000000000001e-07,1000,10000,100,2000,20000,1,10,20260818,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/vanhateren_fixed_vs_cv_cases/vanhateren_disk_d10000_n1000_sigma0p0506125_trials100_pop20000_seed20260818_alpha181_eminm4_emax5_fixed100.npz,1.3737843849994533,5.801114488139281e-05,2.7645370649647897e-06,0.9999419888590079,0.9999972260997213,53.108303156304494,56.044371604919434,1.5084433887453395,0.15084433887453394,55.98268127441406,55.12415885925293,57.00785446166992,0.11118786834180355,0.007890714568100756,0.0007890714568100756,0.11085137724876404,0.10607558488845825,0.11640145257115364,0.9999359644091268,4.544439760522697e-06,4.5444397605226967e-07,0.9999361582019055,0.9999329617888619,0.9999389086879994,1.0005986155911568,0.00015134073074769388,1.5134073074769388e-05,1.0005761296265925,1.0005125355978253,1.0006714386410587,0.9927721086534034,0.001742985764077244,0.0001742985764077244,0.9929538186221107,0.9917552147905709,0.9939890305731334,0.09593310966238615,0.04856007248271493,0.0048560072482714935,0.08620722214536897,0.06274204242812557,0.11803093162547257,0.9999438442571379,2.869336494783025e-05,2.869336494783025e-06,0.9999496428383893,0.9999308880089693,0.9999634278938506,0.002188439900928643,0.002373646051875983,0.00023736460518759833,0.0015848932089284062,9.999999747378752e-05,0.003548133885487914,6.403559087317949e-05,4.5444397605198396e-07,5.525003269824154e-05,2.7966836496189593e-06
vanhateren,fixed,0.050612467477589206,1.4752955705699997e-06,1736.3448486328125,100.0,0.1,1000,10000,100,2000,20000,1,10,20260818,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/vanhateren_fixed_vs_cv_cases/vanhateren_disk_d10000_n1000_sigma0p0506125_trials100_pop20000_seed20260818_alpha181_eminm4_emax5_fixed100.npz,1.3737843849994533,0.007245683958871013,0.1252384905224676,0.992754316526901,0.9316764095766907,181.14865508885563,183.21047714233399,5.049854557080782,0.5049854557080782,183.33235931396484,180.18697357177734,186.48658752441406,12.659891233444213,0.7949662172091032,0.07949662172091032,12.67261028289795,12.124846696853638,13.186979055404663,0.9927088842729526,0.0004578389009735336,4.578389009735336e-05,0.9927015590866778,0.9924053225568711,0.9930170284397131,1.0174667205480106,0.0017304763894732417,0.00017304763894732418,1.0172914167162341,1.0162605783770375,1.0185786905202943,1.3319844667086387,0.012663815355576504,0.0012663815355576503,1.330782851235472,1.3248242842188032,1.3386932742117137,191.64464303294392,14.702977658386711,1.4702977658386711,189.98615691582222,183.20321760100035,199.1819250340882,0.9378624098893052,0.003561684918740273,0.0003561684918740273,0.9382166503166718,0.9359894829850302,0.9398853833945847,,,,,,,0.007291115727047271,4.5783890097353345e-05,0.11037245463298592,0.0008467775090854646
vanhateren,cv,0.15183740243259608,1.3277660135099997e-05,1736.3448486328125,0.0001,1.0000000000000001e-07,1000,10000,100,2000,20000,1,10,20260818,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/vanhateren_fixed_vs_cv_cases/vanhateren_disk_d10000_n1000_sigma0p151837_trials100_pop20000_seed20260818_alpha181_eminm4_emax5_fixed100.npz,1.3715879609990225,6.833757035171346e-05,0.00021666468745011318,0.9999316624342298,0.9997768003492586,61.60255011701412,69.53695877075195,2.0192627078543235,0.20192627078543235,69.5158576965332,68.05039024353027,70.49049758911133,0.1508862040936947,0.010843339008712273,0.0010843339008712273,0.1512032374739647,0.14196903631091118,0.15863929316401482,0.9999131012458657,6.244922497536259e-06,6.244922497536259e-07,0.9999129186592208,0.9999086360677207,0.9999182368430887,1.0006559893370923,0.00022267597902843203,2.2267597902843205e-05,1.0006494064241505,1.0004844561787878,1.0008336515065281,0.9753206228126479,0.0030619279966820866,0.00030619279966820866,0.9752899004122613,0.9733114930150466,0.977167849220367,1.0736745799076024,0.26648835519957104,0.026648835519957104,1.0601938127519261,0.9051691103159027,1.2367782082989471,0.9993489393073325,0.00016591529580466677,1.6591529580466676e-05,0.9993580810085195,0.9992481163597143,0.9994540389064842,0.05171233780682087,0.014944706405461864,0.0014944706405461863,0.05011872202157974,0.03981071710586548,0.06309573352336884,8.689875413429629e-05,6.244922497538581e-07,0.0006183533073818875,1.5347662960465622e-05
vanhateren,fixed,0.15183740243259608,1.3277660135099997e-05,1736.3448486328125,100.0,0.1,1000,10000,100,2000,20000,1,10,20260818,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/vanhateren_fixed_vs_cv_cases/vanhateren_disk_d10000_n1000_sigma0p151837_trials100_pop20000_seed20260818_alpha181_eminm4_emax5_fixed100.npz,1.3715879609990225,0.0072459204992223235,0.12519991081080778,0.9927540799865656,0.931692002126143,181.1607450583323,182.671025390625,5.010426482325433,0.5010426482325433,182.56707000732422,179.24206161499023,185.74520111083984,12.499056615829467,0.72049259026993,0.072049259026993,12.474054336547852,12.008942127227783,12.99202561378479,0.9928015125418945,0.0004149478663971845,4.149478663971845e-05,0.9928159119161324,0.9925176006229324,0.9930837804848021,1.0172959144560663,0.0016329789428397843,0.00016329789428397843,1.0173469643930757,1.0162293648909255,1.0184358645304161,1.3286335932954376,0.011053498539008671,0.0011053498539008672,1.3293568211134366,1.3220575267499064,1.3363232436996582,187.73533560381216,12.606926147786446,1.2606926147786446,188.35161656815586,180.09552794376424,196.40378545938677,0.9388060936695746,0.0030956370802599285,0.0003095637080259929,0.9386166630445201,0.9366581693324287,0.9406574789427731,,,,,,,0.007198487458105542,4.1494786639718573e-05,0.10812099667392329,0.0007260611944518431
